Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct	WR2000N100MM	WR2000N100MM_Stat_pct	WR2000N100MM_SystUp_pct	WR2000N100MM_SystDn_pct	WR2000N100MM_TotalUp_pct	WR2000N100MM_TotalDn_pct	WR2000N100MM_Pileup_pct	WR2000N100MM_ElectronID_pct	WR2000N100MM_ElectronReco_pct	WR2000N100MM_ElectronTrig_pct	WR2000N100MM_MuonID_pct	WR2000N100MM_MuonReco_pct	WR2000N100MM_MuonTrig_pct	WR2000N100MM_MuonIso_pct	WR2000N100MM_JER_pct	WR2000N100MM_JES_pct	WR2000N1100MM	WR2000N1100MM_Stat_pct	WR2000N1100MM_SystUp_pct	WR2000N1100MM_SystDn_pct	WR2000N1100MM_TotalUp_pct	WR2000N1100MM_TotalDn_pct	WR2000N1100MM_Pileup_pct	WR2000N1100MM_ElectronID_pct	WR2000N1100MM_ElectronReco_pct	WR2000N1100MM_ElectronTrig_pct	WR2000N1100MM_MuonID_pct	WR2000N1100MM_MuonReco_pct	WR2000N1100MM_MuonTrig_pct	WR2000N1100MM_MuonIso_pct	WR2000N1100MM_JER_pct	WR2000N1100MM_JES_pct	WR4000N100MM	WR4000N100MM_Stat_pct	WR4000N100MM_SystUp_pct	WR4000N100MM_SystDn_pct	WR4000N100MM_TotalUp_pct	WR4000N100MM_TotalDn_pct	WR4000N100MM_Pileup_pct	WR4000N100MM_ElectronID_pct	WR4000N100MM_ElectronReco_pct	WR4000N100MM_ElectronTrig_pct	WR4000N100MM_MuonID_pct	WR4000N100MM_MuonReco_pct	WR4000N100MM_MuonTrig_pct	WR4000N100MM_MuonIso_pct	WR4000N100MM_JER_pct	WR4000N100MM_JES_pct	WR4000N2100MM	WR4000N2100MM_Stat_pct	WR4000N2100MM_SystUp_pct	WR4000N2100MM_SystDn_pct	WR4000N2100MM_TotalUp_pct	WR4000N2100MM_TotalDn_pct	WR4000N2100MM_Pileup_pct	WR4000N2100MM_ElectronID_pct	WR4000N2100MM_ElectronReco_pct	WR4000N2100MM_ElectronTrig_pct	WR4000N2100MM_MuonID_pct	WR4000N2100MM_MuonReco_pct	WR4000N2100MM_MuonTrig_pct	WR4000N2100MM_MuonIso_pct	WR4000N2100MM_JER_pct	WR4000N2100MM_JES_pct
9	800.0000	900.0000	18.4708	17.0000	0.2582	12.9844	4.3537	0.8746	5.2385	0.9635	1.1229	5.3264	5.3576	0.6980	0.0409	0.0000	0.0000	0.2479	0.0000	0.7041	0.2732	0.0000	0.3747	39.6774	1.3333	0.7260	39.6998	39.6841	1.1183	0.0000	0.0000	0.0000	0.2294	0.0000	0.6322	0.2733	0.0000	0.0000	5.6383	1.2733	1.4518	5.7803	5.8223	1.0850	0.0549	0.0000	0.0000	0.2492	0.0000	0.7109	0.2758	0.0000	0.5330	13.9361	0.9971	0.9732	13.9717	13.9700	0.6375	0.0000	0.0000	0.0000	0.2410	0.0000	0.6786	0.2631	0.0000	0.0000	16.8296	0.8478	2.0820	16.8510	16.9579	1.9015	0.0494	0.0000	0.0000	0.2670	0.0000	0.7512	0.2844	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0386	58.9737	19.4904	16.5573	62.1110	61.2539	19.4798	0.0000	0.0000	0.0000	0.2102	0.0000	0.5434	0.2663	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	70.7107	89.5850	46.1943	114.1292	84.4625	89.3921	0.0000	0.0000	0.0000	1.8700	0.0000	5.1783	2.0562	0.0000	0.0000
10	900.0000	1000.0000	11.4094	8.0000	0.3145	7.5538	3.2428	0.2983	6.6566	1.0823	1.1975	6.7440	6.7635	0.3256	0.0350	0.0000	0.0000	0.3595	0.0000	0.8781	0.3753	0.2437	0.4758	44.2623	2.9464	4.7075	44.3603	44.5119	4.6344	0.0004	0.0000	0.0000	0.2599	0.0000	0.7381	0.2654	0.0000	0.0000	7.3162	1.2548	1.3450	7.4230	7.4388	0.6725	0.0473	0.0000	0.0000	0.3457	0.0000	0.8904	0.3591	0.3681	0.7186	14.8444	0.8494	0.9741	14.8686	14.8763	0.4769	0.0000	0.0000	0.0000	0.3121	0.0000	0.7097	0.3468	0.0000	0.0000	47.7444	5.7218	5.8680	48.0860	48.1036	4.9699	0.1380	0.0000	0.0000	1.3311	0.0000	2.5449	1.2109	0.0000	0.0000	0.0053	100.0000	73.2783	52.8439	123.9747	113.1039	73.0423	0.0000	0.0000	0.0000	1.8700	0.0000	5.1783	2.0562	0.0000	0.0000	0.0150	61.2521	9.0313	3.2971	61.9143	61.3408	8.4080	0.0000	0.0000	0.0000	1.0482	0.0000	2.9017	1.1628	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	56.3387	3.5370	4.8618	56.4496	56.5481	4.3348	0.0000	0.0000	0.0000	0.9114	0.0000	1.7898	0.9015	0.0000	0.0000
11	1000.0000	1100.0000	7.5892	5.0000	0.2436	5.1447	1.8881	0.3128	7.8225	2.7058	2.6891	8.2772	8.2718	1.9968	0.0441	0.0000	0.0000	0.7068	0.0000	1.5185	0.7203	0.0000	0.3588	49.1486	4.4411	5.4249	49.3489	49.4471	3.6769	0.0000	0.0000	0.0000	1.7881	0.0000	3.0655	1.8206	0.0000	0.0000	9.3688	1.9118	1.9958	9.5619	9.5791	0.6076	0.0615	0.0000	0.0000	0.6837	0.0000	1.5415	0.6975	0.0000	0.5293	16.4223	5.9890	5.4921	17.4803	17.3163	5.8306	0.0000	0.0000	0.0000	0.5258	0.0000	1.1315	0.5608	0.0000	0.0000	31.3801	7.6033	7.1795	32.2881	32.1909	7.0290	0.0584	0.0000	0.0000	1.3361	0.0000	2.2726	1.2019	0.0000	0.0737	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0301	53.9638	27.6636	24.1716	60.6413	59.1300	27.4379	0.1796	0.0000	0.0000	1.3965	0.0000	2.8825	1.4636	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	62.6867	24.2437	22.4575	67.2114	66.5880	23.5205	0.0000	0.0000	0.0000	1.8700	0.0000	5.1783	2.0562	0.0000	0.0000
12	1100.0000	1200.0000	4.0354	5.0000	0.1136	2.8133	1.0365	0.0720	11.2991	2.3365	2.4665	11.5382	11.5652	1.8225	0.0428	0.0000	0.0000	0.5313	0.0000	1.4637	0.5793	0.0000	1.2379	74.0880	0.6943	3.0652	74.0913	74.1514	2.9855	0.0000	0.0000	0.0000	0.2248	0.0000	0.6063	0.2528	0.0000	0.0000	12.5408	2.5629	2.1860	12.8000	12.7298	1.2173	0.0608	0.0000	0.0000	0.5874	0.0000	1.5965	0.6318	0.0000	1.7756	24.2745	2.5371	3.9456	24.4067	24.5931	3.7079	0.0000	0.0000	0.0000	0.4794	0.0000	1.1733	0.4615	0.0000	0.0000	158.6139	17.3593	2.0029	159.5610	158.6265	17.2434	0.0215	0.0000	0.0000	0.4309	0.0000	1.8111	0.7387	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0372	53.2919	7.5969	8.7416	53.8307	54.0041	5.1793	0.0000	0.0000	0.0000	3.0150	0.0000	5.7401	2.7481	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0008	46.1335	10.8365	11.9245	47.3891	47.6497	11.2564	0.0000	0.0000	0.0000	1.4432	0.0000	3.3222	1.5382	0.0000	0.0000
13	1200.0000	1300.0000	2.6933	5.0000	0.1329	1.8806	0.4901	0.1897	12.0998	2.7311	3.3140	12.4042	12.5454	0.2310	0.0186	0.0000	0.0000	1.0595	0.0000	2.2752	1.0516	0.0000	1.8909	59.0639	17.8417	16.8254	61.6999	61.4137	17.8110	0.0013	0.0000	0.0000	0.3105	0.0000	0.9452	0.3253	0.0000	0.0000	14.1199	4.4245	5.0965	14.7969	15.0116	2.9726	0.0215	0.0000	0.0000	1.3107	0.0000	2.7167	1.2812	0.0000	2.7081	32.0588	3.3648	3.5913	32.2349	32.2593	3.3768	0.0000	0.0000	0.0000	0.3748	0.0000	1.0765	0.4420	0.0000	0.0000	36.6746	7.0957	6.1404	37.3547	37.1851	6.7193	0.0509	0.0000	0.0000	0.8623	0.0000	1.9275	0.8593	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0630	43.6015	5.0891	5.8931	43.8975	43.9979	4.1369	0.0133	0.0000	0.0000	1.3541	0.0000	3.6933	1.4632	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	78.5155	6.6757	7.6662	78.7988	78.8889	4.9225	0.0000	0.0000	0.0000	1.8700	0.0000	5.1783	2.0562	0.0000	0.0000
14	1300.0000	1400.0000	2.1386	3.0000	0.1077	1.4381	0.4649	0.1278	14.4106	3.7832	3.7395	14.8989	14.8879	0.8711	0.0125	0.0000	0.0000	1.5799	0.0000	2.9200	1.4841	0.0000	0.7120	71.7060	7.4942	5.4557	72.0966	71.9133	7.3470	0.0000	0.0000	0.0000	0.4094	0.0000	1.3526	0.4319	0.0000	0.0000	16.5882	4.2605	4.1664	17.1266	17.1034	0.5847	0.0087	0.0000	0.0000	1.8191	0.0000	3.3107	1.6575	0.0000	1.0587	36.5666	4.3742	3.5765	36.8273	36.7411	3.7039	0.0000	0.0000	0.0000	1.0402	0.0000	1.7610	1.1097	0.0000	0.0000	44.2479	7.9282	9.5305	44.9525	45.2626	8.2325	0.1110	0.0000	0.0000	1.8374	0.0000	4.0614	1.7814	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0267	52.8041	23.0993	23.9593	57.6355	57.9855	21.1483	0.0000	0.0000	0.0000	5.9715	0.0000	8.2336	4.8316	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005	53.6025	4.8871	6.2984	53.8248	53.9712	4.7739	0.0000	0.0000	0.0000	1.2617	0.0000	3.6587	1.3789	0.0000	0.0000
15	1400.0000	1500.0000	1.0442	2.0000	0.0263	0.5359	0.3992	0.0828	20.9313	4.7570	3.8777	21.4650	21.2874	3.8944	0.0070	0.0000	0.0000	1.0742	0.0000	2.2917	1.0281	0.0000	0.0000	64.1583	15.9466	16.5152	66.1104	66.2498	16.4815	0.0000	0.0000	0.0000	0.2980	0.0000	0.9464	0.3566	0.0000	0.0000	26.2083	4.9481	3.9129	26.6713	26.4987	3.2367	0.0136	0.0000	0.0000	1.5504	0.0000	3.0941	1.4249	0.0000	0.0000	38.1881	6.5070	7.3825	38.7385	38.8951	7.0846	0.0000	0.0000	0.0000	0.6890	0.0000	1.8095	0.7487	0.0000	0.0000	81.1709	3.6620	0.1796	81.2535	81.1711	3.6576	0.0000	0.0000	0.0000	0.0955	0.0000	0.1507	0.0201	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0738	44.4694	8.1612	8.9796	45.2120	45.3669	4.2476	0.0861	0.0000	0.0000	3.2198	0.0000	6.4751	3.2078	0.0000	0.0000	0.0002	100.0000	13.1534	15.1423	100.8613	101.1399	13.9552	0.0000	0.0000	0.0000	1.8700	0.0000	5.1783	2.0562	0.0000	0.0000	0.0004	60.1006	13.8429	12.5921	61.6742	61.4056	6.8720	0.0000	0.0000	0.0000	6.1395	0.0000	8.8627	5.3067	0.0000	0.0000
16	1500.0000	1600.0000	0.8408	1.0000	0.0073	0.3945	0.3707	0.0683	21.5236	4.4354	4.8190	21.9759	22.0565	3.8202	0.0131	0.0000	0.0000	1.3080	0.0000	2.3138	1.2506	0.0000	0.0000	47.3902	18.8690	20.5003	51.0085	51.6343	19.9239	0.0000	0.0000	0.0000	1.5353	0.0000	4.2490	1.6999	0.0000	0.0000	29.4819	10.0008	11.3614	31.1320	31.5953	10.9734	0.0280	0.0000	0.0000	1.2706	0.0000	2.3501	1.2355	0.0000	0.0000	35.7547	2.4135	2.2593	35.8361	35.8260	1.0211	0.0000	0.0000	0.0000	0.9141	0.0000	1.7446	0.9501	0.0000	0.0000	59.2727	14.6238	14.8219	61.0501	61.0978	13.1540	0.0000	0.0000	0.0000	3.6385	0.0000	4.9886	2.9218	0.0000	0.0000	0.0179	100.0000	16.5119	18.1362	101.3541	101.6313	13.9552	0.0000	0.0000	0.0000	5.4000	0.0000	8.7094	5.4000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	51.6438	5.8770	6.2061	51.9772	52.0154	1.9940	0.0000	0.0000	0.0000	1.8700	0.0000	5.1783	2.0562	0.0000	0.0000
17	1600.0000	1700.0000	0.4943	1.0000	0.0080	0.3534	0.0224	0.1105	29.3945	10.7708	9.8678	31.3057	31.0066	8.4577	0.0001	0.0000	0.0000	2.8888	0.0000	5.3474	2.7456	0.0000	0.0254	59.8943	11.4585	11.0386	60.9805	60.9030	7.7971	0.0000	0.0000	0.0000	4.4255	0.0000	6.1894	3.5506	0.0000	0.0000	36.8834	8.4924	8.1684	37.8484	37.7771	3.2536	0.0000	0.0000	0.0000	3.4474	0.0000	6.2384	3.2761	0.0000	0.0000	56.9991	57.6855	30.2027	81.0957	64.5066	57.5828	0.0000	0.0000	0.0000	1.1474	0.0000	3.0083	1.2151	0.0000	0.0000	56.7841	16.6340	20.0277	59.1703	60.2124	19.7259	0.0005	0.0000	0.0000	1.3445	0.0000	2.9122	1.3015	0.0000	0.1138	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0048	100.0000	31.8412	33.4000	104.9469	105.4304	32.8789	0.0000	0.0000	0.0000	1.8700	0.0000	5.1782	2.0562	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	64.7531	8.2131	10.9374	65.2719	65.6703	9.2242	0.0000	0.0000	0.0000	1.8700	0.0000	5.1782	2.0562	0.0000	0.0000
18	1700.0000	1800.0000	0.3104	1.0000	0.0050	0.1598	0.1751	-0.0295	49.5421	5.6658	5.5755	49.8650	49.8548	1.7358	0.0000	0.0000	0.0000	2.6599	0.0000	4.0566	2.3575	0.0000	0.0000	82.9777	13.2978	13.6030	84.0365	84.0853	2.8655	0.0000	0.0000	0.0000	7.2404	0.0000	9.5450	5.7709	0.0000	0.0000	67.3750	13.0130	12.7312	68.6201	68.5672	12.1370	0.0000	0.0000	0.0000	2.4596	0.0000	3.4880	1.9538	0.0000	0.0000	54.0549	11.2098	11.3118	55.2050	55.2258	9.6561	0.0000	0.0000	0.0000	2.5845	0.0000	4.6219	2.5834	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0208	100.0000	8.3927	10.8258	100.3516	100.5843	10.7544	0.0000	0.0000	0.0000	0.2696	0.0000	1.1806	0.2742	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	100.0000	15.6820	16.1468	101.2222	101.2952	3.8463	0.0000	0.0000	0.0000	8.5840	0.0000	11.2190	6.8100	0.0000	0.0000
