Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-5.0000	-4.8000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0004	46.2556	187040.8631	10.6770	187040.8689	47.4719	9.1176	0.8103	5.6232	0.0000	0.0000	0.0000	0.0000	105615.1470	154368.7958
2	-4.8000	-4.6000	2.0141	0.0000	2.0079	0.0000	0.0000	0.0062	80.4040	9.7861	34.4002	80.9974	87.4539	10.5551	0.7960	6.3848	0.0000	0.0000	0.0000	0.0000	22.5054	22.9385
4	-4.4000	-4.2000	1.5493	0.0000	0.5271	0.0118	0.0000	1.0105	72.9648	0.0000	212.1567	72.9648	224.3532	74.7129	64.8985	65.8400	64.5436	64.5436	64.5436	64.5436	65.6497	99.5407
5	-4.2000	-4.0000	1.4114	0.0000	-0.5976	0.0000	0.0000	2.0090	108.7750	0.0000	428.8810	108.7750	442.4600	150.8834	142.0768	143.8107	141.6988	141.6988	141.6988	141.6988	141.3222	141.4905
6	-4.0000	-3.8000	5.5593	0.0000	4.5098	0.0000	0.0000	1.0495	54.8807	0.0000	67.7139	54.8807	87.1612	24.5830	18.6380	21.1679	17.9878	17.9878	17.9878	17.9878	23.0050	36.9043
7	-3.8000	-3.6000	1.6108	0.0000	0.5632	0.0234	0.0000	1.0243	130.5188	42.7874	303.5419	137.3533	330.4131	86.6158	62.4222	66.7059	62.0804	62.0804	62.0804	62.0804	75.1815	234.9915
9	-3.4000	-3.2000	10.9185	0.0000	6.7749	0.1107	0.0000	4.0329	35.9718	0.0000	122.9525	35.9718	128.1066	39.6033	37.1802	39.0015	36.6351	36.6351	36.6351	36.6351	50.9339	51.7942
10	-3.2000	-3.0000	13.6592	0.0000	4.3819	0.1056	0.0000	9.1717	41.8675	0.0000	207.7536	41.8675	211.9303	64.0068	66.2097	66.6684	65.8897	65.8897	65.8897	65.8897	65.9709	92.2947
11	-3.0000	-2.8000	35.4134	0.0000	12.9454	0.2318	0.0000	22.2363	21.5634	0.0000	186.7992	21.5634	188.0397	62.5111	62.4395	63.4428	62.1233	62.1233	62.1233	62.1233	60.6130	62.8607
12	-2.8000	-2.6000	67.5854	0.0000	31.6169	0.6657	0.0000	35.3028	15.3111	0.0000	160.3758	15.3111	161.1051	52.0747	52.1973	53.9755	51.7863	51.7863	51.7863	51.7863	55.1584	60.0081
13	-2.6000	-2.4000	87.0759	0.0000	45.5531	0.7880	0.0000	40.7347	14.7665	0.0000	142.6370	14.7665	143.3993	48.8242	46.3955	48.6734	45.9369	45.9369	45.9369	45.9369	46.6523	53.1284
14	-2.4000	-2.2000	93.8192	0.0000	42.7601	0.9242	0.0000	50.1349	13.1238	0.0000	162.0353	13.1238	162.5659	54.0565	52.6415	54.0531	52.2281	52.2281	52.2281	52.2281	57.3113	58.6923
15	-2.2000	-2.0000	104.5131	0.0000	32.7973	1.2779	0.0782	70.3597	13.4168	0.0000	199.3661	13.4168	199.8170	66.7417	66.2969	67.8910	66.0204	66.0204	66.0204	66.0204	71.4806	61.1855
16	-2.0000	-1.8000	121.2803	0.0000	48.7751	1.1373	0.0000	71.3679	11.4918	0.0000	176.6187	11.4918	176.9922	59.8734	58.0658	59.6564	57.7175	57.7175	57.7175	57.7175	54.9506	65.8332
17	-1.8000	-1.6000	124.1432	0.0000	61.9485	1.3443	0.0000	60.8504	11.2782	0.0000	146.8065	11.2782	147.2391	49.3326	48.7776	50.1188	48.3313	48.3313	48.3313	48.3313	49.0404	49.7864
18	-1.6000	-1.4000	124.0709	0.0000	53.1859	1.3430	0.0253	69.5167	12.1869	0.0000	167.9152	12.1869	168.3569	55.8307	55.9838	57.8283	55.6134	55.6134	55.6134	55.6134	55.7765	55.8368
19	-1.4000	-1.2000	121.2070	0.0000	65.3728	1.7219	0.0000	54.1123	11.6251	0.0000	135.0717	11.6251	135.5710	45.8663	44.2077	45.7227	43.7268	43.7268	43.7268	43.7268	43.9238	50.1828
20	-1.2000	-1.0000	104.2131	0.0000	43.3019	1.1437	0.0319	59.7356	13.1830	0.0000	171.9382	13.1830	172.4429	59.0075	56.9829	58.2792	56.6148	56.6148	56.6148	56.6148	55.7669	59.2155
21	-1.0000	-0.8000	103.3213	0.0000	58.9777	1.0982	0.0000	43.2454	12.5891	0.0000	128.6626	12.5891	129.2770	42.5880	41.1466	43.6394	40.6499	40.6499	40.6499	40.6499	45.0529	50.0347
22	-0.8000	-0.6000	107.6802	0.0000	59.8879	0.8115	0.0588	46.9220	12.5222	0.0000	129.9418	12.5222	130.5437	45.5514	43.1887	45.2362	42.7191	42.7191	42.7191	42.7191	42.6515	42.1845
23	-0.6000	-0.4000	89.1719	0.0000	43.6822	0.9628	0.0000	44.5269	13.5600	0.0000	148.2445	13.5600	148.8634	50.5218	48.6522	50.9828	48.2215	48.2215	48.2215	48.2215	45.0702	55.9030
24	-0.4000	-0.2000	61.2422	0.0000	27.3432	1.1588	0.0326	32.7076	17.9974	0.0000	161.2645	17.9974	162.2657	53.3494	52.6332	54.8878	52.2516	52.2516	52.2516	52.2516	54.3480	59.1824
25	-0.2000	0.0000	80.9450	0.0000	41.1505	0.9990	0.0000	38.7955	14.4948	0.0000	147.3611	14.4948	148.0723	49.6258	47.3724	50.0203	46.9455	46.9455	46.9455	46.9455	51.7286	54.9095
26	0.0000	0.2000	75.9715	0.0000	23.1101	1.0082	0.0649	51.7883	15.4720	0.0000	202.0081	15.4720	202.5998	67.9461	67.3843	68.5842	67.1304	67.1304	67.1304	67.1304	69.9631	63.4459
27	0.2000	0.4000	54.8716	0.0000	21.8708	0.9505	0.0195	32.0308	19.6754	0.0000	169.7866	19.6754	170.9228	59.6260	56.8547	58.1710	56.4955	56.4955	56.4955	56.4955	52.7663	55.7193
28	0.4000	0.6000	90.1276	0.0000	50.1359	1.2405	0.0000	38.7511	14.7214	0.0000	131.6966	14.7214	132.5169	44.8572	42.6496	44.8498	42.1625	42.1625	42.1625	42.1625	44.2509	49.3204
