Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
2	-4.8000	-4.6000	1.2796	1.0000	1.2789	0.0000	0.0000	0.0008	99.9409	44.7702	99.4488	109.5106	140.9903	9.2536	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	44.3373	99.0174
4	-4.4000	-4.2000	1.2474	2.0000	1.1642	0.0791	0.0000	0.0041	93.4133	197.1230	10.6432	218.1365	94.0177	10.6432	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	139.1917	139.3361
5	-4.2000	-4.0000	3.3888	0.0000	3.3120	0.0629	0.0000	0.0139	69.1360	34.0498	72.2938	77.0660	100.0309	10.7127	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	51.4106	49.6848
6	-4.0000	-3.8000	4.9392	2.0000	4.6384	0.2423	0.0000	0.0585	40.1616	8.1805	24.9001	40.9863	47.2543	8.1798	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	20.1054	12.3772
7	-3.8000	-3.6000	4.2269	3.0000	4.0509	0.1283	0.0000	0.0477	67.1548	5.3572	24.9018	67.3682	71.6231	9.5665	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6755	22.9909
8	-3.6000	-3.4000	4.1704	14.0000	3.8762	0.1747	0.0000	0.1195	114.2465	10.1850	35.4809	114.6996	119.6293	15.2649	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.9456	31.6452
9	-3.4000	-3.2000	3.2623	5.0000	1.0689	0.6169	0.0793	1.4972	131.4660	19.5356	106.3528	132.9096	169.0983	71.9367	30.6529	30.6529	30.6529	30.6529	30.6529	30.6529	22.2526	11.5849
10	-3.2000	-3.0000	12.6731	11.0000	10.5441	0.9340	0.0267	1.1683	53.1612	20.0213	30.9215	56.8064	61.5000	14.9891	7.8908	7.8908	7.8908	7.8908	7.8908	7.8908	18.9177	17.3292
11	-3.0000	-2.8000	30.6281	27.0000	22.9288	1.2758	0.0000	6.4234	26.5369	0.0000	63.6445	26.5369	68.9553	19.3936	19.5898	19.5898	19.5898	19.5898	19.5898	19.5898	21.7373	29.9906
12	-2.8000	-2.6000	25.1598	32.0000	20.7333	1.9364	0.0000	2.4901	39.7384	0.6665	41.2348	39.7440	57.2665	17.7278	7.9492	7.9492	7.9492	7.9492	7.9492	7.9492	28.4395	14.0746
13	-2.6000	-2.4000	30.1958	58.0000	24.1206	2.4158	0.1005	3.5589	40.4491	6.5697	32.3791	40.9792	51.8125	13.2633	9.9352	9.9352	9.9352	9.9352	9.9352	9.9352	15.0516	7.3277
14	-2.4000	-2.2000	36.7426	81.0000	29.5279	3.5058	0.1519	3.5570	35.4832	17.9438	35.6770	39.7622	50.3180	6.6540	5.4433	5.4433	5.4433	5.4433	5.4433	5.4433	7.2697	31.6916
15	-2.2000	-2.0000	96.4419	87.0000	81.5517	5.7180	0.5441	8.6279	17.0691	0.0000	24.6355	17.0691	29.9710	11.3293	7.2583	7.2583	7.2583	7.2583	7.2583	7.2583	11.7016	5.0531
16	-2.0000	-1.8000	120.8510	98.0000	107.1653	5.5470	0.6177	7.5210	14.4474	4.5541	19.4771	15.1482	24.2505	5.8332	4.9648	4.9648	4.9648	4.9648	4.9648	4.9648	6.0725	12.6712
17	-1.8000	-1.6000	138.6686	117.0000	125.8434	5.6525	0.3061	6.8667	13.5515	3.4056	11.6879	13.9728	17.8955	5.0247	3.6057	3.6057	3.6057	3.6057	3.6057	3.6057	3.0910	4.8782
18	-1.6000	-1.4000	108.4799	141.0000	97.0729	5.8494	0.2843	5.2733	16.6095	2.6704	18.3187	16.8228	24.7275	4.4346	2.7655	2.7655	2.7655	2.7655	2.7655	2.7655	5.5849	15.4541
19	-1.4000	-1.2000	104.7860	124.0000	87.5495	5.3606	0.4486	11.4273	17.1605	12.0881	30.9482	20.9905	35.3874	8.4189	8.5889	8.5889	8.5889	8.5889	8.5889	8.5889	10.7341	18.1404
20	-1.2000	-1.0000	131.7680	129.0000	119.2105	4.3213	0.5745	7.6616	14.4326	0.0000	15.4270	14.4326	21.1256	6.0425	4.5535	4.5535	4.5535	4.5535	4.5535	4.5535	7.9430	3.7399
21	-1.0000	-0.8000	97.0503	126.0000	82.3200	4.4293	0.3977	9.9033	19.8111	0.0000	29.1987	19.8111	35.2851	12.4690	8.2431	8.2431	8.2431	8.2431	8.2431	8.2431	11.3809	12.6437
22	-0.8000	-0.6000	139.5310	107.0000	128.5009	4.7987	0.2328	5.9987	13.3503	0.0000	16.9525	13.3503	21.5782	3.6762	2.8667	2.8667	2.8667	2.8667	2.8667	2.8667	9.6893	11.4315
23	-0.6000	-0.4000	126.5742	113.0000	116.3535	4.1005	0.5169	5.6033	14.1193	3.9896	15.1956	14.6722	20.7428	7.9530	3.1602	3.1602	3.1602	3.1602	3.1602	3.1602	2.2425	10.1344
24	-0.4000	-0.2000	110.6553	105.0000	102.2748	4.0740	0.2084	4.0981	16.6265	3.6394	8.8964	17.0201	18.8570	7.0315	1.8074	1.8074	1.8074	1.8074	1.8074	1.8074	1.3867	2.8601
25	-0.2000	0.0000	105.9760	135.0000	94.4654	4.6141	0.4922	6.4043	16.1418	0.0000	26.5584	16.1418	31.0790	5.0821	3.7744	3.7744	3.7744	3.7744	3.7744	3.7744	10.8429	21.8282
26	0.0000	0.2000	112.7753	109.0000	104.0299	3.5187	0.1383	5.0884	15.4264	10.9863	11.7610	18.9386	19.3983	3.8028	2.6602	2.6602	2.6602	2.6602	2.6602	2.6602	3.4956	10.4154
27	0.2000	0.4000	114.6465	93.0000	103.4635	4.3575	0.1281	6.6974	15.1841	7.5994	24.8857	16.9796	29.1522	8.2456	4.3612	4.3612	4.3612	4.3612	4.3612	4.3612	7.5126	19.5127
28	0.4000	0.6000	128.3073	117.0000	117.0766	5.0113	0.6636	5.5558	13.6563	8.7845	13.0941	16.2377	18.9196	5.0329	3.1175	3.1175	3.1175	3.1175	3.1175	3.1175	1.1763	9.3261
29	0.6000	0.8000	139.7004	118.0000	131.3783	5.0192	0.1138	3.1891	13.0797	1.4695	8.4935	13.1620	15.5955	1.4681	0.7158	0.7158	0.7158	0.7158	0.7158	0.7158	5.3076	6.2241
30	0.8000	1.0000	134.7104	126.0000	121.3861	4.2356	0.5171	8.5716	14.5976	1.9634	17.9176	14.7291	23.1113	5.2148	4.4540	4.4540	4.4540	4.4540	4.4540	4.4540	5.8588	11.8530
31	1.0000	1.2000	148.6218	119.0000	135.0209	4.9342	0.4750	8.1918	12.6921	0.8365	18.0220	12.7196	22.0427	7.4083	4.0371	4.0371	4.0371	4.0371	4.0371	4.0371	5.6476	11.8417
32	1.2000	1.4000	123.9860	125.0000	112.1726	5.3579	0.3035	6.1519	14.3161	6.8548	14.9417	15.8726	20.6931	4.0247	4.0327	4.0327	4.0327	4.0327	4.0327	4.0327	6.3394	8.3242
33	1.4000	1.6000	115.8076	142.0000	102.9236	5.3769	0.5642	6.9428	16.2903	0.0000	20.9754	16.2903	26.5583	5.1704	4.3175	4.3175	4.3175	4.3175	4.3175	4.3175	5.9578	16.3063
34	1.6000	1.8000	113.5078	115.0000	98.4755	6.5857	0.3807	8.0660	15.9579	8.9303	21.5127	18.2867	26.7853	6.7193	5.2860	5.2860	5.2860	5.2860	5.2860	5.2860	9.1466	12.8972
35	1.8000	2.0000	92.9381	105.0000	79.6142	5.4685	0.2953	7.5601	18.5833	2.3683	23.1795	18.7337	29.7091	8.0329	6.4559	6.4559	6.4559	6.4559	6.4559	6.4559	8.3011	12.4008
36	2.0000	2.2000	95.1474	89.0000	86.6267	4.1861	0.0673	4.2673	16.4786	0.4649	18.4726	16.4851	24.7544	2.8902	3.1530	3.1530	3.1530	3.1530	3.1530	3.1530	10.5086	12.7595
37	2.2000	2.4000	41.3929	69.0000	34.5946	4.1851	0.1632	2.4500	33.9148	0.3643	27.7919	33.9168	43.8475	6.7988	4.8317	4.8317	4.8317	4.8317	4.8317	4.8317	0.3643	24.2076
38	2.4000	2.6000	58.3538	36.0000	54.1205	2.6907	0.2080	1.3346	20.8353	7.3347	8.4661	22.0886	22.4896	2.7645	1.7137	1.7137	1.7137	1.7137	1.7137	1.7137	6.4636	7.3347
39	2.6000	2.8000	40.1541	42.0000	33.8182	1.9106	0.1161	4.3091	23.8402	0.0000	35.6540	23.8402	42.8901	10.1483	9.9616	9.9616	9.9616	9.9616	9.9616	9.9616	13.2113	19.9568
40	2.8000	3.0000	26.7230	15.0000	23.5716	0.9234	0.0412	2.1869	28.0987	5.3688	24.7080	28.6070	37.4168	13.9710	7.4842	7.4842	7.4842	7.4842	7.4842	7.4842	8.8705	0.7284
41	3.0000	3.2000	14.5202	20.0000	11.7756	0.6164	0.0000	2.1282	42.5353	0.0000	55.1635	42.5353	69.6582	22.1546	13.7739	13.7739	13.7739	13.7739	13.7739	13.7739	32.2566	19.3229
42	3.2000	3.4000	15.4171	13.0000	12.8753	0.5119	0.0000	2.0299	38.6302	2.0104	57.1507	38.6825	68.9818	15.4985	12.9726	12.9726	12.9726	12.9726	12.9726	12.9726	17.2829	41.4435
43	3.4000	3.6000	5.5946	8.0000	4.4313	0.1367	0.0000	1.0266	77.5150	48.8256	68.9355	91.6107	103.7337	20.2061	17.8744	17.8744	17.8744	17.8744	17.8744	17.8744	14.8396	47.3213
44	3.6000	3.8000	1.4037	4.0000	1.1595	0.1734	0.0000	0.0708	59.9783	20.9639	160.5845	63.5365	171.4199	21.8945	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	116.6950	108.1217
47	4.2000	4.4000	0.9339	0.0000	0.8761	0.0540	0.0000	0.0038	93.9909	40.3988	198.9366	102.3052	220.0229	40.3988	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	172.8045	93.1293
48	4.4000	4.6000	5.7931	0.0000	5.7914	0.0000	0.0000	0.0017	50.4058	35.2354	18.6215	61.5003	53.7355	20.1958	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.3323	9.3066
49	4.6000	4.8000	2.9674	0.0000	2.9518	0.0147	0.0000	0.0009	63.0595	8.7853	113.5265	63.6686	129.8644	12.0833	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	53.3380	99.4853
