Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	50.0000	12.1310	0.0000	4.8315	7.1025	-0.0082	0.2051	24.8739	1.5753	11.9093	24.9238	27.5780	1.0348	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.5748	11.8047
2	50.0000	100.0000	37.0463	0.0000	17.0975	19.2401	0.1975	0.5112	15.6729	8.4788	8.4365	17.8194	17.7993	1.6075	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.2685	8.3761
3	100.0000	150.0000	24.1920	0.0000	3.5354	19.8902	0.1568	0.6096	18.9692	2.4599	1.2335	19.1280	19.0093	1.2097	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2408	2.2074
4	150.0000	200.0000	22.1906	0.0000	4.6793	16.3874	0.1555	0.9685	17.5173	6.2457	19.1563	18.5975	25.9581	2.0977	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.7079	19.0406
5	200.0000	250.0000	20.6006	0.0000	8.3376	11.6790	0.0952	0.4887	18.1054	6.8150	8.0801	19.3455	19.8266	4.1253	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7081	6.9170
6	250.0000	300.0000	10.9877	0.0000	3.1430	7.2874	0.0899	0.4674	21.7530	32.5316	15.3007	39.1343	26.5952	3.4993	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9087	32.4168
7	300.0000	350.0000	7.9229	0.0000	1.9395	5.1652	0.1421	0.6762	21.3458	9.9640	1.8182	23.5569	21.4231	0.7158	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6997	9.9136
8	350.0000	400.0000	7.4879	0.0000	2.7884	4.3152	0.0296	0.3547	33.8895	2.5736	15.0787	33.9871	37.0927	1.4742	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.1445	14.7472
9	400.0000	450.0000	2.2284	0.0000	-0.1898	2.2329	0.0632	0.1222	33.3903	35.7061	1.3288	48.8860	33.4168	2.6716	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.5200	35.5735
10	450.0000	500.0000	0.1990	0.0000	-1.5619	1.7853	0.0000	-0.0244	937.8943	228.3109	292.5783	965.2832	982.4703	161.3113	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.7223	253.2263
11	500.0000	550.0000	2.5515	0.0000	0.8573	1.4518	0.0267	0.2156	35.1364	3.2414	3.5024	35.2856	35.3105	0.8756	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.5393	3.3912
12	550.0000	600.0000	2.3215	0.0000	0.9627	1.2033	0.0000	0.1554	97.8052	8.6195	15.4722	98.1843	99.0215	8.6195	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.0284	15.1729
13	600.0000	650.0000	2.2675	0.0000	1.6859	0.6054	0.0000	-0.0238	74.8154	24.5600	4.5330	78.7435	74.9526	3.1606	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7555	24.4683
15	700.0000	750.0000	0.3640	0.0000	0.0000	0.3324	0.0000	0.0316	29.2091	41.9501	3.7307	51.1173	29.4464	3.7304	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.7158	41.5613
16	750.0000	800.0000	0.4499	0.0000	0.0000	0.4486	0.0000	0.0013	28.7570	11.8216	7.9182	31.0920	29.8272	3.7827	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.3384	10.6601
17	800.0000	850.0000	0.1462	0.0000	0.0000	0.1001	0.0000	0.0460	38.9042	32.0763	21.4223	50.4225	44.4122	16.0804	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	13.4717	27.7545
18	850.0000	900.0000	0.0876	0.0000	0.0000	0.0789	0.0000	0.0087	48.5637	36.5135	3.5282	60.7591	48.6917	4.2166	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0672	36.2692
19	900.0000	950.0000	1.3083	0.0000	1.0536	0.1613	0.0000	0.0933	81.0219	7.5656	11.5627	81.3743	81.8428	9.2896	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9953	6.8847
20	950.0000	1000.0000	0.5728	0.0000	0.0000	0.5647	0.0000	0.0081	24.3561	18.0424	6.7326	30.3109	25.2695	5.9509	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.2831	17.0328
