Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	4.2659	4.0000	0.3702	3.4695	0.2699	0.1562	10.0958	2.4800	2.1384	10.3960	10.3198	1.6744	0.0000	0.0000	0.0000	0.5192	0.0000	1.5190	0.5045	0.0340	1.3244
2	-3.0144	-2.8888	4.0996	4.0000	0.4535	3.3427	0.2584	0.0449	10.0809	2.8972	4.9053	10.4889	11.2110	4.6853	0.0000	0.0000	0.0000	0.4218	0.0000	1.3345	0.4130	0.5329	0.5457
3	-2.8888	-2.7632	3.7997	2.0000	0.3637	3.0636	0.2536	0.1188	10.6446	2.0610	1.9283	10.8423	10.8178	1.4870	0.0000	0.0000	0.0000	0.4354	0.0000	1.2946	0.4108	0.0000	0.3217
4	-2.7632	-2.6376	3.7302	2.0000	0.2817	3.1461	0.1509	0.1515	11.0247	5.1991	4.0270	12.1892	11.7372	4.1365	0.0000	0.0000	0.0000	0.4401	0.0000	1.2217	0.3959	0.0080	2.8420
5	-2.6376	-2.5120	4.5061	2.0000	0.5158	3.3990	0.3821	0.2092	9.3526	2.6548	3.3211	9.7221	9.9248	2.5627	0.0000	0.0000	0.0000	0.5537	0.0000	1.4305	0.5053	0.0000	1.7662
6	-2.5120	-2.3864	3.9354	1.0000	0.3475	3.1572	0.2986	0.1321	10.1768	4.6080	4.5709	11.1714	11.1561	4.2908	0.0000	0.0000	0.0000	0.4788	0.0000	1.5373	0.4794	0.0000	2.5419
7	-2.3864	-2.2608	3.7113	0.0000	0.3562	2.9654	0.2060	0.1837	11.3204	3.2687	3.5882	11.7829	11.8755	2.9702	0.0000	0.0000	0.0000	0.7080	0.0000	1.6673	0.6025	0.1311	0.6455
8	-2.2608	-2.1352	3.9909	2.0000	0.2796	3.2482	0.2589	0.2042	10.5203	1.9106	1.5513	10.6924	10.6340	0.3742	0.0000	0.0000	0.0000	0.3991	0.0000	1.3568	0.3820	0.0121	1.2264
9	-2.1352	-2.0096	3.4231	1.0000	0.3499	2.7149	0.2032	0.1550	10.8182	2.1168	1.8858	11.0233	10.9813	1.0689	0.0000	0.0000	0.0000	0.5805	0.0000	1.6420	0.5495	0.2930	0.2972
10	-2.0096	-1.8840	4.1365	4.0000	0.3855	3.4507	0.2747	0.0257	10.4129	4.7002	3.2361	11.4246	10.9042	3.8438	0.0000	0.0000	0.0000	0.5283	0.0000	1.7226	0.5046	0.0000	1.9536
11	-1.8840	-1.7584	3.5067	2.0000	0.2712	2.7492	0.2727	0.2137	11.4709	6.1515	4.9897	13.0162	12.5091	5.8842	0.0000	0.0000	0.0000	0.5541	0.0000	1.5028	0.4980	0.0001	3.3889
12	-1.7584	-1.6328	3.5776	5.0000	0.3213	2.8864	0.1857	0.1842	10.1001	1.8969	1.7942	10.2767	10.2582	0.1951	0.0000	0.0000	0.0000	0.5441	0.0000	1.5676	0.5156	0.0200	0.7608
13	-1.6328	-1.5072	3.8748	4.0000	0.2439	3.1943	0.3123	0.1243	10.8467	1.7655	2.6632	10.9895	11.1689	0.6977	0.0000	0.0000	0.0000	0.5645	0.0000	1.4270	0.5229	2.0308	0.5590
14	-1.5072	-1.3816	4.1283	4.0000	0.3716	3.3504	0.2263	0.1800	10.2135	2.0011	1.6777	10.4077	10.3504	0.9323	0.0000	0.0000	0.0000	0.4421	0.0000	1.4665	0.4096	0.0160	0.7885
15	-1.3816	-1.2560	5.0813	7.0000	0.4014	4.0669	0.3456	0.2674	9.2040	2.3721	1.8115	9.5047	9.3805	1.2327	0.0000	0.0000	0.0000	0.5679	0.0000	1.5460	0.5396	0.0000	1.0506
16	-1.2560	-1.1304	3.7025	5.0000	0.3019	2.9554	0.3001	0.1450	10.4618	1.6270	3.5320	10.5876	11.0420	3.1882	0.0000	0.0000	0.0000	0.4279	0.0000	1.4076	0.4137	0.0005	0.0892
17	-1.1304	-1.0048	4.1256	7.0000	0.3630	3.1604	0.4406	0.1615	10.0579	3.5127	3.3522	10.6536	10.6018	2.8957	0.0000	0.0000	0.0000	0.4704	0.0000	1.5340	0.4706	0.0031	1.6639
18	-1.0048	-0.8792	3.9929	1.0000	0.5092	3.0273	0.4073	0.0490	11.1207	2.4761	1.8813	11.3930	11.2787	1.0011	0.0000	0.0000	0.0000	0.5377	0.0000	1.4070	0.4959	0.0000	1.6751
19	-0.8792	-0.7536	4.0590	3.0000	0.4143	3.1185	0.3714	0.1548	10.4561	1.6817	2.3408	10.5904	10.7149	1.1986	0.0000	0.0000	0.0000	0.5658	0.0000	1.4464	0.5506	0.0000	1.1604
20	-0.7536	-0.6280	3.2762	2.0000	0.3875	2.7300	0.1077	0.0510	11.8964	1.7278	2.2895	12.0212	12.1147	1.7818	0.0000	0.0000	0.0000	0.4251	0.0000	1.3156	0.4154	0.0333	0.1070
21	-0.6280	-0.5024	4.3120	3.0000	0.4461	3.3563	0.4252	0.0844	10.6742	3.8009	3.9148	11.3308	11.3695	3.5283	0.0000	0.0000	0.0000	0.5477	0.0000	1.5282	0.5173	0.0336	0.0818
22	-0.5024	-0.3768	3.9794	1.0000	0.3988	3.0609	0.3391	0.1806	10.5529	3.5356	3.3877	11.1295	11.0834	3.1212	0.0000	0.0000	0.0000	0.5471	0.0000	1.4744	0.5215	0.0376	0.1102
23	-0.3768	-0.2512	4.6911	4.0000	0.4535	3.6435	0.4032	0.1909	10.8056	2.4527	3.1872	11.0805	11.2658	1.7874	0.0000	0.0000	0.0000	0.4872	0.0000	1.3961	0.4477	0.8300	1.9768
24	-0.2512	-0.1256	3.9247	4.0000	0.2901	3.3988	0.0214	0.2144	10.2074	3.7396	3.6258	10.8708	10.8322	3.3305	0.0000	0.0000	0.0000	0.5402	0.0000	1.5359	0.4909	0.0001	0.0001
