Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-2.4000	-2.3040	2.8267	4.0000	0.2075	1.0390	1.4719	0.1083	24.9528	2.6294	3.5462	25.0910	25.2036	2.0592	0.4014	1.9336	0.6130	0.0000	0.0000	0.0000	0.0000	0.0000	2.0147
2	-2.3040	-2.2080	2.7643	5.0000	0.2309	1.0089	1.3195	0.2049	12.8181	2.5675	3.6298	13.0727	13.3221	2.5785	0.4062	2.4431	0.6117	0.0000	0.0000	0.0000	0.0000	0.0000	0.1364
3	-2.2080	-2.1120	4.1443	8.0000	0.1550	2.6722	1.1460	0.1711	30.3383	11.3054	10.0373	32.3763	31.9556	10.9454	0.4049	2.7252	0.6468	0.0000	0.0000	0.0000	0.0000	0.0000	0.1561
4	-2.1120	-2.0160	3.8805	8.0000	0.3047	1.7109	1.7636	0.1014	12.7851	4.9486	5.5661	13.7094	13.9442	5.0299	0.4070	2.2688	0.6075	0.0000	0.0000	0.0000	0.0000	0.0000	0.0018
5	-2.0160	-1.9200	4.3440	4.0000	0.5162	1.8187	1.7562	0.2528	12.2539	3.4593	3.3332	12.7328	12.6991	2.3253	0.4046	2.3246	0.5310	0.0000	0.0000	0.0000	0.0000	0.0000	0.8429
6	-1.9200	-1.8240	5.0450	10.0000	0.5042	2.4770	1.8405	0.2233	9.7310	2.7927	3.4576	10.1238	10.3271	2.5755	0.4102	2.1828	0.6037	0.0000	0.0000	0.0000	0.0000	0.1130	0.1942
7	-1.8240	-1.7280	5.8317	6.0000	0.4619	2.7460	2.1377	0.4860	9.0970	3.3217	3.8540	9.6845	9.8797	2.7215	0.4063	2.6096	0.6868	0.0000	0.0000	0.0000	0.0000	0.3307	0.0139
8	-1.7280	-1.6320	6.0782	5.0000	0.5419	3.3129	1.9821	0.2413	9.3180	2.7644	3.2051	9.7194	9.8539	1.6649	0.4166	2.4700	0.6233	0.0000	0.0000	0.0000	0.0000	0.9156	0.7904
9	-1.6320	-1.5360	5.9789	9.0000	0.8257	3.3197	1.5874	0.2461	8.3906	2.9443	2.9831	8.8922	8.9051	0.4806	0.4086	2.8421	0.6507	0.0000	0.0000	0.0000	0.0000	0.0000	0.0321
10	-1.5360	-1.4400	6.7450	12.0000	0.7072	4.2627	1.4480	0.3271	8.5215	3.2302	4.0267	9.1132	9.4250	3.1659	0.4124	2.3058	0.7164	0.0000	0.0000	0.0000	0.0000	0.1310	0.7671
11	-1.4400	-1.3440	6.8131	10.0000	0.9326	4.3500	1.2493	0.2813	9.1767	3.2570	2.7276	9.7375	9.5734	2.2681	0.4146	2.1828	0.6387	0.0000	0.0000	0.0000	0.0000	0.0094	0.3447
12	-1.3440	-1.2480	7.9248	13.0000	0.8834	4.9898	1.5043	0.5473	7.3869	2.8102	3.4432	7.9034	8.1500	1.9600	0.4135	2.4589	0.6836	0.0000	0.0000	0.0000	0.0000	0.1699	1.1506
13	-1.2480	-1.1520	8.0606	7.0000	0.9570	4.9005	1.7731	0.4300	7.3790	3.1647	2.8122	8.0290	7.8967	1.4520	0.4214	2.6767	0.7514	0.0000	0.0000	0.0000	0.0000	0.0065	0.0298
14	-1.1520	-1.0560	8.8312	9.0000	0.8423	6.0059	1.4410	0.5419	6.9121	2.7816	2.6365	7.4508	7.3979	0.5824	0.4138	2.5048	0.7111	0.0000	0.0000	0.0000	0.0000	0.0165	0.6685
15	-1.0560	-0.9600	7.9778	15.0000	1.0834	4.5985	1.7993	0.4966	7.4179	4.1964	4.0915	8.5226	8.4715	3.2347	0.4165	2.5408	0.7184	0.0000	0.0000	0.0000	0.0000	0.0065	0.0321
16	-0.9600	-0.8640	6.9232	9.0000	1.0571	4.1242	1.4582	0.2837	8.8357	3.6302	3.7072	9.5524	9.5819	1.5407	0.4237	2.9714	0.8596	0.0000	0.0000	0.0000	0.0000	0.4179	1.7184
17	-0.8640	-0.7680	6.8700	5.0000	0.7172	5.0062	1.0643	0.0823	7.9913	3.0272	3.7351	8.5455	8.8211	2.6188	0.4130	2.5204	0.7547	0.0000	0.0000	0.0000	0.0000	0.0008	0.0402
18	-0.7680	-0.6720	7.7392	5.0000	0.8094	5.2487	1.3614	0.3196	7.9925	6.5216	3.5816	10.3156	8.7583	5.8096	0.4161	2.7243	0.7565	0.0000	0.0000	0.0000	0.0000	0.0000	1.1735
19	-0.6720	-0.5760	7.8490	11.0000	1.0047	5.6016	0.8275	0.4152	7.3317	5.0442	4.9866	8.8993	8.8668	4.1970	0.4181	2.5892	0.7638	0.0000	0.0000	0.0000	0.0000	0.3338	0.6054
20	-0.5760	-0.4800	7.8423	4.0000	1.1971	5.1495	0.9941	0.5015	7.4671	3.4110	3.1582	8.2093	8.1075	1.5870	0.4272	2.8587	0.8726	0.0000	0.0000	0.0000	0.0000	0.0118	0.0709
21	-0.4800	-0.3840	7.8770	6.0000	1.0570	5.3502	1.0510	0.4187	7.1916	3.4653	3.1573	7.9830	7.8542	1.3963	0.4205	2.9520	0.8386	0.0000	0.0000	0.0000	0.0000	0.0363	0.6810
22	-0.3840	-0.2880	8.2197	7.0000	0.9133	4.8232	1.8634	0.6198	7.2872	3.0162	3.1541	7.8868	7.9405	0.7414	0.4265	2.8622	0.8497	0.0000	0.0000	0.0000	0.0000	0.0000	0.5498
