Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
11	40.0000	44.0000	8.0990	7.0000	1.1860	6.2512	0.3678	0.2941	7.4242	3.5176	2.8243	8.2154	7.9433	3.2472	0.0000	0.0000	0.0000	0.4244	0.0000	1.2190	0.4035	0.0000	0.0000
12	44.0000	48.0000	9.5094	10.0000	1.1025	7.5702	0.6189	0.2179	6.8090	3.6942	2.5276	7.7466	7.2630	3.4257	0.0000	0.0000	0.0000	0.4389	0.0000	1.2465	0.4066	0.0000	0.0254
13	48.0000	52.0000	9.7402	7.0000	0.8411	7.7049	0.8194	0.3749	6.8656	1.6171	1.6940	7.0535	7.0715	0.8357	0.0000	0.0000	0.0000	0.4572	0.0000	1.3388	0.4352	0.0000	0.0000
14	52.0000	56.0000	10.4017	7.0000	0.7934	8.6930	0.6606	0.2547	6.3770	2.7027	2.8208	6.9260	6.9730	2.4206	0.0000	0.0000	0.0000	0.4472	0.0000	1.3194	0.4193	0.0000	0.0000
15	56.0000	60.0000	9.7180	13.0000	1.0483	7.4279	0.9795	0.2624	7.2009	3.1182	2.6202	7.8470	7.6628	2.7008	0.0000	0.0000	0.0000	0.5244	0.0000	1.3821	0.4933	0.0000	0.0000
16	60.0000	64.0000	10.1485	9.0000	0.8876	7.9425	0.9807	0.3377	6.6433	1.9367	1.4897	6.9198	6.8082	1.4531	0.0000	0.0000	0.0000	0.3507	0.0000	1.1836	0.3397	0.0000	0.0000
17	64.0000	68.0000	9.9474	6.0000	0.7130	7.9434	0.9831	0.3080	6.7524	1.9923	2.0769	7.0402	7.0646	1.0985	0.0000	0.0000	0.0000	0.6024	0.0000	1.5591	0.5857	0.0000	0.0015
18	68.0000	72.0000	10.1000	11.0000	0.8666	7.7378	0.9024	0.5932	6.7359	1.6649	2.0745	6.9386	7.0481	0.9793	0.0000	0.0000	0.0000	0.5398	0.0000	1.4894	0.5122	0.7775	0.0016
19	72.0000	76.0000	9.1766	7.0000	0.4297	7.5148	0.8482	0.3839	7.1363	1.7069	1.8032	7.3376	7.3606	0.4973	0.0000	0.0000	0.0000	0.5176	0.0000	1.4727	0.4792	0.0000	0.7297
20	76.0000	80.0000	9.2578	7.0000	0.2815	7.2750	1.5046	0.1967	7.1273	1.7974	1.9710	7.3505	7.3948	1.0154	0.0000	0.0000	0.0000	0.4500	0.0000	1.3477	0.4254	0.2803	1.0388
21	80.0000	84.0000	7.8921	8.0000	0.4479	6.3508	0.7715	0.3219	7.4184	2.5245	2.2692	7.8362	7.7577	2.1136	0.0000	0.0000	0.0000	0.4012	0.0000	1.2641	0.3825	0.4389	0.4389
22	84.0000	88.0000	8.3857	5.0000	0.4148	6.3967	1.1101	0.4641	7.8374	1.5868	1.6445	7.9964	8.0081	0.4799	0.0000	0.0000	0.0000	0.4824	0.0000	1.4155	0.4634	0.0000	0.2187
23	88.0000	92.0000	8.4491	10.0000	0.4371	6.0904	1.5361	0.3855	7.4568	2.1868	1.6904	7.7708	7.6460	1.2211	0.0000	0.0000	0.0000	0.5142	0.0000	1.4690	0.4707	0.1203	0.7997
24	92.0000	96.0000	7.9360	8.0000	0.4763	5.8769	1.2738	0.3090	7.5459	1.9474	1.8793	7.7931	7.7764	0.8726	0.0000	0.0000	0.0000	0.4341	0.0000	1.3481	0.3942	0.4906	1.2772
25	96.0000	100.0000	7.3240	8.0000	0.3002	5.9148	0.6474	0.4616	7.6356	1.6780	2.5113	7.8178	8.0380	2.0997	0.0000	0.0000	0.0000	0.3526	0.0000	1.2902	0.3457	0.0075	0.1064
26	100.0000	104.0000	7.0169	7.0000	0.5306	5.0642	0.9454	0.4767	8.1823	4.2780	2.3363	9.2332	8.5093	3.7680	0.0000	0.0000	0.0000	0.6006	0.0000	1.6541	0.5653	0.0771	0.8253
27	104.0000	108.0000	6.7640	5.0000	0.3720	4.7137	1.3556	0.3228	8.4091	3.2215	2.1479	9.0050	8.6790	1.5920	0.0000	0.0000	0.0000	0.4484	0.0000	1.3148	0.4194	0.9773	2.3555
