Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
21	2.0000	2.1000	2.2079	1.0000	0.8994	0.1697	0.0751	1.0637	61.1488	0.0000	137.2397	61.1488	150.2462	49.2267	45.2925	45.2925	45.2925	45.2925	45.2925	45.2925	45.2925	45.2946
22	2.1000	2.2000	2.7059	0.0000	2.2635	0.2073	0.1020	0.1332	83.7565	11.6714	25.3519	84.5658	87.5093	25.3519	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0039
24	2.3000	2.4000	10.5761	6.0000	6.2981	0.2132	0.7445	3.3203	38.3481	0.0000	91.5986	38.3481	99.3020	44.1955	28.3658	28.3658	28.3658	28.3658	28.3658	28.3658	28.3658	28.3677
25	2.4000	2.5000	14.3171	6.0000	10.2806	0.9240	1.0198	2.0927	29.1500	0.5524	26.1087	29.1552	39.1329	17.0685	6.9859	6.9847	6.9847	6.9847	6.9847	6.9847	6.9847	6.9868
26	2.5000	2.6000	7.3769	8.0000	3.5642	1.3210	1.7546	0.7371	63.6725	5.0139	0.0105	63.8696	63.6725	5.0139	0.0004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0013	0.0105
27	2.6000	2.7000	27.9270	18.0000	20.0115	1.4607	2.7564	3.6984	29.8807	16.4537	38.9919	34.1113	49.1246	33.3169	7.1616	7.1615	7.1615	7.1615	7.1615	7.1615	7.1619	7.1646
28	2.7000	2.8000	28.2639	18.0000	14.8298	2.4598	4.9165	6.0577	31.1214	0.0000	44.1038	31.1214	53.9786	18.5167	14.1529	14.1523	14.1523	14.1523	14.1523	14.1523	14.1550	14.1478
29	2.8000	2.9000	61.7105	48.0000	38.3874	4.2615	7.7885	11.2731	16.4071	0.0000	39.7613	16.4071	43.0134	15.3711	12.9639	12.9638	12.9638	12.9638	12.9638	12.9638	12.9635	12.9722
30	2.9000	3.0000	96.3053	79.0000	66.5996	4.6261	11.4736	13.6060	16.9766	0.0000	23.5752	16.9766	29.0516	9.8202	7.2691	7.2686	7.2686	7.2686	7.2686	7.2686	7.9162	8.9269
31	3.0000	3.1000	204.3845	165.0000	160.7296	7.2685	16.9598	19.4267	10.2964	0.0000	15.5865	10.2964	18.6803	4.9126	4.8930	4.8927	4.8927	4.8927	4.8927	4.8927	5.4818	6.7172
32	3.1000	3.2000	207.4467	193.0000	161.9781	4.7065	17.8483	22.9137	11.2331	0.0000	15.1952	11.2331	18.8964	6.1935	4.8209	4.8205	4.8205	4.8205	4.8205	4.8205	4.8205	5.4653
