Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	50.0000	47.3668	0.0000	-0.6743	47.0918	0.2282	0.7211	14.1051	8.5238	9.6799	16.4805	17.1071	2.2740	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.2129	9.1451
2	50.0000	100.0000	105.9556	0.0000	7.2417	96.8011	0.1195	1.7933	8.7172	13.5765	4.4613	16.1341	9.7925	0.3385	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.1150	13.4098
3	100.0000	150.0000	109.7366	0.0000	19.4508	87.1085	0.4540	2.7233	8.9821	8.5116	4.1919	12.3744	9.9121	2.4404	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5093	8.1383
4	150.0000	200.0000	81.6863	0.0000	21.9379	56.9259	0.5823	2.2402	10.8846	1.0881	4.5622	10.9388	11.8020	1.0845	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.2624	4.3646
5	200.0000	250.0000	64.7769	0.0000	28.5885	34.6443	0.2984	1.2458	14.1974	6.0375	13.7722	15.4278	19.7798	6.3978	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1608	12.1949
6	250.0000	300.0000	38.9600	0.0000	16.6461	19.9320	0.0499	2.3321	20.4561	4.9065	0.3222	21.0363	20.4586	4.6799	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0361	1.4738
7	300.0000	350.0000	28.1627	0.0000	15.2920	11.5584	0.0699	1.2424	23.7854	9.0041	3.9832	25.4327	24.1166	8.9737	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0142	0.7966
8	350.0000	400.0000	16.7342	0.0000	8.7239	6.9100	0.0000	1.1004	23.0673	0.1604	3.4697	23.0678	23.3268	3.4451	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3039	0.2794
9	400.0000	450.0000	9.3093	0.0000	4.1928	4.3958	0.0764	0.6443	42.9419	27.2886	10.5132	50.8790	44.2101	10.5128	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	9.1116	24.9890
10	450.0000	500.0000	1.7926	0.0000	-0.6842	1.9564	0.0629	0.4574	62.9351	2.8859	9.1210	63.0012	63.5926	9.0472	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.1580
