Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-5.0000	-4.8000	0.0529	0.0000	0.0000	0.0528	0.0000	0.0001	71.3784	38.1298	59.7587	80.9244	93.0912	20.8956	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	31.8945	57.8682
2	-4.8000	-4.6000	0.0990	0.0000	0.0000	0.0985	0.0000	0.0005	70.6852	58.5761	8.8293	91.8017	71.2345	8.8287	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	10.0196	57.7127
3	-4.6000	-4.4000	0.1935	0.0000	0.0000	0.1914	0.0000	0.0021	51.7857	15.2469	31.1070	53.9835	60.4103	23.6312	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	13.8876	14.7087
4	-4.4000	-4.2000	0.2936	0.0000	0.0000	0.2928	0.0000	0.0008	34.7394	25.0564	18.3340	42.8328	39.2805	15.5204	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	9.7665	19.2829
5	-4.2000	-4.0000	0.4680	0.0000	0.0000	0.4500	0.0000	0.0179	29.8493	246.4818	31.7787	248.2826	43.5989	27.7434	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	18.2958	244.4184
6	-4.0000	-3.8000	0.4569	0.0000	0.0000	0.4554	0.0000	0.0015	31.0824	15.9473	20.9906	34.9347	37.5063	3.5081	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	18.2133	10.4173
8	-3.6000	-3.4000	1.4785	0.0000	0.0000	1.4292	0.0287	0.0206	16.8671	2.4416	11.6918	17.0429	20.5230	4.5008	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.0354	10.0078
9	-3.4000	-3.2000	2.2314	0.0000	0.8928	1.2925	0.0000	0.0461	116.0867	16.6306	35.2779	117.2719	121.3287	35.2779	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.4288	9.7532
10	-3.2000	-3.0000	4.4199	0.0000	2.2087	2.1021	0.0292	0.0799	41.5262	11.4280	17.6895	43.0700	45.1369	10.6802	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.1303	14.1015
11	-3.0000	-2.8000	4.9111	0.0000	1.2334	3.5473	0.0277	0.1027	51.9668	27.7717	6.7140	58.9222	52.3988	5.9587	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.5014	27.7311
12	-2.8000	-2.6000	4.7366	0.0000	0.0000	4.6171	0.0000	0.1194	9.0919	10.8368	40.8721	14.1457	41.8711	2.5229	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.1208	40.4910
13	-2.6000	-2.4000	10.7819	0.0000	3.0333	7.2897	0.2223	0.2366	27.7415	8.0546	9.4544	28.8872	29.3083	9.1875	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.3386	2.2303
14	-2.4000	-2.2000	10.9681	0.0000	2.1537	8.5060	0.2382	0.0702	25.2783	6.8951	7.3420	26.2018	26.3229	6.6211	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.7074	2.6741
15	-2.2000	-2.0000	15.0925	0.0000	3.0585	11.4760	0.1430	0.4150	33.9739	7.2902	7.2357	34.7472	34.7359	6.4715	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7434	4.2168
16	-2.0000	-1.8000	14.5777	0.0000	-0.0207	13.8997	0.2409	0.4577	16.7415	5.4721	14.9877	17.6131	22.4702	0.8514	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.7293	14.9135
17	-1.8000	-1.6000	16.5851	0.0000	1.9543	13.6627	0.2755	0.6927	19.6488	22.6841	11.0744	30.0107	22.5547	5.3969	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.1842	22.0547
18	-1.6000	-1.4000	19.4518	0.0000	3.0062	15.4594	0.1068	0.8794	25.2866	10.7682	2.1306	27.4839	25.3762	5.3931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.8762	4.9834
19	-1.4000	-1.2000	25.6622	0.0000	8.1193	16.4677	0.0911	0.9841	22.6733	8.1955	2.9477	24.1090	22.8641	2.2039	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.6668	7.8936
20	-1.2000	-1.0000	21.8524	0.0000	5.6274	14.7815	0.5060	0.9374	26.4757	16.1853	20.8789	31.0311	33.7178	12.4183	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.9864	16.7670
21	-1.0000	-0.8000	21.6669	0.0000	5.7947	14.6795	0.1285	1.0641	26.4141	13.2443	8.6955	29.5485	27.8085	6.3847	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.2112	10.8126
22	-0.8000	-0.6000	20.6572	0.0000	5.2101	14.0389	0.3103	1.0979	21.7089	17.2307	13.8920	27.7159	25.7733	8.8621	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.6436	15.8197
23	-0.6000	-0.4000	21.5074	0.0000	6.3745	13.8663	0.1132	1.1533	21.9268	6.6868	12.9046	22.9237	25.4423	5.6779	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.6096	10.6320
24	-0.4000	-0.2000	24.8454	0.0000	9.8513	13.4382	0.0000	1.5559	19.5168	16.8519	3.6956	25.7855	19.8636	3.6956	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.1538	16.6905
25	-0.2000	0.0000	20.2847	0.0000	5.7416	13.6281	0.2836	0.6314	25.1949	11.3287	11.0011	27.6246	27.4919	11.3078	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0578	5.4847
26	0.0000	0.2000	15.6477	0.0000	1.8966	13.0840	0.0207	0.6465	24.2169	21.7071	12.7951	32.5216	27.3893	21.0570	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.8491	7.6266
27	0.2000	0.4000	17.1373	0.0000	4.0909	12.5089	0.0823	0.4551	25.7317	7.6363	6.0873	26.8409	26.4419	7.4570	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.6655	1.6450
28	0.4000	0.6000	14.6376	0.0000	-0.6543	13.7145	0.3786	1.1987	33.5876	19.6276	30.7584	38.9020	45.5434	21.4185	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.1601	22.0755
29	0.6000	0.8000	20.4499	0.0000	4.2874	14.6973	0.0870	1.3783	23.2700	13.6157	15.9758	26.9607	28.2262	14.1032	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.2091	6.2136
30	0.8000	1.0000	21.5992	0.0000	5.8975	14.9787	0.0760	0.6470	19.7284	16.2025	11.4091	25.5291	22.7899	10.2446	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.0793	15.3921
31	1.0000	1.2000	21.6510	0.0000	6.4098	14.0633	0.3244	0.8535	20.3360	8.8304	6.3407	22.1704	21.3016	6.3407	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0180	7.0823
32	1.2000	1.4000	21.8282	0.0000	5.1827	15.7230	0.3536	0.5689	19.8292	12.6274	13.8152	23.5084	24.1672	12.6272	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.8067	11.6748
33	1.4000	1.6000	30.4345	0.0000	14.2173	15.2528	0.3620	0.6025	16.3615	4.1167	3.0947	16.8714	16.6516	3.0947	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.1795	1.7499
34	1.6000	1.8000	14.9335	0.0000	-2.1214	16.0027	0.2272	0.8251	34.8200	17.3762	6.4017	38.9148	35.4036	4.3989	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7134	16.9744
35	1.8000	2.0000	16.2798	0.0000	2.4963	13.2663	0.0124	0.5048	32.5349	5.1699	5.9782	32.9431	33.0796	1.1126	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.6399	5.8801
36	2.0000	2.2000	18.2300	0.0000	5.5507	12.2488	0.1034	0.3271	19.0873	0.0000	14.4207	19.0873	23.9224	0.7138	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.8775	12.0579
37	2.2000	2.4000	11.9340	0.0000	2.4463	9.1770	0.1642	0.1465	27.6915	35.8397	22.2679	45.2913	35.5342	17.1430	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2026	31.4738
38	2.4000	2.6000	11.1009	0.0000	4.0077	6.5813	0.2286	0.2832	33.1027	16.0782	16.9532	36.8008	37.1914	16.9514	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.1811	11.1635
39	2.6000	2.8000	4.8657	0.0000	-0.4657	5.1487	0.0595	0.1232	49.2806	58.5828	10.2512	76.5541	50.3355	17.4927	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	44.1412	34.3148
40	2.8000	3.0000	4.0693	0.0000	0.0000	3.8405	0.0000	0.2288	9.8479	0.4356	6.3083	9.8575	11.6951	1.5221	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.1491	6.0131
41	3.0000	3.2000	2.0310	0.0000	0.0000	2.0099	0.0104	0.0107	13.1167	16.9233	108.2665	21.4113	109.0582	7.3339	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.8747	108.1608
42	3.2000	3.4000	1.6262	0.0000	0.0000	1.5411	0.0000	0.0851	16.4160	21.9362	13.6740	27.3986	21.3650	2.1890	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.2555	20.5856
43	3.4000	3.6000	0.8078	0.0000	0.0000	0.7961	0.0000	0.0118	21.9187	25.7502	23.6573	33.8157	32.2505	18.2043	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	24.0567	15.1086
44	3.6000	3.8000	1.5233	0.0000	0.3937	1.1095	0.0000	0.0201	29.5123	8.9211	17.8817	30.8312	34.5070	8.9211	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	15.5134	6.2924
45	3.8000	4.0000	0.4571	0.0000	0.0000	0.3705	0.0000	0.0865	38.0738	58.2374	31.8712	69.5788	49.6527	19.9960	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	45.9278	33.4584
46	4.0000	4.2000	0.3153	0.0000	0.0000	0.2893	0.0308	-0.0047	29.5500	22.6824	36.5370	37.2518	46.9910	20.6990	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	32.5800	9.2758
47	4.2000	4.4000	0.2836	0.0000	0.0000	0.2825	0.0000	0.0011	37.1923	22.9762	50.8819	43.7169	63.0257	22.9762	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	17.0464	46.2280
48	4.4000	4.6000	0.0696	0.0000	0.0000	0.0694	0.0000	0.0001	61.2171	166.5152	14.4221	177.4115	62.8930	14.4221	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	70.5725	150.1777
49	4.6000	4.8000	0.0732	0.0000	0.0000	0.0359	0.0000	0.0373	60.7921	32.7686	59.7075	69.0612	85.2095	17.5392	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	48.9348	30.8377
50	4.8000	5.0000	0.2126	0.0000	0.0000	0.1996	0.0000	0.0130	35.1033	26.3593	26.7085	43.8982	44.1088	22.4018	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	10.4946	17.1825
