Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-5.0000	-4.8000	0.3165	0.0000	0.0000	0.3128	0.0000	0.0037	36.3434	12.6018	60.4459	38.4662	70.5305	8.5616	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	12.5811	59.8365
2	-4.8000	-4.6000	0.2038	0.0000	0.0000	0.2010	0.0000	0.0028	45.1544	67.1406	35.2949	80.9122	57.3118	5.9256	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	34.3491	66.5917
3	-4.6000	-4.4000	0.2513	0.0000	0.0000	0.2435	0.0000	0.0077	36.3200	709.0316	15.5234	709.9612	39.4984	15.5234	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	45.6966	707.4297
4	-4.4000	-4.2000	2.4003	0.0000	1.6037	0.6978	0.0000	0.0988	67.2468	11.1835	82.1367	68.1704	106.1535	13.8691	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.3936	80.8861
5	-4.2000	-4.0000	0.7105	0.0000	0.0000	0.7007	0.0000	0.0098	21.8629	238.9113	15.2350	239.9095	26.6475	2.1936	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	15.2330	238.9012
6	-4.0000	-3.8000	1.7893	0.0000	0.8343	0.8386	0.0000	0.1164	47.9715	8.7736	42.3803	48.7672	64.0106	5.2253	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.6224	42.0891
7	-3.8000	-3.6000	1.8840	0.0000	0.0000	1.5665	0.0649	0.2526	14.8834	9.1980	21.5615	17.4963	26.1995	8.5782	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.3808	21.3983
8	-3.6000	-3.4000	2.3278	0.0000	0.0000	2.0404	0.0292	0.2582	12.9613	26.1651	6.2671	29.1995	14.3970	1.5478	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.8371	26.1193
9	-3.4000	-3.2000	1.0899	0.0000	-2.4679	3.3426	0.0532	0.1620	201.2346	39.3860	122.1764	205.0527	235.4197	28.3556	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	17.4812	122.1571
10	-3.2000	-3.0000	3.1621	0.0000	-2.1866	5.1801	0.0341	0.1344	52.1517	66.5254	13.6418	84.5306	53.9064	12.8449	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	42.0064	50.8776
11	-3.0000	-2.8000	11.5975	0.0000	4.9003	6.3784	0.0751	0.2437	27.6588	5.5119	13.8894	28.2027	30.9504	7.9356	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	9.6617	6.0492
12	-2.8000	-2.6000	14.8093	0.0000	5.7248	8.5966	0.0916	0.3964	21.4301	1.3245	16.2465	21.4710	26.8924	3.1931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.1409	15.7851
13	-2.6000	-2.4000	13.3923	0.0000	2.4318	10.1456	0.2017	0.6131	33.3407	41.0009	23.7360	52.8458	40.9267	12.2178	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	11.5966	39.8554
14	-2.4000	-2.2000	13.7993	0.0000	0.4242	12.7451	0.1470	0.4831	29.6163	35.9058	38.3242	46.5441	48.4341	38.3242	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	13.8531	26.2228
15	-2.2000	-2.0000	13.7782	0.0000	-0.2841	13.5695	0.2509	0.2420	33.8837	22.4821	12.2852	40.6638	36.0421	5.7862	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.9882	21.7247
16	-2.0000	-1.8000	13.9401	0.0000	-2.5955	15.3486	0.4380	0.7488	38.5709	26.9663	36.8983	47.0627	53.3779	18.2110	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	13.6112	35.2796
17	-1.8000	-1.6000	25.2407	0.0000	10.4928	14.0013	0.1604	0.5862	24.1245	12.7154	12.6616	27.2703	27.2453	11.1559	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.6160	6.1011
18	-1.6000	-1.4000	22.4216	0.0000	8.0006	13.5428	0.0911	0.7871	23.1128	10.0594	21.7558	25.2070	31.7414	9.5854	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.8935	20.2807
19	-1.4000	-1.2000	18.7675	0.0000	4.0402	13.9367	0.2001	0.5905	18.7191	20.7304	5.7558	27.9312	19.5840	5.7558	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4957	20.3019
20	-1.2000	-1.0000	21.2498	0.0000	7.9415	12.0068	0.3467	0.9547	18.1243	2.1198	20.2388	18.2479	27.1680	4.0709	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0428	19.7977
21	-1.0000	-0.8000	18.8204	0.0000	6.1909	11.7683	0.2861	0.5750	25.5477	5.8310	4.6357	26.2047	25.9649	2.3666	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.2918	5.3292
22	-0.8000	-0.6000	12.1938	0.0000	-0.1260	11.2973	0.1579	0.8646	24.4950	37.3459	13.6589	44.6623	28.0459	9.0176	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	8.3411	36.2409
23	-0.6000	-0.4000	9.1061	0.0000	-0.2846	8.6427	0.1740	0.5739	44.7143	45.0035	20.9336	63.4404	49.3720	19.9638	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	14.2790	38.4529
24	-0.4000	-0.2000	18.8568	0.0000	7.8898	9.9627	0.2152	0.7891	21.3919	1.6659	8.3838	21.4567	22.9761	3.9589	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.6839	7.1959
25	-0.2000	0.0000	15.7080	0.0000	6.0008	9.0936	0.1507	0.4629	33.1198	38.6687	21.1156	50.9136	39.2784	32.3165	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.5912	21.2348
26	0.0000	0.2000	9.1978	0.0000	-0.1688	8.8376	0.2125	0.3165	46.5162	11.3977	16.9461	47.8922	49.5069	3.3339	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	10.8992	16.9461
27	0.2000	0.4000	16.1656	0.0000	6.8337	8.8142	0.1159	0.4018	26.8230	8.7268	15.5627	28.2069	31.0108	10.5771	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	9.2738	6.6573
28	0.4000	0.6000	15.2715	0.0000	4.8766	9.8106	0.2044	0.3799	30.0950	26.5634	18.2501	40.1413	35.1962	5.6588	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8883	26.2671
29	0.6000	0.8000	15.0065	0.0000	3.4520	11.1025	0.0368	0.4153	28.4335	21.0724	27.4715	35.3908	39.5366	12.6380	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	16.8620	24.6952
30	0.8000	1.0000	10.0527	0.0000	-1.5954	11.0200	0.0000	0.6280	35.0393	28.9006	15.6655	45.4202	38.3818	7.4356	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.4182	27.9249
31	1.0000	1.2000	12.4737	0.0000	-0.3985	12.2340	0.2010	0.4371	30.6585	8.0283	6.5162	31.6922	31.3433	6.5160	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.5875	0.4907
32	1.2000	1.4000	13.2201	0.0000	-2.4033	14.7229	0.1023	0.7982	34.4266	14.9816	16.2857	37.5451	38.0843	9.9593	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	8.1547	12.5946
33	1.4000	1.6000	19.6540	0.0000	3.6862	14.9475	0.4183	0.6019	10.7186	4.4524	8.7179	11.6066	13.8164	3.5435	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.8626	8.4318
34	1.6000	1.8000	25.9999	0.0000	10.5850	14.7774	0.0614	0.5761	17.7732	10.1915	19.8783	20.4879	26.6652	3.6922	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7634	19.6180
35	1.8000	2.0000	21.4870	0.0000	5.4122	15.0985	0.1889	0.7872	17.5064	8.9389	14.2870	19.6565	22.5963	8.9178	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.3082	13.1017
36	2.0000	2.2000	18.2895	0.0000	3.5074	13.7352	0.1202	0.9267	29.5874	26.7085	6.8731	39.8592	30.3752	7.2308	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	13.1986	22.0648
37	2.2000	2.4000	20.5573	0.0000	8.0465	11.6811	0.1977	0.6320	20.8755	18.6611	5.7430	28.0005	21.6511	5.2704	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.5691	16.9872
