Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	50.0000	32.1488	0.0000	7.6883	15.7036	6.2520	2.5049	12.8353	2.1480	2.7351	13.0138	13.1235	2.1443	0.4435	0.8310	0.0000	0.0000	0.0000	0.0000	0.0970	1.4851
2	50.0000	100.0000	80.7802	0.0000	34.8292	33.6314	8.8444	3.4752	11.8756	3.5239	6.0311	12.3874	13.3193	3.0360	0.4285	0.6712	0.0000	0.0000	0.0000	0.0000	0.0437	5.7194
3	100.0000	150.0000	50.4276	0.0000	3.1716	33.8030	9.2278	4.2252	14.8261	4.6881	8.4112	15.5496	17.0458	4.6952	0.4217	0.6935	0.0000	0.0000	0.0000	0.0000	4.0119	5.6524
4	150.0000	200.0000	34.2745	0.0000	1.5986	24.3705	4.6697	3.6357	12.6227	3.0126	2.5214	12.9772	12.8721	1.9643	0.4212	0.6373	0.0000	0.0000	0.0000	0.0000	0.0915	2.1525
5	200.0000	250.0000	29.4740	0.0000	7.6725	16.0844	3.6437	2.0734	22.8438	3.8992	1.5950	23.1742	22.8995	1.3606	0.4303	0.6703	0.0000	0.0000	0.0000	0.0000	0.2418	3.8170
6	250.0000	300.0000	16.0584	0.0000	3.5897	8.8423	2.1340	1.4924	24.6077	5.1950	3.6057	25.1501	24.8705	4.9695	0.4038	0.6037	0.0000	0.0000	0.0000	0.0000	0.4305	1.6761
7	300.0000	350.0000	10.9376	0.0000	1.8584	4.8935	1.7025	2.4832	46.0520	3.1435	2.6070	46.1592	46.1257	3.0142	0.4428	0.7746	0.0000	0.0000	0.0000	0.0000	0.0095	2.4496
8	350.0000	400.0000	4.1771	0.0000	0.0441	2.3362	0.8171	0.9798	65.1307	3.6660	2.4826	65.2338	65.1780	3.0970	0.4138	0.5412	0.0000	0.0000	0.0000	0.0000	0.8020	1.6555
9	400.0000	450.0000	2.5468	0.0000	-0.0116	1.0229	0.8530	0.6825	104.6163	2.4396	3.7746	104.6447	104.6844	1.7414	0.4022	0.7334	0.0000	0.0000	0.0000	0.0000	0.0000	3.6808
11	500.0000	550.0000	0.7978	0.0000	0.0000	0.3790	0.0994	0.3194	26.9659	0.7227	1.0147	26.9756	26.9850	0.7417	0.3984	0.5664	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
12	550.0000	600.0000	0.7689	0.0000	0.0000	0.2325	0.0220	0.5144	44.7038	0.7700	7.2107	44.7105	45.2816	7.1695	0.4459	0.6278	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
13	600.0000	650.0000	0.2320	0.0000	0.0000	0.0000	0.0186	0.2133	57.8565	8.4817	6.4530	58.4749	58.2153	8.4541	0.4018	0.5535	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
14	650.0000	700.0000	0.1351	0.0000	0.0000	0.0335	0.0925	0.0091	49.9927	5.4289	7.4747	50.2866	50.5484	7.4221	0.4308	0.7730	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
15	700.0000	750.0000	0.0261	0.0000	0.0000	0.0000	0.0107	0.0154	42.9075	6.2090	6.3671	43.3545	43.3774	6.3178	0.4385	0.6574	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
17	800.0000	850.0000	0.0780	0.0000	0.0000	0.0679	0.0137	-0.0035	63.3584	1.6190	8.1993	63.3790	63.8867	8.1678	0.3985	0.5975	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
18	850.0000	900.0000	0.0133	0.0000	0.0000	0.0000	0.0105	0.0028	70.8008	29.9279	18.5066	76.8663	73.1795	23.3926	0.4072	0.7070	0.0000	0.0000	0.0000	0.0000	0.0000	18.6494
19	900.0000	950.0000	0.0038	0.0000	0.0000	0.0000	0.0035	0.0003	47.1895	6.8582	10.4563	47.6852	48.3341	10.4237	0.4227	0.7087	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
20	950.0000	1000.0000	0.0093	0.0000	0.0000	0.0000	0.0036	0.0056	51.3763	11.6702	12.5682	52.6850	52.8912	12.5432	0.4075	0.6788	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
