Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
3	2.0000	3.0000	1261.2795	0.0000	482.6512	688.9546	39.2243	50.4495	0.5160	2.8586	2.7953	2.9048	2.8425	0.6764	0.8494	2.6940	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	3.0000	4.0000	552.8274	0.0000	111.2288	410.6068	11.1473	19.8446	0.7994	2.6137	2.6078	2.7332	2.7276	0.5894	0.8460	2.4715	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
5	4.0000	5.0000	199.4915	0.0000	21.6533	169.2530	2.7693	5.8158	1.2902	2.7064	3.1274	2.9982	3.3831	1.9342	0.8442	2.3559	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
6	5.0000	6.0000	60.7858	0.0000	4.0125	54.6825	0.5931	1.4977	2.2873	2.7188	2.2353	3.5529	3.1981	1.4840	0.8475	2.1145	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
7	6.0000	7.0000	15.6477	0.0000	0.4416	14.7286	0.1113	0.3662	4.4765	3.0087	2.9942	5.3936	5.3856	1.5221	0.8504	2.4909	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
8	7.0000	8.0000	4.2393	0.0000	0.0878	3.9341	0.0133	0.2042	8.1609	5.2595	7.8190	9.7089	11.3020	7.5371	0.8502	1.9601	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
9	8.0000	9.0000	0.8912	0.0000	0.0291	0.8321	0.0000	0.0301	18.5839	1.9481	4.4256	18.6857	19.1036	3.9828	0.8317	1.7616	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
10	9.0000	10.0000	0.1896	0.0000	0.0005	0.1785	0.0000	0.0107	41.2737	6.8671	6.3848	41.8410	41.7646	6.6763	0.8154	1.3854	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
11	10.0000	11.0000	0.0243	0.0000	0.0000	0.0243	0.0000	0.0000	76.8845	41.9655	26.8883	87.5918	81.4506	39.1660	0.8273	15.0479	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
12	11.0000	12.0000	0.0108	0.0000	0.0000	0.0108	0.0000	0.0000	100.0000	26.9412	20.1976	103.5656	102.0193	26.9130	0.7960	0.9401	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
