Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
9	800.0000	900.0000	31.9369	27.0000	1.0687	6.2941	24.0385	0.5357	4.1967	0.5015	0.5606	4.2265	4.2339	0.2911	0.0011	0.0000	0.0000	0.0887	0.0000	0.4572	0.1155	0.0002	0.1458
10	900.0000	1000.0000	23.9404	19.0000	0.4926	5.3555	17.7360	0.3563	5.6796	2.1880	2.0553	6.0865	6.0400	2.1130	0.0011	0.0000	0.0000	0.0995	0.0000	0.5071	0.1209	0.2025	0.2221
11	1000.0000	1100.0000	14.9864	13.0000	0.4185	3.2414	11.0836	0.2430	6.3696	2.3864	1.7554	6.8019	6.6070	2.3226	0.0011	0.0000	0.0000	0.1025	0.0000	0.4943	0.1254	0.0014	0.1726
12	1100.0000	1200.0000	9.2477	7.0000	0.1940	2.6257	6.2171	0.2110	9.8819	3.6244	1.2804	10.5256	9.9645	3.5760	0.0000	0.0000	0.0000	0.1020	0.0000	0.5655	0.1335	0.0009	0.0254
13	1200.0000	1300.0000	5.3156	1.0000	0.3001	1.1618	3.7135	0.1402	9.6798	1.3199	2.4028	9.7693	9.9735	2.2974	0.0024	0.0000	0.0000	0.1766	0.0000	0.6539	0.1975	0.0032	0.4730
14	1300.0000	1400.0000	4.0095	1.0000	0.0938	0.9739	2.8966	0.0452	11.5605	2.4268	2.7031	11.8125	11.8723	2.3451	0.0026	0.0000	0.0000	0.1447	0.0000	0.6709	0.1520	1.1474	1.6710
15	1400.0000	1500.0000	2.8018	1.0000	0.1500	0.7516	1.7696	0.1307	13.5201	2.9390	1.6364	13.8359	13.6188	2.7952	0.0000	0.0000	0.0000	0.2343	0.0000	0.8402	0.2526	0.0002	0.0009
16	1500.0000	1600.0000	1.5063	0.0000	0.0502	0.2573	1.1732	0.0256	18.4636	6.6967	7.5856	19.6405	19.9611	7.5277	0.0000	0.0000	0.0000	0.3121	0.0000	0.8297	0.3023	0.0000	0.0006
17	1600.0000	1700.0000	1.7431	0.0000	0.0416	0.4825	1.2140	0.0050	17.4341	4.3991	1.9445	17.9805	17.5422	3.9952	0.0000	0.0000	0.0000	0.6439	0.0000	1.6013	0.6412	0.0000	0.0020
18	1700.0000	1800.0000	0.8332	1.0000	0.0168	0.1458	0.6764	-0.0058	28.4196	3.8712	1.7699	28.6821	28.4747	3.8315	0.0000	0.0000	0.0000	0.0995	0.0000	0.5351	0.0998	0.0000	0.0033
19	1800.0000	1900.0000	0.6949	0.0000	0.0136	0.1198	0.5603	0.0013	26.8520	1.0877	2.4183	26.8740	26.9607	2.1609	0.0000	0.0000	0.0000	0.4501	0.0000	0.9183	0.3702	0.0000	0.0002
20	1900.0000	2000.0000	0.3192	1.0000	0.0056	0.0086	0.3049	0.0000	36.1861	9.8623	8.7669	37.5059	37.2329	9.3957	0.0000	0.0000	0.0000	1.2416	0.0000	2.4328	1.2346	0.0000	0.0003
21	2000.0000	2100.0000	0.2302	0.0000	0.0339	0.0847	0.1116	0.0000	37.6210	4.7648	6.8094	37.9215	38.2323	6.7307	0.0000	0.0000	0.0000	0.1283	0.0000	1.0176	0.1512	0.0000	0.0003
22	2100.0000	2200.0000	0.1043	0.0000	0.0200	0.0600	0.0247	-0.0004	61.6089	9.5173	11.4790	62.3397	62.6692	11.3919	0.0000	0.0000	0.0000	0.3447	0.0000	1.3144	0.4023	0.0000	0.0303
23	2200.0000	2300.0000	0.0981	0.0000	0.0652	0.0000	0.0329	0.0000	52.6187	11.1159	9.6370	53.7800	53.4939	11.0690	0.0000	0.0000	0.0000	0.6743	0.0000	0.6323	0.4333	0.0009	0.0009
24	2300.0000	2400.0000	0.2226	0.0000	0.0019	0.1146	0.1061	0.0000	55.2794	14.1570	11.9280	57.0634	56.5517	14.1087	0.0000	0.0000	0.0000	0.1966	0.0000	1.1219	0.2597	0.0000	0.0000
25	2400.0000	2500.0000	0.0669	0.0000	0.0016	0.0000	0.0653	0.0000	97.2028	11.0933	10.0208	97.8338	97.7180	11.0311	0.0000	0.0000	0.0000	0.1354	0.0000	1.1513	0.1775	0.0000	0.0067
26	2500.0000	2600.0000	0.1208	0.0000	0.0015	0.0088	0.1105	0.0000	56.1720	6.1042	7.7298	56.5027	56.7014	7.5266	0.0000	0.0000	0.0000	0.6211	0.0000	1.5746	0.5017	0.0000	0.0000
27	2600.0000	2700.0000	0.0363	0.0000	0.0014	0.0080	0.0268	0.0000	76.9030	4.3227	2.6736	77.0244	76.9494	4.0787	0.0880	0.0000	0.0000	0.4819	0.0000	1.2519	0.4925	0.0000	0.0000
28	2700.0000	2800.0000	0.0014	0.0000	0.0007	0.0000	0.0001	0.0006	56.6283	5.8872	6.8535	56.9335	57.0415	4.7443	0.0000	0.0000	0.0000	2.5672	0.0000	3.7838	1.9041	0.0000	0.0421
29	2800.0000	2900.0000	0.0151	0.0000	0.0007	0.0000	0.0144	0.0000	95.5030	10.1253	8.9822	96.0382	95.9244	10.0387	0.0000	0.0000	0.0000	0.1297	0.0000	1.3038	0.1725	0.0000	0.0000
