Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	1.4319	4.0000	0.6236	0.2143	0.5830	0.0110	20.3572	3.9189	5.3251	20.7310	21.0422	4.4047	0.4506	2.8705	0.7165	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2	-3.0144	-2.8888	1.4267	1.0000	0.9253	0.0484	0.3544	0.0986	22.1066	6.7557	6.0912	23.1158	22.9304	4.5589	0.4552	4.8005	1.0452	0.0000	0.0000	0.0000	0.0000	0.0000	0.7155
3	-2.8888	-2.7632	1.4317	1.0000	1.0101	0.0121	0.3638	0.0457	20.8149	4.3130	7.0576	21.2570	21.9788	3.6135	0.4434	2.6560	0.7423	0.0000	0.0000	0.0000	0.0000	3.7989	3.8104
4	-2.7632	-2.6376	1.3715	1.0000	1.0220	0.0564	0.2015	0.0916	23.3389	7.0307	8.2581	24.3749	24.7568	7.5635	0.4640	3.0557	1.1963	0.0000	0.0000	0.0000	0.0000	0.0000	0.0803
5	-2.6376	-2.5120	2.1430	5.0000	1.3751	0.0819	0.6352	0.0508	29.2910	5.4826	5.2664	29.7996	29.7606	5.0285	0.4293	1.9223	0.9452	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
6	-2.5120	-2.3864	1.2917	3.0000	0.7345	0.0976	0.3168	0.1428	19.0253	4.6308	7.1815	19.5808	20.3356	4.2152	0.4502	3.0997	0.9772	0.0000	0.0000	0.0000	0.0000	0.0000	4.8001
7	-2.3864	-2.2608	1.7617	2.0000	1.1191	0.0822	0.4843	0.0761	17.8174	6.4643	5.9310	18.9538	18.7786	5.5569	0.4476	2.7005	1.0651	0.0000	0.0000	0.0000	0.0000	0.2802	1.5101
8	-2.2608	-2.1352	1.4769	2.0000	0.9913	0.1461	0.3002	0.0393	20.3779	4.9961	6.2034	20.9814	21.3012	5.1575	0.4358	3.2943	0.9164	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
9	-2.1352	-2.0096	1.9211	1.0000	1.0190	0.0132	0.8021	0.0868	25.1358	6.2386	5.0928	25.8984	25.6465	4.6047	0.4650	3.9765	1.2990	0.0000	0.0000	0.0000	0.0000	0.0018	0.0218
10	-2.0096	-1.8840	0.9810	3.0000	0.6867	0.0574	0.1600	0.0769	24.2482	9.7239	9.8228	26.1252	26.1622	9.0700	0.4775	3.4737	1.3885	0.0000	0.0000	0.0000	0.0000	0.0000	2.7406
11	-1.8840	-1.7584	1.7372	2.0000	1.0569	0.0000	0.6229	0.0574	19.8310	4.0004	5.1837	20.2305	20.4973	3.4956	0.4362	3.6852	0.9352	0.0000	0.0000	0.0000	0.0000	0.0000	1.1653
12	-1.7584	-1.6328	1.3564	4.0000	0.5771	0.1289	0.5861	0.0644	19.7165	3.4909	3.0951	20.0231	19.9579	1.6146	0.4296	2.9407	0.8644	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
13	-1.6328	-1.5072	1.0587	3.0000	0.5834	0.0000	0.3404	0.1349	22.8911	4.7526	4.9525	23.3792	23.4207	3.5069	0.4469	3.3369	0.9453	0.0000	0.0000	0.0000	0.0000	0.0000	0.0021
14	-1.5072	-1.3816	2.3712	4.0000	1.6358	0.1057	0.6084	0.0214	26.5791	9.9235	8.2616	28.3711	27.8334	9.5614	0.4333	2.4366	0.9648	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
15	-1.3816	-1.2560	1.6796	5.0000	1.3309	0.0990	0.1697	0.0801	20.2544	6.5570	7.4867	21.2893	21.5938	4.3387	0.4477	3.9851	0.9126	0.0000	0.0000	0.0000	0.0000	4.5064	4.1548
16	-1.2560	-1.1304	1.1611	3.0000	0.8435	0.0501	0.1977	0.0697	22.5855	8.9747	8.6838	24.3033	24.1974	8.2941	0.4589	3.1682	1.2269	0.0000	0.0000	0.0000	0.0000	0.8515	0.8515
17	-1.1304	-1.0048	1.4195	1.0000	1.0731	0.0183	0.2927	0.0354	21.4534	2.9909	4.0577	21.6609	21.8337	2.7422	0.4448	2.7291	1.1400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0090
18	-1.0048	-0.8792	1.3211	2.0000	0.7187	0.0000	0.4834	0.1190	21.4294	5.4745	6.5257	22.1176	22.4010	5.3494	0.4537	3.6370	0.7321	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
19	-0.8792	-0.7536	1.2953	3.0000	0.9995	0.0000	0.1842	0.1116	22.5737	4.7875	4.2119	23.0757	22.9632	4.1526	0.4501	2.1741	0.8642	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
20	-0.7536	-0.6280	1.3314	2.0000	0.9446	0.0509	0.2875	0.0483	22.0193	3.8513	6.0573	22.3536	22.8373	5.0253	0.4598	3.1269	1.1493	0.0000	0.0000	0.0000	0.0000	0.0270	0.3557
21	-0.6280	-0.5024	1.1990	3.0000	0.8232	0.0469	0.2165	0.1124	21.8223	4.8645	5.1820	22.3579	22.4292	3.6629	0.4605	3.4613	1.1154	0.0000	0.0000	0.0000	0.0000	0.0000	0.1444
22	-0.5024	-0.3768	1.3899	2.0000	0.7350	0.1077	0.4798	0.0674	20.7630	3.0299	2.9694	20.9829	20.9743	0.6031	0.4538	2.7695	0.9699	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
23	-0.3768	-0.2512	0.8387	2.0000	0.5293	0.0356	0.2425	0.0313	25.7960	3.5715	4.5340	26.0420	26.1914	2.1087	0.3929	2.5938	0.8198	0.0000	0.0000	0.0000	0.0000	0.2912	3.1980
24	-0.2512	-0.1256	1.3975	3.0000	1.1582	0.0497	0.1816	0.0080	23.6066	9.5850	7.1468	25.4783	24.6647	9.0219	0.4597	2.9269	1.2935	0.0000	0.0000	0.0000	0.0000	0.0000	0.1665
25	-0.1256	0.0000	1.4403	2.0000	0.7979	0.0496	0.4680	0.1247	19.1393	5.3154	4.7278	19.8637	19.7146	3.3313	0.4613	3.9171	1.2364	0.0000	0.0000	0.0000	0.0000	0.7521	0.7521
26	0.0000	0.1256	1.0340	1.0000	0.6811	0.0000	0.3057	0.0472	24.8456	4.8952	5.1447	25.3233	25.3727	3.9800	0.4453	3.0826	0.9630	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
27	0.1256	0.2512	1.6832	3.0000	1.0430	0.0000	0.5635	0.0766	18.9567	3.0862	5.7264	19.2063	19.8027	2.5524	0.4560	2.7402	1.0588	0.0000	0.0000	0.0000	0.0000	0.0000	4.1760
28	0.2512	0.3768	1.4763	1.0000	1.1432	0.0559	0.2036	0.0736	20.7771	3.0919	3.8271	21.0059	21.1266	2.7575	0.4550	2.3946	1.0498	0.0000	0.0000	0.0000	0.0000	0.0000	0.1040
29	0.3768	0.5024	1.3892	4.0000	0.7246	0.0807	0.4826	0.1013	21.9228	3.3149	4.0911	22.1720	22.3013	2.1375	0.4456	3.0889	1.1173	0.0000	0.0000	0.0000	0.0000	0.0152	1.0864
30	0.5024	0.6280	1.3525	3.0000	0.7588	0.0936	0.4391	0.0610	21.4545	6.9943	5.9312	22.5658	22.2592	5.6453	0.4420	3.9891	0.9703	0.0000	0.0000	0.0000	0.0000	0.0401	0.0401
31	0.6280	0.7536	1.5879	2.0000	0.8446	0.0923	0.5589	0.0921	19.6283	5.2906	6.9614	20.3288	20.8262	6.3844	0.4433	2.5573	0.9809	0.0000	0.0000	0.0000	0.0000	0.0503	2.9032
32	0.7536	0.8792	1.5223	3.0000	1.0213	0.0070	0.4239	0.0702	20.9524	7.1153	6.4327	22.1276	21.9177	5.6266	0.4181	4.1878	1.1208	0.0000	0.0000	0.0000	0.0000	0.0082	0.0082
33	0.8792	1.0048	1.4516	1.0000	1.1508	-0.0519	0.2998	0.0530	21.0615	8.8330	8.7004	22.8387	22.7878	7.0578	0.4468	4.9024	1.2855	0.0000	0.0000	0.0000	0.0000	0.0000	5.1518
34	1.0048	1.1304	1.6595	1.0000	1.0915	0.0684	0.4230	0.0767	19.0993	3.6744	3.9552	19.4496	19.5046	1.3097	0.4496	3.4724	1.1143	0.0000	0.0000	0.0000	0.0000	0.0000	0.6534
35	1.1304	1.2560	2.8392	1.0000	2.0364	0.0268	0.7022	0.0739	43.4120	2.5876	7.0553	43.4890	43.9816	6.5636	0.4215	2.4275	0.7906	0.0000	0.0000	0.0000	0.0000	0.0000	0.0220
36	1.2560	1.3816	0.8745	1.0000	0.4546	0.0000	0.3550	0.0650	25.1306	11.4190	8.7225	27.6032	26.6013	10.6228	0.4661	3.9814	1.2164	0.0000	0.0000	0.0000	0.0000	0.0000	0.1920
37	1.3816	1.5072	1.3855	5.0000	0.9914	0.0792	0.2205	0.0944	21.2816	15.4886	10.7338	26.3211	23.8353	15.0247	0.4479	3.6348	0.8620	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
38	1.5072	1.6328	1.6981	1.0000	1.1632	0.0625	0.3605	0.1119	19.8978	4.2395	4.6114	20.3444	20.4251	3.5503	0.4486	2.6971	1.0872	0.0000	0.0000	0.0000	0.0000	0.0000	0.0546
39	1.6328	1.7584	1.1634	0.0000	0.7975	0.1300	0.2015	0.0343	22.8476	7.7296	6.5774	24.1197	23.7756	7.1570	0.4509	2.6506	1.0878	0.0000	0.0000	0.0000	0.0000	0.0000	0.3340
40	1.7584	1.8840	1.8029	0.0000	1.3919	0.0241	0.2542	0.1326	41.0993	11.4068	8.3180	42.6528	41.9325	11.0569	0.4359	2.5501	1.0805	0.0000	0.0000	0.0000	0.0000	0.0000	0.0098
41	1.8840	2.0096	0.9079	4.0000	0.7020	0.0000	0.1643	0.0416	23.2674	4.6575	4.1115	23.7290	23.6278	2.4680	0.4536	3.8428	0.7929	0.0000	0.0000	0.0000	0.0000	0.0205	0.4321
42	2.0096	2.1352	1.9056	1.0000	1.5626	0.0511	0.2064	0.0855	19.9214	3.7377	4.2030	20.2690	20.3599	1.8760	0.4694	3.4420	1.3794	0.0000	0.0000	0.0000	0.0000	0.2962	0.2962
43	2.1352	2.2608	1.6521	3.0000	0.8686	0.0905	0.5710	0.1220	20.2177	4.5969	10.7231	20.7337	22.8854	4.3289	0.4557	3.1052	1.1321	0.0000	0.0000	0.0000	0.0000	6.5236	6.5236
44	2.2608	2.3864	1.5016	5.0000	0.9255	0.1185	0.3224	0.1353	19.2863	6.5895	7.0889	20.3809	20.5478	4.5144	0.4244	5.2261	1.1072	0.0000	0.0000	0.0000	0.0000	1.0747	0.0836
45	2.3864	2.5120	1.4958	2.0000	0.8117	0.1056	0.5217	0.0567	21.9334	45.2389	8.6521	50.2755	23.5782	5.8222	0.4498	3.1069	1.1568	0.0000	0.0000	0.0000	0.0000	0.0000	45.0005
46	2.5120	2.6376	1.8439	2.0000	1.4197	0.0046	0.3251	0.0945	29.5639	6.8531	5.0557	30.3478	29.9931	0.6043	0.4639	4.8403	1.2681	0.0000	0.0000	0.0000	0.0000	0.0000	4.6204
47	2.6376	2.7632	1.9839	2.0000	1.2370	0.1502	0.4837	0.1130	34.3452	11.3644	10.1986	36.1766	35.8275	10.8289	0.4462	3.3771	0.5312	0.0000	0.0000	0.0000	0.0000	0.0000	0.0471
48	2.7632	2.8888	1.1252	2.0000	0.7078	0.0421	0.2446	0.1308	21.5869	4.5658	4.4293	22.0645	22.0367	1.4001	0.4605	4.1504	1.2035	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
49	2.8888	3.0144	1.5031	1.0000	1.1196	0.0767	0.2349	0.0719	19.4184	5.2180	4.8849	20.1073	20.0234	3.4171	0.4341	3.2213	1.2733	0.0000	0.0000	0.0000	0.0000	0.0000	2.9364
50	3.0144	3.1400	1.7736	3.0000	1.2611	0.0000	0.3788	0.1336	18.4165	5.0159	5.6741	19.0874	19.2708	3.9688	0.4328	3.0503	1.0497	0.0000	0.0000	0.0000	0.0000	0.0000	2.4188
