Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
11	-3.0000	-2.8000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	32.5748	29.8228	105.1718	104.3523	31.6853	0.5061	7.5433	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
12	-2.8000	-2.6000	0.0006	0.0000	0.0006	0.0000	0.0000	0.0000	49.1801	37.0926	25.5071	61.5999	55.4012	36.6250	0.5061	5.8207	0.5821	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
13	-2.6000	-2.4000	5.1454	2.0000	4.8396	0.0000	0.2620	0.0438	24.3504	6.7227	8.4620	25.2614	25.7788	3.0864	0.5061	6.5473	1.4393	0.0000	0.0000	0.0000	0.0000	2.0917	3.5370
14	-2.4000	-2.2000	27.5376	29.0000	25.5300	0.0371	0.7727	1.1977	9.1215	11.0410	14.4646	14.3215	17.1005	3.3001	0.5061	6.3195	1.5388	0.0000	0.0000	0.0000	0.0000	3.1613	12.0740
15	-2.2000	-2.0000	45.6977	63.0000	40.7594	0.2886	2.1975	2.4522	5.5722	8.4857	5.8132	10.1517	8.0525	1.3151	0.5057	4.8557	1.6198	0.0000	0.0000	0.0000	0.0000	0.0919	6.6558
16	-2.0000	-1.8000	66.7144	77.0000	59.6240	0.3966	2.8214	3.8723	5.0290	4.1077	4.6167	6.4934	6.8268	1.1714	0.5045	3.3518	1.5821	0.0000	0.0000	0.0000	0.0000	0.7996	2.3043
17	-1.8000	-1.6000	66.0807	73.0000	59.8967	0.6439	2.2019	3.3381	3.7425	3.3079	3.7964	4.9948	5.3309	1.7940	0.4914	2.2925	1.5039	0.0000	0.0000	0.0000	0.0000	0.1648	1.8460
18	-1.6000	-1.4000	63.5405	73.0000	57.3719	0.6821	2.1704	3.3161	3.7668	4.5849	3.9635	5.9338	5.4679	3.2296	0.4289	2.4428	0.9455	0.0000	0.0000	0.0000	0.0000	0.2170	1.8824
19	-1.4000	-1.2000	91.9008	75.0000	83.2574	1.0540	2.9187	4.6706	3.9459	4.3797	3.2724	5.8950	5.1262	2.6110	0.3963	2.1149	0.5334	0.0000	0.0000	0.0000	0.0000	1.0118	2.5350
20	-1.2000	-1.0000	99.1295	106.0000	88.3278	1.4944	2.8742	6.4331	3.7519	3.2013	2.5842	4.9320	4.5557	0.9370	0.3972	2.1210	0.5207	0.0000	0.0000	0.0000	0.0000	0.1473	2.1026
21	-1.0000	-0.8000	103.3559	112.0000	90.0972	1.5105	2.9617	8.7865	3.3052	3.4505	3.4177	4.7782	4.7545	2.1049	0.3972	2.2416	0.5267	0.0000	0.0000	0.0000	0.0000	0.0668	1.6948
22	-0.8000	-0.6000	100.1239	102.0000	86.7630	1.9820	2.7619	8.6170	3.4327	3.0142	2.6930	4.5683	4.3630	0.8175	0.3972	2.3120	0.5219	0.0000	0.0000	0.0000	0.0000	0.1532	1.6253
23	-0.6000	-0.4000	104.4169	107.0000	90.2950	1.7658	2.6134	9.7427	3.0925	3.3032	3.0761	4.5249	4.3619	1.1499	0.3972	2.4665	0.5131	0.0000	0.0000	0.0000	0.0000	0.1172	1.7555
24	-0.4000	-0.2000	105.8998	97.0000	92.8296	1.7495	2.2991	9.0215	3.5079	2.9166	2.8133	4.5620	4.4967	0.9575	0.3972	2.3201	0.5347	0.0000	0.0000	0.0000	0.0000	0.4590	1.4821
25	-0.2000	0.0000	104.8530	97.0000	90.4180	1.8579	2.0311	10.5459	3.2186	3.2118	3.1096	4.5470	4.4754	1.6182	0.3972	2.1809	0.5358	0.0000	0.0000	0.0000	0.0000	0.4542	1.5743
26	0.0000	0.2000	102.5400	90.0000	88.0634	1.9718	3.0523	9.4525	3.1827	2.2756	2.2556	3.9125	3.9009	0.1764	0.3972	1.7543	0.5338	0.0000	0.0000	0.0000	0.0000	0.0352	1.2755
27	0.2000	0.4000	101.9698	124.0000	87.8656	1.5830	2.6994	9.8218	3.2301	2.9482	2.1190	4.3733	3.8631	0.7700	0.3972	1.6852	0.5302	0.0000	0.0000	0.0000	0.0000	0.1289	2.1917
28	0.4000	0.6000	108.3260	94.0000	91.9555	1.8680	2.7260	11.7766	3.3166	3.3349	2.5067	4.7033	4.1573	2.2179	0.3972	1.6220	0.5367	0.0000	0.0000	0.0000	0.0000	0.1351	1.7679
29	0.6000	0.8000	94.3432	88.0000	80.4609	1.7479	2.4637	9.6707	3.1726	2.8933	2.3037	4.2937	3.9207	0.7736	0.3972	1.6188	0.5176	0.0000	0.0000	0.0000	0.0000	0.1301	2.2828
30	0.8000	1.0000	100.3820	102.0000	88.0881	1.6477	3.1412	7.5050	3.2605	2.8083	3.0809	4.3032	4.4858	1.0796	0.3972	1.8922	0.5344	0.0000	0.0000	0.0000	0.0000	0.1793	2.0724
31	1.0000	1.2000	102.5824	99.0000	90.8651	1.1955	2.8350	7.6868	3.7768	3.2026	3.0314	4.9519	4.8429	0.4398	0.3973	2.6942	0.5131	0.0000	0.0000	0.0000	0.0000	0.0994	1.6023
32	1.2000	1.4000	94.4575	84.0000	84.7517	1.1602	3.3872	5.1585	3.8758	3.8804	3.8009	5.4844	5.4285	0.6356	0.3945	3.2130	0.5227	0.0000	0.0000	0.0000	0.0000	0.7421	1.9195
33	1.4000	1.6000	65.7045	66.0000	57.9237	0.6524	2.0220	5.1064	5.3429	4.8106	5.0000	7.1894	7.3175	2.2634	0.4181	3.4871	0.8686	0.0000	0.0000	0.0000	0.0000	0.1055	2.6053
34	1.6000	1.8000	65.6453	57.0000	59.9284	0.4077	1.9940	3.3152	4.7852	4.3667	3.7409	6.4781	6.0739	1.7383	0.4883	2.9724	1.5220	0.0000	0.0000	0.0000	0.0000	0.4284	2.1149
35	1.8000	2.0000	63.5611	81.0000	57.9515	0.2088	2.6335	2.7673	5.3446	5.1643	4.3498	7.4320	6.8910	1.8857	0.5048	3.6650	1.6036	0.0000	0.0000	0.0000	0.0000	0.1948	2.6110
36	2.0000	2.2000	47.9263	56.0000	43.3431	0.2645	1.8217	2.4971	6.3529	6.3029	5.8941	8.9490	8.6660	1.5754	0.5060	5.3787	1.5986	0.0000	0.0000	0.0000	0.0000	0.2011	2.3432
37	2.2000	2.4000	23.6442	27.0000	21.6629	0.0906	1.1394	0.7513	7.5692	9.2146	7.8682	11.9248	10.9179	3.4454	0.5061	6.3099	1.6035	0.0000	0.0000	0.0000	0.0000	0.1725	5.5133
38	2.4000	2.6000	4.1695	2.0000	4.0193	0.0280	0.1201	0.0021	13.4388	8.3937	8.9079	15.8447	16.1230	3.4536	0.5061	7.5223	1.6198	0.0000	0.0000	0.0000	0.0000	1.6754	2.8210
39	2.6000	2.8000	0.0611	1.0000	0.0597	0.0000	0.0000	0.0014	90.3227	12.4852	18.0821	91.1815	92.1149	13.2868	0.5036	12.1186	1.8191	0.0000	0.0000	0.0000	0.0000	1.5957	1.5957
40	2.8000	3.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	73.2258	23.7326	21.0048	76.9757	76.1789	22.5223	0.5061	7.4648	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
43	3.4000	3.6000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	89.6415	59.1450	134.2967	116.1814	89.6023	0.5061	2.6035	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	3.6000	3.8000	0.0006	0.0000	0.0000	0.0000	0.0000	0.0006	100.0000	13.7171	13.8837	100.9364	100.9592	13.6512	0.5061	2.4789	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
45	3.8000	4.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0001	100.0000	21.6474	13.2596	102.3162	100.8753	21.5178	0.3972	2.3316	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
