Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
12	-2.8000	-2.6000	0.0006	0.0000	0.0006	0.0000	0.0000	0.0000	49.1801	37.0926	25.5071	61.5999	55.4012	36.6250	0.5061	5.8207	0.5821	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
13	-2.6000	-2.4000	5.1489	7.0000	4.8396	0.0392	0.2620	0.0081	24.3343	6.7282	8.4673	25.2473	25.7654	3.0926	0.5061	6.5498	1.4532	0.0000	0.0000	0.0000	0.0000	2.0903	3.5346
14	-2.4000	-2.2000	26.4835	31.0000	25.5300	0.0887	0.7727	0.0922	9.4048	11.3841	15.0122	14.7664	17.7149	3.8117	0.5061	6.3065	1.5500	0.0000	0.0000	0.0000	0.0000	3.2871	12.5540
15	-2.2000	-2.0000	43.6780	56.0000	40.7594	0.3887	2.3336	0.1964	5.7562	8.5730	5.8363	10.3262	8.1974	1.1656	0.5057	4.8604	1.6323	0.0000	0.0000	0.0000	0.0000	0.2174	6.7668
16	-2.0000	-1.8000	63.1170	70.0000	59.6240	0.3966	2.8214	0.2749	5.2259	4.1897	4.7803	6.6980	7.0824	1.4503	0.5051	3.3630	1.5878	0.0000	0.0000	0.0000	0.0000	0.8464	2.4383
17	-1.8000	-1.6000	63.2656	78.0000	59.8967	0.6439	2.2019	0.5230	3.8322	3.2940	3.8202	5.0533	5.4111	1.7394	0.4923	2.3065	1.5063	0.0000	0.0000	0.0000	0.0000	0.1717	1.9254
18	-1.6000	-1.4000	60.6691	68.0000	57.3719	0.6821	2.1704	0.4446	3.8823	4.6648	4.0718	6.0689	5.6260	3.2866	0.4295	2.4409	0.9475	0.0000	0.0000	0.0000	0.0000	0.2273	1.9793
19	-1.4000	-1.2000	87.7839	72.0000	83.2574	1.0540	2.9187	0.5537	4.0781	4.4746	3.2663	6.0541	5.2249	2.6220	0.3960	2.0987	0.5376	0.0000	0.0000	0.0000	0.0000	1.0670	2.6754
20	-1.2000	-1.0000	93.5666	91.0000	88.3278	1.4944	2.8742	0.8703	3.9125	3.2323	2.6125	5.0749	4.7045	0.7751	0.3972	2.1078	0.5239	0.0000	0.0000	0.0000	0.0000	0.1562	2.2243
21	-1.0000	-0.8000	95.4791	89.0000	90.0972	1.5105	2.9617	0.9097	3.4841	3.5888	3.4821	5.0019	4.9259	2.1913	0.3972	2.2387	0.5296	0.0000	0.0000	0.0000	0.0000	0.0711	1.7821
