Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	45.2823	41.0000	39.7277	0.7606	4.3328	0.4612	4.9686	3.2959	3.3521	5.9624	5.9936	1.3749	0.0000	0.0000	0.0000	0.3984	0.0000	1.2179	0.3829	0.1600	2.8238
2	-3.0144	-2.8888	43.0628	48.0000	35.9663	1.8911	4.8460	0.3594	3.9188	3.6371	2.3528	5.3465	4.5708	0.8988	0.0005	0.0000	0.0000	0.4637	0.0000	1.2878	0.4388	0.4053	3.2778
3	-2.8888	-2.7632	44.7098	34.0000	37.0368	2.3141	5.0911	0.2679	4.4802	3.3922	2.3455	5.6195	5.0570	1.1927	0.0004	0.0000	0.0000	0.3903	0.0000	1.1867	0.3787	0.5444	2.8432
4	-2.7632	-2.6376	48.1839	47.0000	40.5822	1.7010	5.4657	0.4351	5.2966	1.9233	4.1233	5.6350	6.7124	1.0169	0.0000	0.0000	0.0000	0.3122	0.0000	1.0701	0.3080	0.1432	3.8236
5	-2.6376	-2.5120	46.9517	46.0000	39.4647	2.1815	4.9524	0.3531	4.9181	5.4606	4.1988	7.3488	6.4666	1.6679	0.0000	0.0000	0.0000	0.3652	0.0000	1.1741	0.3528	0.4326	5.2668
6	-2.5120	-2.3864	45.6085	32.0000	38.9079	1.2335	5.0886	0.3785	4.7872	2.0078	2.0236	5.1912	5.1974	0.2177	0.0003	0.0000	0.0000	0.3522	0.0000	1.0882	0.3405	0.2553	1.6230
7	-2.3864	-2.2608	44.5135	42.0000	36.8100	2.0365	5.2337	0.4332	5.1422	1.7882	2.5011	5.4443	5.7182	1.3962	0.0005	0.0000	0.0000	0.3850	0.0000	1.1524	0.3647	0.3732	1.6033
8	-2.2608	-2.1352	44.6136	45.0000	37.3433	1.7204	5.0576	0.4923	5.1489	2.8093	5.1096	5.8654	7.2539	2.0047	0.0006	0.0000	0.0000	0.3706	0.0000	1.1356	0.3561	0.1817	4.5319
9	-2.1352	-2.0096	46.1410	42.0000	38.9920	1.5114	5.3046	0.3331	5.0896	2.6202	2.3683	5.7245	5.6136	0.9194	0.0000	0.0000	0.0000	0.3721	0.0000	1.1639	0.3552	0.3348	2.0978
10	-2.0096	-1.8840	50.4259	38.0000	42.7372	1.7632	5.6944	0.2312	5.3335	2.1161	2.3435	5.7380	5.8257	1.2107	0.0000	0.0000	0.0000	0.3744	0.0000	1.1491	0.3609	0.3138	1.6804
11	-1.8840	-1.7584	47.6415	53.0000	40.1691	1.6725	5.4183	0.3816	5.0078	2.3795	2.3035	5.5444	5.5122	0.7655	0.0000	0.0000	0.0000	0.3363	0.0000	1.1034	0.3331	0.1049	1.9658
12	-1.7584	-1.6328	45.9317	43.0000	37.5558	2.9664	4.9602	0.4492	5.1299	2.2247	2.2480	5.5915	5.6008	0.8465	0.0000	0.0000	0.0000	0.4118	0.0000	1.2212	0.3873	0.0891	1.6980
13	-1.6328	-1.5072	46.3729	45.0000	38.6717	1.6189	5.5631	0.5192	5.6507	3.1322	2.9035	6.4607	6.3530	1.9794	0.0006	0.0000	0.0000	0.3668	0.0000	1.1395	0.3619	0.3708	2.8366
14	-1.5072	-1.3816	45.5291	45.0000	38.5222	1.8621	4.8810	0.2637	4.3846	3.0728	4.2301	5.3541	6.0924	1.8563	0.0010	0.0000	0.0000	0.3646	0.0000	1.1879	0.3591	0.4406	3.5653
15	-1.3816	-1.2560	43.3516	40.0000	35.7405	1.9558	5.2994	0.3559	5.0480	3.1738	2.9000	5.9628	5.8217	1.4349	0.0003	0.0000	0.0000	0.3589	0.0000	1.1578	0.3592	0.1151	2.7066
16	-1.2560	-1.1304	48.5171	38.0000	41.9607	1.2678	4.9913	0.2973	5.0365	2.2477	1.5783	5.5152	5.2780	0.7385	0.0000	0.0000	0.0000	0.3053	0.0000	1.0920	0.3006	0.0612	1.7777
17	-1.1304	-1.0048	42.1845	31.0000	36.1116	1.0257	4.6525	0.3947	4.4249	2.3737	2.9286	5.0214	5.3062	1.8691	0.0002	0.0000	0.0000	0.3741	0.0000	1.1657	0.3566	0.3177	1.8356
18	-1.0048	-0.8792	47.9566	32.0000	39.6841	2.4773	5.2339	0.5614	4.3170	5.9958	2.9325	7.3882	5.2188	0.7565	0.0000	0.0000	0.0000	0.3828	0.0000	1.1870	0.3616	0.7233	5.8044
19	-0.8792	-0.7536	47.9209	39.0000	41.6599	1.4564	4.5550	0.2495	5.8903	2.8426	4.2276	6.5404	7.2504	2.9291	0.0000	0.0000	0.0000	0.3800	0.0000	1.1461	0.3601	0.1514	2.7741
20	-0.7536	-0.6280	46.0905	39.0000	38.9154	1.2577	5.5127	0.4047	4.4221	1.9959	2.0775	4.8517	4.8858	1.1270	0.0000	0.0000	0.0000	0.3719	0.0000	1.1385	0.3589	0.0197	1.4767
21	-0.6280	-0.5024	45.9710	37.0000	38.4617	1.7237	5.2795	0.5061	4.4919	3.5533	2.9332	5.7274	5.3648	2.1185	0.0000	0.0000	0.0000	0.3943	0.0000	1.1659	0.3827	0.7121	2.5608
22	-0.5024	-0.3768	46.8968	41.0000	38.8374	1.9911	5.6485	0.4198	4.8858	2.8127	3.1407	5.6376	5.8082	2.4350	0.0000	0.0000	0.0000	0.3439	0.0000	1.1504	0.3451	0.3834	1.4965
23	-0.3768	-0.2512	44.1060	39.0000	37.1795	1.3613	5.2060	0.3593	5.6856	3.3552	3.4215	6.6018	6.6357	2.8482	0.0001	0.0000	0.0000	0.3570	0.0000	1.1557	0.3504	0.3147	1.8982
24	-0.2512	-0.1256	45.4321	45.0000	37.4241	1.6320	6.0186	0.3574	4.7696	2.2888	2.2026	5.2903	5.2536	0.9746	0.0005	0.0000	0.0000	0.4015	0.0000	1.1802	0.3742	0.0232	1.6108
25	-0.1256	0.0000	45.8171	39.0000	38.6842	1.4253	5.4408	0.2668	4.2264	2.2997	2.5027	4.8116	4.9119	0.5077	0.0000	0.0000	0.0000	0.4267	0.0000	1.2144	0.4016	0.0381	2.1114
26	0.0000	0.1256	47.1449	45.0000	39.7536	1.6564	5.2972	0.4377	5.4860	2.2440	2.2133	5.9272	5.9156	1.2304	0.0006	0.0000	0.0000	0.3647	0.0000	1.1031	0.3609	0.5303	1.6538
