Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
3	200.0000	300.0000	310.4589	361.0000	267.8298	11.7101	20.7529	10.1661	2.7779	5.0126	5.0933	5.7308	5.8016	1.0873	0.0003	0.0000	0.0000	0.1866	0.0000	0.7867	0.1943	0.0985	4.9552
4	300.0000	400.0000	554.4703	488.0000	474.7231	14.3140	44.3069	21.1263	1.6963	4.0099	3.9356	4.3539	4.2856	0.7648	0.0003	0.0000	0.0000	0.2285	0.0000	0.9129	0.2254	0.2389	3.8155
5	400.0000	500.0000	645.5368	554.0000	538.7917	15.9779	60.0888	30.6785	1.1233	2.2644	1.9271	2.5277	2.2306	0.1604	0.0003	0.0000	0.0000	0.2566	0.0000	1.0012	0.2558	0.1114	1.9960
6	500.0000	600.0000	431.8748	358.0000	337.1108	16.0167	54.7679	23.9795	1.2209	1.6373	1.5851	2.0424	2.0008	0.0287	0.0003	0.0000	0.0000	0.4676	0.0000	1.3522	0.4478	0.0351	0.6572
7	600.0000	700.0000	223.5004	172.0000	167.2502	11.8536	33.4007	10.9961	1.4242	2.1478	2.1362	2.5771	2.5674	0.2266	0.0001	0.0000	0.0000	0.7859	0.0000	1.8217	0.7379	0.0643	0.2846
8	700.0000	800.0000	104.5352	59.0000	72.8970	7.9798	18.6304	5.0281	1.6553	2.1763	2.2508	2.7343	2.7940	0.7027	0.0001	0.0000	0.0000	0.8057	0.0000	1.8327	0.7530	0.0285	0.3827
9	800.0000	900.0000	53.8863	36.0000	36.2457	5.3428	10.2150	2.0829	2.0664	2.1562	2.1188	2.9865	2.9596	0.4929	0.0003	0.0000	0.0000	0.7945	0.0000	1.7830	0.7452	0.0762	0.2247
10	900.0000	1000.0000	27.6934	13.0000	18.8616	3.3174	4.3750	1.1395	3.6379	2.2312	2.2702	4.2676	4.2881	0.9303	0.0000	0.0000	0.0000	0.7781	0.0000	1.7704	0.7314	0.0074	0.1981
11	1000.0000	1100.0000	15.6428	7.0000	10.1185	1.7563	2.9644	0.8034	3.4950	2.0715	2.0943	4.0628	4.0744	0.3468	0.0003	0.0000	0.0000	0.7582	0.0000	1.7840	0.7228	0.0345	0.1060
12	1100.0000	1200.0000	8.4145	9.0000	5.7028	1.1375	1.2755	0.2986	4.1013	1.9213	1.8650	4.5290	4.5054	0.4539	0.0000	0.0000	0.0000	0.6779	0.0000	1.6136	0.6410	0.0220	0.1064
13	1200.0000	1300.0000	5.2458	1.0000	3.3692	0.8425	0.7241	0.3099	5.0983	1.8814	2.0382	5.4343	5.4906	0.7609	0.0000	0.0000	0.0000	0.6980	0.0000	1.6158	0.6594	0.0333	0.2494
14	1300.0000	1400.0000	3.0576	1.0000	1.9047	0.5093	0.5802	0.0633	7.5846	3.5090	3.6968	8.3570	8.4375	3.2060	0.0000	0.0000	0.0000	0.6333	0.0000	1.6237	0.6020	0.0312	0.1138
15	1400.0000	1500.0000	1.7741	1.0000	1.1645	0.2349	0.3153	0.0594	9.3952	3.2053	3.9250	9.9269	10.1821	3.4725	0.0000	0.0000	0.0000	0.6408	0.0000	1.6010	0.6097	0.0627	0.1275
16	1500.0000	1600.0000	0.9660	5.0000	0.6950	0.0971	0.1443	0.0296	10.3499	2.2003	2.0197	10.5812	10.5452	1.0965	0.0000	0.0000	0.0000	0.6873	0.0000	1.6518	0.6532	0.0135	0.1076
17	1600.0000	1700.0000	0.6106	0.0000	0.4370	0.1110	0.0041	0.0585	11.1663	5.8106	4.8690	12.5877	12.1817	5.4292	0.0000	0.0000	0.0000	0.8107	0.0000	1.7498	0.7436	0.0250	0.1250
18	1700.0000	1800.0000	0.3782	1.0000	0.2816	0.0000	0.0966	0.0000	19.7654	1.9039	2.1811	19.8569	19.8854	1.0752	0.0000	0.0000	0.0000	0.6989	0.0000	1.6421	0.6560	0.0117	0.0968
19	1800.0000	1900.0000	0.2408	0.0000	0.1725	0.0449	0.0014	0.0220	20.7964	2.5807	2.5851	20.9559	20.9565	1.8478	0.0000	0.0000	0.0000	0.6552	0.0000	1.5724	0.6163	0.0175	0.0564
20	1900.0000	2000.0000	0.5235	0.0000	0.3154	0.1927	0.0042	0.0112	19.1929	5.7112	4.5013	20.0246	19.7137	5.5058	0.0000	0.0000	0.0000	0.5363	0.0000	1.3213	0.5157	0.0218	0.0722
