Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
2	50.0000	100.0000	208.4010	156.0000	115.8950	27.2133	63.4682	1.8246	1.9076	1.3544	1.0987	2.3396	2.2014	1.0496	0.0002	0.0000	0.0000	0.0678	0.0000	0.5007	0.1007	0.0920	0.6774
3	100.0000	150.0000	301.5152	264.0000	189.0854	30.3696	79.5928	2.4674	2.0126	2.2990	2.8198	3.0555	3.4644	0.6592	0.0006	0.0000	0.0000	0.0940	0.0000	0.6181	0.1181	0.1814	2.7240
4	150.0000	200.0000	324.8241	302.0000	231.2481	21.4486	68.8134	3.3141	2.2758	3.8671	2.7266	4.4870	3.5516	0.9402	0.0004	0.0000	0.0000	0.1001	0.0000	0.6844	0.1228	0.1370	3.6847
5	200.0000	250.0000	350.3102	315.0000	282.0964	16.1289	48.9126	3.1723	2.0694	2.8913	3.2988	3.5555	3.8942	0.1826	0.0005	0.0000	0.0000	0.2202	0.0000	0.9443	0.2129	0.4017	3.1162
6	250.0000	300.0000	377.5092	365.0000	336.3610	7.5084	30.0818	3.5580	1.7691	3.0809	2.4331	3.5527	3.0083	0.9057	0.0002	0.0000	0.0000	0.2144	0.0000	0.9694	0.2091	0.2197	2.7557
7	300.0000	350.0000	305.4367	261.0000	280.5613	5.6749	16.3096	2.8909	1.6750	2.2953	2.3575	2.8415	2.8920	0.5178	0.0001	0.0000	0.0000	0.2014	0.0000	0.9487	0.2051	0.1448	2.0825
8	350.0000	400.0000	200.8506	178.0000	188.4580	1.9685	8.3148	2.1093	1.8741	2.1861	2.0247	2.8795	2.7590	0.6175	0.0001	0.0000	0.0000	0.1968	0.0000	0.9239	0.2049	0.1640	1.9098
9	400.0000	450.0000	125.2307	98.0000	118.1955	1.0147	4.7284	1.2920	2.3282	2.1520	1.5948	3.1704	2.8221	0.2294	0.0001	0.0000	0.0000	0.1969	0.0000	0.9104	0.2045	0.0421	1.9283
10	450.0000	500.0000	75.7675	71.0000	72.4296	0.9626	1.6896	0.6858	2.9066	5.6944	5.6822	6.3933	6.3824	0.1290	0.0000	0.0000	0.0000	2.4817	0.0000	4.5495	2.2767	0.0918	0.6962
11	500.0000	550.0000	47.7962	44.0000	45.6500	0.1709	1.4763	0.4990	3.6433	5.6602	5.6416	6.7314	6.7157	0.0638	0.0000	0.0000	0.0000	2.5110	0.0000	4.4625	2.2673	0.2144	0.8264
12	550.0000	600.0000	30.3584	39.0000	29.3589	0.2379	0.4434	0.3182	4.1768	5.4470	5.4836	6.8641	6.8931	0.5388	0.0001	0.0000	0.0000	2.4167	0.0000	4.3388	2.1820	0.5490	0.4739
13	600.0000	650.0000	18.5291	12.0000	17.7819	0.1788	0.3649	0.2035	4.9828	5.4358	5.7271	7.3740	7.5913	2.2736	0.0000	0.0000	0.0000	2.3146	0.0000	4.2213	2.1222	0.2268	1.1617
14	650.0000	700.0000	11.0276	12.0000	10.6406	0.0409	0.1790	0.1670	5.3948	5.4012	5.4716	7.6339	7.6839	1.3847	0.0000	0.0000	0.0000	2.3799	0.0000	4.2150	2.1728	0.0461	0.4427
15	700.0000	750.0000	7.4204	7.0000	6.9898	0.1540	0.1989	0.0777	5.1767	5.8180	5.6647	7.7876	7.6738	1.6666	0.0000	0.0000	0.0000	2.4935	0.0000	4.4167	2.2879	0.0837	0.3235
16	750.0000	800.0000	5.0667	3.0000	4.9771	0.0423	0.0000	0.0473	5.5945	5.8296	5.5197	8.0797	7.8591	1.9640	0.0000	0.0000	0.0000	2.4749	0.0000	4.3564	2.2196	0.1030	0.5709
17	800.0000	850.0000	3.1802	5.0000	3.1500	0.0000	0.0002	0.0300	5.6978	5.8819	5.9754	8.1891	8.2565	2.1555	0.0000	0.0000	0.0000	2.5670	0.0000	4.3787	2.3277	0.0544	0.2531
18	850.0000	900.0000	2.1702	0.0000	2.1251	0.0210	0.0140	0.0101	6.8064	6.2738	6.5625	9.2568	9.4548	3.8923	0.0000	0.0000	0.0000	2.3953	0.0000	4.1975	2.1603	0.0292	0.4219
19	900.0000	950.0000	1.5904	0.0000	1.5081	0.0000	0.0678	0.0146	9.2038	8.3221	6.9584	12.4083	11.5382	6.5078	0.0000	0.0000	0.0000	2.3850	0.0000	4.0862	2.1251	0.0000	0.0532
20	950.0000	1000.0000	4.3965	5.0000	4.3328	0.0179	0.0176	0.0282	4.2627	5.2687	5.2509	6.7771	6.7634	0.3602	0.0000	0.0000	0.0000	2.3859	0.0000	4.1557	2.1585	0.0119	0.0848
