Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	48.7176	43.0000	39.7737	1.1482	5.4680	2.3277	4.6644	3.0942	3.2439	5.5974	5.6815	1.4079	0.0000	0.0000	0.0000	0.4043	0.0000	1.2216	0.3887	0.1487	2.5956
2	-3.0144	-2.8888	46.8404	50.0000	35.9977	2.3592	6.3513	2.1321	3.6857	3.3890	2.3823	5.0069	4.3886	0.9087	0.0004	0.0000	0.0000	0.4493	0.0000	1.2628	0.4271	0.5174	3.0002
3	-2.8888	-2.7632	47.8918	35.0000	37.1579	2.6968	6.2107	1.8264	4.2388	2.9371	2.3180	5.1570	4.8312	1.0023	0.0004	0.0000	0.0000	0.3844	0.0000	1.1708	0.3742	0.2176	2.4323
4	-2.7632	-2.6376	52.2850	48.0000	40.6597	2.2638	6.8550	2.5065	4.9355	1.8022	3.8597	5.2542	6.2655	1.0218	0.0000	0.0000	0.0000	0.3149	0.0000	1.0707	0.3101	0.1390	3.5358
5	-2.6376	-2.5120	51.0328	46.0000	39.4959	2.6452	7.0258	1.8659	4.5908	5.1069	3.8959	6.8670	6.0211	1.4806	0.0002	0.0000	0.0000	0.3651	0.0000	1.1641	0.3542	0.4117	4.8728
6	-2.5120	-2.3864	48.7658	34.0000	38.9298	1.3487	6.2013	2.2861	4.5301	1.8766	2.0232	4.9034	4.9613	0.3803	0.0003	0.0000	0.0000	0.3563	0.0000	1.0936	0.3444	0.1524	1.5864
7	-2.3864	-2.2608	48.7054	43.0000	36.8948	2.4384	7.1388	2.2334	4.7630	1.5971	2.1864	5.0237	5.2408	1.1063	0.0008	0.0000	0.0000	0.3822	0.0000	1.1368	0.3625	0.3642	1.3661
8	-2.2608	-2.1352	48.8859	49.0000	37.4507	2.4011	6.5840	2.4500	4.7712	2.6234	4.8050	5.4448	6.7714	2.0000	0.0008	0.0000	0.0000	0.3721	0.0000	1.1275	0.3589	0.1527	4.1896
9	-2.1352	-2.0096	49.4136	44.0000	39.0337	2.0901	6.3407	1.9491	4.7953	2.5475	2.3108	5.4300	5.3230	0.9794	0.0000	0.0000	0.0000	0.3682	0.0000	1.1485	0.3514	0.3249	1.9881
10	-2.0096	-1.8840	54.2207	40.0000	42.7708	2.1149	7.3450	1.9900	5.0024	2.0177	2.2366	5.3940	5.4796	1.0655	0.0000	0.0000	0.0000	0.3707	0.0000	1.1354	0.3588	0.2643	1.6134
