Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
2	-2.4000	-2.3000	0.4570	0.0000	0.0001	0.0103	0.4449	0.0017	34.7014	3.1486	1.6832	34.8440	34.7422	2.9810	0.0000	0.0000	0.0000	0.5655	0.0000	0.7812	0.3119	0.0000	0.0000
3	-2.3000	-2.2000	0.1843	1.0000	0.0001	0.0818	0.0968	0.0056	45.3681	9.7477	6.6518	46.4035	45.8531	9.6948	0.0000	0.0000	0.0000	0.2072	0.0000	0.9756	0.1868	0.0000	0.0000
4	-2.2000	-2.1000	0.2226	1.0000	0.0004	0.0455	0.1776	-0.0009	46.8404	4.6561	2.5022	47.0713	46.9072	4.5930	0.0000	0.0000	0.0000	0.1997	0.0000	0.7207	0.1559	0.0000	0.0000
5	-2.1000	-2.0000	0.5448	0.0000	0.0183	0.0780	0.4416	0.0069	30.9776	1.0468	1.3316	30.9953	31.0062	0.9895	0.0000	0.0000	0.0000	0.1464	0.0000	0.8642	0.1771	0.0000	0.0000
6	-2.0000	-1.9000	0.7106	1.0000	0.0065	0.0860	0.5866	0.0315	23.6798	5.2505	7.3521	24.2549	24.7949	7.3099	0.0000	0.0000	0.0000	0.1907	0.0000	0.7437	0.1829	0.0000	0.0000
7	-1.9000	-1.8000	0.6347	0.0000	0.0030	0.0841	0.5314	0.0162	31.0245	6.0019	0.9632	31.5997	31.0394	5.9459	0.0000	0.0000	0.0000	0.1467	0.0000	0.7874	0.1681	0.0000	0.0000
8	-1.8000	-1.7000	1.0768	0.0000	0.0053	0.1920	0.8443	0.0353	22.9087	4.4629	4.3131	23.3393	23.3111	4.3564	0.0000	0.0000	0.0000	0.1310	0.0000	0.9483	0.1522	0.0000	0.0000
9	-1.7000	-1.6000	1.0878	1.0000	0.0142	0.2108	0.8604	0.0025	23.1341	2.5979	4.2601	23.2796	23.5231	4.1494	0.0000	0.0000	0.0000	0.2733	0.0000	0.8780	0.3044	0.0000	0.0164
10	-1.6000	-1.5000	1.8701	1.0000	0.1034	0.2977	1.4002	0.0688	16.6314	1.6880	2.1430	16.7168	16.7689	1.3818	0.0000	0.0000	0.0000	0.4896	0.0000	1.4318	0.5033	0.3990	0.0000
11	-1.5000	-1.4000	1.4431	2.0000	0.0334	0.3625	1.0358	0.0114	19.3546	4.7287	9.1824	19.9239	21.4223	9.1544	0.0000	0.0000	0.0000	0.1281	0.0000	0.6916	0.1479	0.0000	0.0009
