Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	50.0000	707.6751	636.0000	697.9160	2.6453	5.8272	1.2866	1.5981	3.8539	3.3827	4.1721	3.7412	0.8034	0.0000	0.0000	0.0000	0.3411	0.0000	1.1226	0.3322	0.1571	3.5665
2	50.0000	100.0000	470.5611	478.0000	439.6601	7.4810	21.0196	2.4004	1.6819	3.8597	4.1374	4.2102	4.4662	0.1682	0.0002	0.0000	0.0000	0.4302	0.0000	1.2650	0.4066	0.1610	3.8930
3	100.0000	150.0000	278.0331	254.0000	230.6969	9.5795	35.1064	2.6503	1.7948	2.5260	2.2776	3.0987	2.8998	0.4485	0.0003	0.0000	0.0000	0.3899	0.0000	1.2081	0.3744	0.0119	2.1192
4	150.0000	200.0000	211.8988	191.0000	156.6213	11.9476	40.4194	2.9104	1.8411	1.6331	1.5092	2.4610	2.3806	0.3262	0.0007	0.0000	0.0000	0.3611	0.0000	1.1392	0.3522	0.0355	1.0044
5	200.0000	250.0000	157.0438	128.0000	109.4226	8.8770	36.5048	2.2394	1.9299	1.4204	1.2482	2.3963	2.2984	0.3447	0.0006	0.0000	0.0000	0.3446	0.0000	1.0991	0.3397	0.0819	0.6707
6	250.0000	300.0000	123.7757	115.0000	86.2753	7.9543	27.4828	2.0632	1.9077	1.3490	1.3015	2.3365	2.3094	0.4573	0.0005	0.0000	0.0000	0.3409	0.0000	1.0926	0.3349	0.0703	0.6229
7	300.0000	350.0000	94.0623	75.0000	64.1370	6.8950	21.6041	1.4261	2.0584	1.3745	1.3256	2.4751	2.4483	0.0846	0.0000	0.0000	0.0000	0.4064	0.0000	1.1914	0.3915	0.0134	0.3890
8	350.0000	400.0000	68.3112	49.0000	42.3969	7.2687	17.3653	1.2802	2.6407	1.2205	1.2458	2.9091	2.9198	0.0138	0.0001	0.0000	0.0000	0.3420	0.0000	1.1082	0.3419	0.1212	0.2956
9	400.0000	450.0000	51.0596	36.0000	31.5452	6.2077	12.5519	0.7547	2.4550	1.5192	1.8045	2.8870	3.0469	1.3291	0.0001	0.0000	0.0000	0.3734	0.0000	1.1015	0.3688	0.0507	0.4347
10	450.0000	500.0000	38.0978	35.0000	22.9693	5.7372	8.8497	0.5416	3.3072	1.5625	1.5884	3.6578	3.6689	0.9485	0.0000	0.0000	0.0000	0.4042	0.0000	1.1328	0.3957	0.0189	0.3444
11	500.0000	550.0000	26.1742	23.0000	15.3691	3.5610	6.9808	0.2633	3.1415	1.4968	1.9395	3.4798	3.6920	1.5282	0.0000	0.0000	0.0000	0.3782	0.0000	1.0698	0.3738	0.0308	0.1211
12	550.0000	600.0000	19.7168	11.0000	10.5573	3.1894	5.6309	0.3391	3.8227	1.2942	1.1018	4.0359	3.9783	0.4878	0.0007	0.0000	0.0000	0.3360	0.0000	0.9799	0.3373	0.0294	0.5002
13	600.0000	650.0000	14.1259	4.0000	8.0708	2.1465	3.7673	0.1413	4.0605	1.1103	1.2432	4.2096	4.2466	0.5782	0.0000	0.0000	0.0000	0.3536	0.0000	0.9794	0.3525	0.0335	0.1524
14	650.0000	700.0000	10.2827	9.0000	5.7155	1.6875	2.7253	0.1544	4.5553	1.1361	1.1510	4.6948	4.6984	0.3650	0.0000	0.0000	0.0000	0.3516	0.0000	0.9707	0.3452	0.0615	0.1618
15	700.0000	750.0000	7.8023	4.0000	4.1750	1.6630	1.7914	0.1729	5.1695	1.2609	1.6792	5.3211	5.4354	1.3262	0.0000	0.0000	0.0000	0.3313	0.0000	0.9161	0.3301	0.0140	0.5542
16	750.0000	800.0000	22.3823	18.0000	12.3425	4.5975	5.0209	0.4214	2.9925	1.2261	1.0152	3.2340	3.1600	0.8296	0.0002	0.0000	0.0000	0.2486	0.0000	0.8092	0.2577	0.0197	0.1786
