Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-2.4000	-2.3040	15.7293	18.0000	12.6190	0.5616	1.6701	0.8786	10.3923	3.1417	3.5530	10.8569	10.9829	1.8970	0.0000	0.0000	0.0000	0.1512	0.0000	0.6251	0.1743	0.2642	2.9180
2	-2.3040	-2.2080	15.6571	16.0000	11.9567	1.5329	1.1977	0.9697	9.2152	4.2478	3.6121	10.1471	9.8978	2.1542	0.0012	0.0000	0.0000	0.2196	0.0000	0.7589	0.2353	0.2536	3.8402
3	-2.2080	-2.1120	17.3110	8.0000	13.5024	0.6638	2.3386	0.8062	9.7124	3.3759	1.1995	10.2824	9.7862	2.8622	0.0000	0.0000	0.0000	0.1699	0.0000	0.6746	0.1847	0.0976	1.6362
4	-2.1120	-2.0160	18.0941	13.0000	14.9557	0.7768	1.6432	0.7185	6.9247	2.3228	1.4151	7.3039	7.0678	0.6913	0.0000	0.0000	0.0000	0.2336	0.0000	0.8401	0.2403	0.1399	2.0247
5	-2.0160	-1.9200	22.2860	17.0000	17.2822	1.1261	2.7626	1.1150	7.8277	3.3828	1.5548	8.5274	7.9807	0.4717	0.0000	0.0000	0.0000	0.2818	0.0000	0.8787	0.2751	0.3378	3.2008
6	-1.9200	-1.8240	27.0901	31.0000	21.4439	1.2090	3.1818	1.2554	7.0419	2.6101	2.9875	7.5101	7.6494	2.1276	0.0009	0.0000	0.0000	0.2833	0.0000	0.9228	0.2814	0.4614	2.1143
7	-1.8240	-1.7280	33.4281	29.0000	26.4240	1.5147	4.3038	1.1856	6.9783	3.5083	5.3195	7.8106	8.7746	3.1546	0.0000	0.0000	0.0000	0.2531	0.0000	0.8862	0.2583	0.3592	4.3519
8	-1.7280	-1.6320	36.5114	40.0000	28.9850	1.7976	4.4264	1.3025	7.1318	3.5352	3.3048	7.9599	7.8603	2.6982	0.0007	0.0000	0.0000	0.2812	0.0000	0.8806	0.2625	0.2124	2.9450
9	-1.6320	-1.5360	41.7698	39.0000	34.3728	1.3229	4.6442	1.4299	6.0756	3.4843	2.4485	7.0038	6.5504	2.9771	0.0000	0.0000	0.0000	0.2879	0.0000	0.9392	0.2837	0.4473	1.8965
10	-1.5360	-1.4400	40.7498	41.0000	32.1313	2.1652	4.7058	1.7476	5.5819	1.8598	2.1416	5.8836	5.9786	1.2319	0.0005	0.0000	0.0000	0.2998	0.0000	0.9950	0.3018	0.2435	1.3809
11	-1.4400	-1.3440	45.6985	37.0000	36.3273	2.8574	4.3998	2.1139	4.2775	2.8284	3.8164	5.1280	5.7325	1.8092	0.0004	0.0000	0.0000	0.3625	0.0000	1.0999	0.3523	0.4555	3.4700
12	-1.3440	-1.2480	45.1387	55.0000	36.2692	2.0890	4.6905	2.0900	4.3982	2.5844	1.5719	5.1013	4.6706	0.2356	0.0001	0.0000	0.0000	0.4011	0.0000	1.1789	0.3820	0.0755	2.2184
13	-1.2480	-1.1520	50.0859	57.0000	40.1157	2.0511	5.7345	2.1846	4.7807	2.2456	2.2472	5.2819	5.2826	0.4913	0.0009	0.0000	0.0000	0.3817	0.0000	1.1788	0.3635	0.2103	1.8308
14	-1.1520	-1.0560	54.9219	41.0000	44.6632	1.9760	5.9430	2.3397	4.3764	2.2828	2.1905	4.9360	4.8940	0.7049	0.0003	0.0000	0.0000	0.3989	0.0000	1.2136	0.3842	0.4658	1.7132
