Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
2	-2.4000	-2.3000	0.4570	0.0000	0.0001	0.0103	0.4449	0.0017	34.7014	3.1486	1.6832	34.8440	34.7422	2.9810	0.0000	0.0000	0.0000	0.5655	0.0000	0.7812	0.3119	0.0000	0.0000
3	-2.3000	-2.2000	0.1829	1.0000	0.0001	0.0818	0.0968	0.0042	45.7111	10.2968	7.7781	46.8564	46.3681	10.2468	0.0000	0.0000	0.0000	0.2078	0.0000	0.9735	0.1869	0.0000	0.0000
4	-2.2000	-2.1000	0.2226	1.0000	0.0004	0.0455	0.1776	-0.0009	46.8404	4.6561	2.5022	47.0713	46.9072	4.5930	0.0000	0.0000	0.0000	0.1997	0.0000	0.7207	0.1559	0.0000	0.0000
5	-2.1000	-2.0000	0.5448	0.0000	0.0183	0.0780	0.4416	0.0069	30.9776	1.0468	1.3316	30.9953	31.0062	0.9895	0.0000	0.0000	0.0000	0.1464	0.0000	0.8642	0.1771	0.0000	0.0000
6	-2.0000	-1.9000	0.7106	1.0000	0.0065	0.0860	0.5866	0.0315	23.6798	5.2505	7.3521	24.2549	24.7949	7.3099	0.0000	0.0000	0.0000	0.1907	0.0000	0.7437	0.1829	0.0000	0.0000
7	-1.9000	-1.8000	0.6215	0.0000	0.0030	0.0841	0.5314	0.0030	31.6127	6.5898	1.2986	32.2922	31.6393	6.5380	0.0000	0.0000	0.0000	0.1486	0.0000	0.7933	0.1697	0.0000	0.0000
8	-1.8000	-1.7000	1.0427	0.0000	0.0053	0.1920	0.8443	0.0012	23.5721	4.9737	4.7944	24.0911	24.0547	4.8824	0.0000	0.0000	0.0000	0.1071	0.0000	0.9331	0.1348	0.0000	0.0000
9	-1.7000	-1.6000	1.0878	1.0000	0.0142	0.2108	0.8604	0.0025	23.1341	3.1834	4.2601	23.3521	23.5231	4.1494	0.0000	0.0000	0.0000	0.2733	0.0000	0.8780	0.3044	0.0000	1.8398
10	-1.6000	-1.5000	1.8337	1.0000	0.1034	0.2977	1.4002	0.0324	16.8832	1.8218	2.3743	16.9812	17.0493	1.7662	0.0000	0.0000	0.0000	0.4857	0.0000	1.4310	0.5037	0.0000	0.0000
11	-1.5000	-1.4000	1.4431	2.0000	0.0334	0.3625	1.0358	0.0114	19.3546	4.7287	9.1824	19.9239	21.4223	9.1544	0.0000	0.0000	0.0000	0.1281	0.0000	0.6916	0.1479	0.0000	0.0009
12	-1.4000	-1.3000	2.2147	2.0000	0.0140	0.3212	1.8573	0.0223	15.4634	2.6689	1.4715	15.6920	15.5333	2.5610	0.0000	0.0000	0.0000	0.1647	0.0000	0.7112	0.1776	0.0000	0.0000
