Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	50.0000	70.0000	8.2133	12.0000	0.0670	2.2930	5.4923	0.3610	8.2577	5.4376	5.1687	9.8872	9.7419	4.4433	0.4191	2.9707	0.8604	0.0000	0.0000	0.0000	0.0000	0.0000	0.2887
2	70.0000	90.0000	6.3708	5.0000	0.1456	1.5951	4.4714	0.1588	9.1267	2.8658	2.8281	9.5660	9.5548	0.8196	0.4122	2.5640	0.7635	0.0000	0.0000	0.0000	0.0000	0.0000	0.8740
3	90.0000	110.0000	3.6970	2.0000	0.0077	1.0379	2.6135	0.0379	11.3252	3.7155	3.9288	11.9191	11.9873	2.9403	0.4215	2.4162	0.7841	0.0000	0.0000	0.0000	0.0000	0.0000	0.3992
4	110.0000	130.0000	3.0663	0.0000	0.0702	0.8015	2.0777	0.1169	13.1022	10.2965	7.8731	16.6640	15.2857	10.0221	0.4230	2.1910	0.7721	0.0000	0.0000	0.0000	0.0000	0.0170	0.0264
5	130.0000	150.0000	2.2155	3.0000	0.0091	0.6144	1.4357	0.1562	15.4345	7.8247	7.9825	17.3046	17.3765	7.5834	0.4160	2.3403	0.7494	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
6	150.0000	170.0000	1.2397	1.0000	0.0023	0.6300	0.5444	0.0631	22.0128	13.9021	12.6088	26.0352	25.3682	13.6604	0.4319	2.4361	0.7345	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
7	170.0000	190.0000	1.0830	1.0000	0.0521	0.3078	0.5984	0.1246	21.5934	8.4339	8.1579	23.1820	23.0830	7.8665	0.4253	2.9198	0.7373	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
8	190.0000	210.0000	0.5853	3.0000	0.0027	0.2577	0.3111	0.0139	29.4003	8.6530	10.6829	30.6472	31.2810	10.4461	0.4056	2.1124	0.6143	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
9	210.0000	230.0000	0.1381	1.0000	0.0008	0.0624	0.0351	0.0398	64.4552	4.5190	5.2764	64.6135	64.6708	4.9662	0.4536	1.1892	1.2479	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
10	230.0000	250.0000	0.2456	1.0000	0.0009	0.1096	0.1122	0.0230	38.3632	10.9334	12.0173	39.8908	40.2014	11.8489	0.4346	1.6753	1.0117	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
11	250.0000	270.0000	0.4381	0.0000	0.0061	0.2660	0.1380	0.0280	30.9817	17.5665	15.8975	35.6153	34.8224	17.3104	0.4167	2.9033	0.5733	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
12	270.0000	290.0000	0.1549	0.0000	0.0016	0.0000	0.0517	0.1016	49.5980	21.3572	24.1824	54.0008	55.1792	24.1423	0.4306	1.0932	0.7472	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
13	290.0000	310.0000	0.3125	0.0000	0.1684	0.0000	0.1145	0.0295	59.9359	17.4185	15.6700	62.4157	61.9505	16.2842	0.4563	6.0293	1.2923	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
14	310.0000	330.0000	0.0065	0.0000	0.0001	0.0148	0.0001	-0.0085	476.6692	105.1170	25.5941	488.1220	477.3558	104.9883	0.0176	2.7524	4.4134	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
15	330.0000	350.0000	0.1890	0.0000	0.0009	0.0720	0.0679	0.0483	45.9540	16.9627	16.4988	48.9847	48.8260	16.7632	0.4507	2.4189	0.8204	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
16	350.0000	370.0000	0.0938	0.0000	0.0005	0.0206	0.0683	0.0044	76.0818	1.2151	9.2880	76.0915	76.6466	9.2082	0.3979	0.9135	0.6955	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003
17	370.0000	390.0000	0.0505	0.0000	0.0019	0.0000	0.0136	0.0350	51.9409	2.1906	3.5194	51.9871	52.0600	2.7545	0.3993	2.0848	0.5413	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
19	410.0000	430.0000	0.0088	0.0000	0.0001	0.0000	0.0000	0.0087	78.5862	51.9040	41.1714	94.1797	88.7179	51.5973	0.4040	5.6178	0.1123	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
20	430.0000	450.0000	0.0025	0.0000	0.0001	0.0000	0.0000	0.0024	51.7667	8.5435	10.9461	52.4669	52.9113	10.6079	0.4162	2.5811	0.6744	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
21	450.0000	470.0000	0.0403	0.0000	0.0000	0.0000	0.0114	0.0288	68.3477	14.4053	12.5020	69.8493	69.4817	14.2688	0.3972	1.8389	0.6125	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
22	470.0000	490.0000	0.0575	0.0000	0.0002	0.0000	0.0218	0.0356	60.8637	20.1798	16.8269	64.1219	63.1470	19.8720	0.3975	3.4629	0.4268	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
23	490.0000	500.0000	0.2057	0.0000	0.0014	0.0987	0.0004	0.1052	44.5036	7.8162	8.8814	45.1848	45.3812	8.3321	0.3988	3.0190	0.4273	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
