Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-2.8260	7.2526	6.0000	0.0063	6.6020	0.4701	0.1741	8.0310	2.8452	3.2575	8.5201	8.6665	1.5863	0.4150	2.7149	0.7431	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2	-2.8260	-2.5120	7.5293	4.0000	0.0064	6.5343	0.6232	0.3655	7.5834	2.8404	2.9022	8.0979	8.1198	1.0853	0.4143	2.3329	0.6869	0.0000	0.0000	0.0000	0.0000	0.4438	1.1979
3	-2.5120	-2.1980	8.8858	2.0000	0.0143	7.9531	0.4970	0.4214	7.1120	3.2984	3.9310	7.8396	8.1261	2.7207	0.4139	2.7113	0.7271	0.0000	0.0000	0.0000	0.0000	0.0000	0.1288
4	-2.1980	-1.8840	6.8382	6.0000	0.0093	5.9948	0.5834	0.2508	7.8812	2.8821	4.1617	8.3916	8.9125	2.8597	0.4148	2.2592	0.7559	0.0000	0.0000	0.0000	0.0000	0.0426	1.8144
5	-1.8840	-1.5700	6.3533	8.0000	0.0089	5.3825	0.6560	0.3059	8.4320	3.5699	3.4891	9.1565	9.1253	2.5800	0.4131	2.3301	0.6985	0.0000	0.0000	0.0000	0.0000	1.0958	1.2347
6	-1.5700	-1.2560	6.9942	6.0000	0.0078	6.0852	0.7103	0.1908	8.0247	2.8049	2.4672	8.5008	8.3954	1.0951	0.4117	2.1634	0.6735	0.0000	0.0000	0.0000	0.0000	0.8260	0.8260
7	-1.2560	-0.9420	7.4313	5.0000	0.0087	6.4380	0.6739	0.3107	7.6699	2.5428	3.4238	8.0804	8.3994	1.9278	0.4152	2.1068	0.7320	0.0000	0.0000	0.0000	0.0000	0.0000	1.6910
8	-0.9420	-0.6280	6.8719	11.0000	0.0059	6.1438	0.4767	0.2455	8.0089	2.4657	2.4969	8.3798	8.3891	0.3935	0.4145	2.3175	0.7330	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
9	-0.6280	-0.3140	6.3128	4.0000	0.1357	5.5528	0.5034	0.1208	8.5924	3.9775	3.3911	9.4684	9.2374	2.9909	0.4172	2.4189	0.7255	0.0000	0.0000	0.0000	0.0000	0.4023	0.4023
10	-0.3140	0.0000	6.8238	3.0000	0.0902	5.8644	0.5270	0.3422	8.2364	2.9046	2.7004	8.7336	8.6678	1.1391	0.4121	2.5460	0.6706	0.0000	0.0000	0.0000	0.0000	0.1269	0.4172
11	0.0000	0.3140	6.7410	6.0000	0.0811	6.1122	0.3864	0.1612	8.0855	2.9971	2.7469	8.6231	8.5394	1.4598	0.4148	2.4437	0.7589	0.0000	0.0000	0.0000	0.0000	0.0000	0.3628
12	0.3140	0.6280	7.2427	3.0000	0.0079	6.4742	0.4221	0.3385	7.8568	3.0205	3.7594	8.4174	8.7099	2.3866	0.4234	2.4967	0.8358	0.0000	0.0000	0.0000	0.0000	0.3247	1.1048
13	0.6280	0.9420	7.8441	7.0000	0.0044	6.6539	0.8436	0.3422	7.6444	3.5844	2.8688	8.4430	8.1650	1.5061	0.4088	2.5903	0.7133	0.0000	0.0000	0.0000	0.0000	0.7132	1.6386
14	0.9420	1.2560	7.5547	5.0000	0.0042	6.3362	0.8997	0.3146	8.0433	3.0722	3.2919	8.6100	8.6908	1.5385	0.4187	2.5634	0.8008	0.0000	0.0000	0.0000	0.0000	0.0000	1.0401
15	1.2560	1.5700	6.7159	7.0000	0.0099	5.8174	0.4902	0.3985	8.2833	4.6544	4.2501	9.5014	9.3100	3.7369	0.4160	2.5933	0.7108	0.0000	0.0000	0.0000	0.0000	0.3843	1.0764
16	1.5700	1.8840	6.7832	3.0000	0.0056	6.2548	0.3728	0.1500	8.3833	3.7950	2.7571	9.2023	8.8250	3.0839	0.4115	2.0688	0.6652	0.0000	0.0000	0.0000	0.0000	0.0000	0.7377
17	1.8840	2.1980	7.0397	4.0000	0.0337	6.3682	0.4361	0.2016	8.0150	2.7318	2.7233	8.4678	8.4650	0.2250	0.4116	2.5985	0.7006	0.0000	0.0000	0.0000	0.0000	0.0637	0.0000
18	2.1980	2.5120	6.6113	6.0000	0.0049	6.0488	0.4414	0.1162	8.2284	2.8736	3.6906	8.7158	9.0182	2.5732	0.4099	2.5134	0.7115	0.0000	0.0000	0.0000	0.0000	0.2368	1.1001
19	2.5120	2.8260	6.6461	4.0000	0.0137	5.5877	0.7166	0.3280	8.2336	3.0617	3.1310	8.7844	8.8088	1.5853	0.4213	2.3949	0.7888	0.0000	0.0000	0.0000	0.0000	0.0160	1.4941
20	2.8260	3.1400	6.6796	11.0000	0.0290	5.7161	0.7161	0.2183	8.4187	3.9553	3.0594	9.3016	8.9574	2.8544	0.4144	2.5071	0.7075	0.0000	0.0000	0.0000	0.0000	0.1123	0.7342
