Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-2.8260	1.0673	2.0000	0.0036	0.4091	0.5489	0.1057	19.4843	3.3918	2.9000	19.7774	19.6990	2.2376	0.4069	2.4261	0.6679	0.0000	0.0000	0.0000	0.0000	0.0000	1.3828
2	-2.8260	-2.5120	1.5921	2.0000	0.0513	0.2712	1.2569	0.0128	18.1313	3.0719	2.5521	18.3897	18.3100	1.8849	0.4172	2.2411	0.8288	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
3	-2.5120	-2.1980	1.4752	3.0000	0.1245	0.5767	0.7427	0.0314	18.7851	4.1266	4.5033	19.2330	19.3173	1.8030	0.4347	3.9890	0.9630	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	-2.1980	-1.8840	1.4178	0.0000	0.0127	0.6170	0.7751	0.0130	22.7147	11.7595	9.3396	25.5782	24.5598	11.4357	0.4311	2.5884	0.7908	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
5	-1.8840	-1.5700	1.5546	2.0000	0.0035	0.4569	1.0919	0.0023	18.8557	5.9371	8.4616	19.7684	20.6673	8.1056	0.3978	2.2869	0.7135	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
6	-1.5700	-1.2560	1.4900	2.0000	0.0051	0.6819	0.7891	0.0139	19.0886	5.5250	5.1293	19.8721	19.7658	4.5125	0.4234	3.0576	0.7964	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
7	-1.2560	-0.9420	1.2331	2.0000	0.0076	0.3962	0.7340	0.0953	20.3124	4.1797	7.0054	20.7380	21.4865	6.7057	0.4199	1.8017	0.8286	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
8	-0.9420	-0.6280	1.7823	0.0000	0.0085	0.4660	1.2473	0.0604	17.1439	3.9591	4.1905	17.5951	17.6486	2.7204	0.4361	3.0119	0.9477	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
9	-0.6280	-0.3140	1.2845	3.0000	0.0171	0.2793	0.8780	0.1101	18.6618	2.7558	2.7549	18.8641	18.8640	0.5107	0.4027	2.5471	0.8267	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
10	-0.3140	0.0000	1.2933	0.0000	0.0625	0.2566	0.9594	0.0148	19.4870	5.3111	3.8086	20.1978	19.8557	2.6182	0.4217	2.6660	0.6041	0.0000	0.0000	0.0000	0.0000	0.0000	4.3056
11	0.0000	0.3140	1.4722	2.0000	0.1708	0.4218	0.8394	0.0403	20.7530	3.1410	3.1569	20.9893	20.9917	1.2948	0.4233	2.7365	0.7887	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
12	0.3140	0.6280	1.1882	3.0000	0.0140	0.2887	0.7374	0.1481	20.5069	2.4665	3.6385	20.6547	20.8272	2.6749	0.4096	2.3322	0.6904	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
13	0.6280	0.9420	1.5056	2.0000	0.0096	0.6261	0.7724	0.0975	17.2684	11.6645	5.4160	20.8389	18.0978	11.2333	0.4259	2.9926	0.8581	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
14	0.9420	1.2560	1.2096	2.0000	0.0045	0.3117	0.8518	0.0416	19.8536	10.0357	8.7753	22.2459	21.7065	9.7698	0.4214	2.0937	0.8401	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
15	1.2560	1.5700	1.3333	0.0000	0.0013	0.3718	0.9346	0.0256	18.6468	4.7507	2.8533	19.2425	18.8639	3.7983	0.4221	2.7000	0.8205	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
16	1.5700	1.8840	1.4836	0.0000	0.0043	0.3087	1.0751	0.0955	18.2471	7.4631	6.5389	19.7143	19.3833	6.6820	0.4068	3.2152	0.7383	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
17	1.8840	2.1980	1.5391	0.0000	0.0040	0.4276	1.0345	0.0730	19.6657	4.7729	3.3066	20.2366	19.9418	4.1037	0.4273	2.2494	0.8358	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
18	2.1980	2.5120	1.3911	2.0000	0.0097	0.2364	1.1068	0.0382	19.4671	6.3977	6.7942	20.4914	20.6186	6.2667	0.4207	2.4585	0.8171	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
19	2.5120	2.8260	1.5021	0.0000	0.0192	0.3766	1.0583	0.0480	19.4314	2.9805	4.2762	19.6586	19.8963	3.5030	0.4205	2.2783	0.8031	0.0000	0.0000	0.0000	0.0000	0.0000	1.5789
20	2.8260	3.1400	1.2501	2.0000	0.0066	0.4013	0.7461	0.0960	19.1959	2.9703	3.0281	19.4244	19.4333	1.8026	0.4081	2.3088	0.6506	0.0000	0.0000	0.0000	0.0000	0.0417	0.0417
