Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	50.0000	31.1528	29.0000	0.9020	24.6330	4.9982	0.6196	4.1622	0.7613	0.6615	4.2312	4.2144	0.1200	0.0173	0.0000	0.0000	0.1683	0.0000	0.4996	0.1784	0.1200	0.5192
2	50.0000	100.0000	72.3395	66.0000	1.2373	55.2117	14.0248	1.8658	2.8284	0.7537	1.2017	2.9271	3.0731	0.9752	0.0218	0.0000	0.0000	0.2016	0.0000	0.5836	0.2101	0.1302	0.2242
3	100.0000	150.0000	65.5820	53.0000	1.2722	50.5959	12.3059	1.4081	2.8285	0.8624	0.7248	2.9571	2.9199	0.2387	0.0315	0.0000	0.0000	0.2115	0.0000	0.6022	0.2186	0.0550	0.4802
4	150.0000	200.0000	49.1979	42.0000	0.6906	39.7417	7.2166	1.5490	3.1582	0.8956	1.0324	3.2828	3.3227	0.6288	0.0353	0.0000	0.0000	0.2693	0.0000	0.6993	0.2647	0.0518	0.3802
5	200.0000	250.0000	32.6664	32.0000	0.4240	26.6469	4.2656	1.3299	3.7537	1.2998	1.9364	3.9723	4.2237	1.0492	0.0469	0.0000	0.0000	0.4186	0.0000	0.9288	0.3971	0.0474	1.2037
6	250.0000	300.0000	20.2599	19.0000	0.3294	16.5978	2.4453	0.8874	4.6828	1.8611	1.7088	5.0391	4.9848	0.9073	0.0421	0.0000	0.0000	0.5653	0.0000	1.1888	0.5518	0.0054	1.1902
7	300.0000	350.0000	13.0928	16.0000	0.0810	10.3114	1.9823	0.7182	5.7478	2.3258	2.1845	6.2006	6.1490	0.4461	0.0520	0.0000	0.0000	0.8774	0.0000	1.6913	0.8155	0.2533	0.9878
8	350.0000	400.0000	8.0498	9.0000	0.0679	6.3027	0.6559	1.0233	7.0460	3.3487	3.7253	7.8013	7.9702	0.2340	0.0444	0.0000	0.0000	1.4998	0.0000	2.6539	1.3767	0.3454	1.5857
9	400.0000	450.0000	3.9545	2.0000	0.0179	3.0995	0.4744	0.3626	10.2164	7.3761	6.1083	12.6009	11.9032	5.8868	0.0717	0.0000	0.0000	1.8400	0.0000	3.3601	1.6888	0.0019	1.4898
10	450.0000	500.0000	2.1447	2.0000	0.0167	1.6694	0.3513	0.1074	14.1475	5.2950	6.2179	15.1059	15.4536	4.8469	0.0291	0.0000	0.0000	1.7549	0.0000	3.0545	1.6176	0.2666	3.0057
11	500.0000	550.0000	1.2203	1.0000	0.0243	0.8088	0.2563	0.1309	18.5076	13.1773	8.4715	22.7194	20.3543	11.2399	0.0420	0.0000	0.0000	2.1664	0.0000	3.6276	1.9883	0.0000	5.0495
12	550.0000	600.0000	0.7706	0.0000	0.0160	0.4758	0.1506	0.1282	21.7605	4.6234	4.1543	22.2463	22.1535	2.0589	0.0009	0.0000	0.0000	1.7666	0.0000	3.3115	1.7464	0.0000	0.0017
13	600.0000	650.0000	0.3925	1.0000	0.0062	0.2328	0.0412	0.1122	39.3528	5.8733	5.5895	39.7887	39.7478	5.7937	0.0240	0.0000	0.0000	0.0446	0.0000	0.9623	0.0100	0.0000	0.0000
14	650.0000	700.0000	0.1813	0.0000	0.0028	0.0974	0.0842	-0.0030	40.2355	6.5577	3.6528	40.7664	40.4010	5.5624	0.0038	0.0000	0.0000	1.5155	0.0000	2.7799	1.4281	0.0000	0.8918
15	700.0000	750.0000	0.1583	0.0000	0.0015	0.1399	0.0175	-0.0007	32.5477	3.1466	2.8435	32.6994	32.6717	1.4331	0.0419	0.0000	0.0000	1.2528	0.0000	2.2018	1.1951	0.0000	0.0000
16	750.0000	800.0000	0.1797	0.0000	0.0016	0.1644	0.0132	0.0005	42.9672	23.1175	4.6708	48.7914	43.2203	22.9994	0.0000	0.0000	0.0000	0.9579	0.0000	1.9100	0.9383	0.0000	0.0000
17	800.0000	850.0000	0.0861	0.0000	0.0019	0.0322	0.0178	0.0343	51.2093	2.8918	3.1263	51.2909	51.3047	1.2068	0.1514	0.0000	0.0000	1.2366	0.0000	2.3798	1.0496	0.0000	0.0000
18	850.0000	900.0000	0.0397	0.0000	0.0015	0.0220	0.0162	0.0000	50.0058	23.7988	17.8038	55.3802	53.0807	23.7117	0.0000	0.0000	0.0000	0.9107	0.0000	1.6547	0.7565	0.0000	0.0000
19	900.0000	950.0000	0.0173	0.0000	0.0004	0.0000	0.0166	0.0003	82.3577	7.7598	13.6261	82.7224	83.4773	13.6090	0.0000	0.0000	0.0000	0.2752	0.0000	0.5527	0.2874	0.0000	0.0000
20	950.0000	1000.0000	0.1491	0.0000	0.0023	0.1463	0.0109	-0.0105	51.6720	6.6161	6.1142	52.0938	52.0324	6.2322	0.0000	0.0000	0.0000	0.9221	0.0000	1.7980	0.9218	0.0000	0.0000
