Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
9	800.0000	900.0000	141.8485	122.0000	3.3489	101.7425	32.0698	4.6872	2.0342	0.8705	0.8659	2.2127	2.2108	0.4864	0.0336	0.0000	0.0000	0.1993	0.0000	0.5504	0.2075	0.1673	0.5083
10	900.0000	1000.0000	81.2767	77.0000	1.7116	56.7907	19.9090	2.8653	2.5612	0.7904	1.3482	2.6804	2.8944	1.0550	0.0282	0.0000	0.0000	0.2480	0.0000	0.6466	0.2506	0.0276	0.4008
11	1000.0000	1100.0000	49.7206	45.0000	1.2098	33.3333	12.8737	2.3038	3.2610	1.1531	1.3155	3.4589	3.5163	0.7490	0.0272	0.0000	0.0000	0.3875	0.0000	0.8907	0.3845	0.1065	0.4809
12	1100.0000	1200.0000	30.7646	26.0000	0.6892	19.2966	9.5063	1.2724	4.4777	1.4356	1.5545	4.7022	4.7399	0.7042	0.0254	0.0000	0.0000	0.5068	0.0000	1.1221	0.4806	0.0695	0.5555
13	1200.0000	1300.0000	19.9005	20.0000	0.8877	12.7227	5.2091	1.0811	5.3213	1.5762	1.5356	5.5499	5.5385	0.4179	0.0216	0.0000	0.0000	0.5581	0.0000	1.2287	0.5373	0.0010	0.4977
14	1300.0000	1400.0000	13.8224	12.0000	0.2383	8.9376	3.7543	0.8922	5.8732	2.1883	2.3543	6.2677	6.3275	1.0209	0.0175	0.0000	0.0000	0.8899	0.0000	1.7024	0.8113	0.0018	0.3896
15	1400.0000	1500.0000	8.4735	8.0000	0.2448	4.2393	3.2591	0.7304	9.1127	2.2013	1.8462	9.3748	9.2978	0.9847	0.0114	0.0000	0.0000	0.7258	0.0000	1.5596	0.6580	0.0000	0.6954
16	1500.0000	1600.0000	5.0331	5.0000	0.1244	2.8001	1.6577	0.4508	9.7622	2.7988	3.4375	10.1555	10.3498	2.3427	0.0040	0.0000	0.0000	1.1064	0.0000	2.0132	1.0250	0.0000	0.0000
17	1600.0000	1700.0000	3.6996	3.0000	0.1464	2.0984	1.3040	0.1508	11.8794	3.5514	3.2054	12.3989	12.3042	1.8287	0.0093	0.0000	0.0000	1.2467	0.0000	2.2038	1.1333	0.0000	1.2541
18	1700.0000	1800.0000	2.0095	2.0000	0.1215	1.2195	0.6379	0.0306	17.8019	2.3583	2.1464	17.9574	17.9308	1.0066	0.0001	0.0000	0.0000	0.9461	0.0000	1.7192	0.8351	0.0013	0.0013
19	1800.0000	1900.0000	1.2823	0.0000	0.0551	0.6459	0.4853	0.0960	19.0450	2.5819	2.5668	19.2192	19.2172	1.0364	0.0234	0.0000	0.0000	1.0030	0.0000	1.8982	0.9910	0.0000	0.0000
20	1900.0000	2000.0000	1.4730	1.0000	0.0888	0.5249	0.7137	0.1456	18.7548	4.7036	2.8942	19.3357	18.9768	2.3251	0.0000	0.0000	0.0000	0.6889	0.0000	1.4534	0.6192	0.0000	4.3763
