Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	50.0000	70.0000	28.9827	31.0000	0.3909	20.9366	6.6384	1.0167	4.1823	2.5665	2.6777	4.9070	4.9661	2.3502	0.0900	0.0000	0.0000	0.2996	0.0000	0.7684	0.2995	0.0838	1.1545
2	70.0000	90.0000	36.3251	33.0000	0.8886	27.1955	7.1859	1.0551	4.5250	1.6566	1.8799	4.8187	4.8999	1.4248	0.0728	0.0000	0.0000	0.2956	0.0000	0.7242	0.2914	0.1482	1.4112
3	90.0000	110.0000	36.0282	40.0000	0.3465	27.6666	6.8161	1.1990	3.7754	1.4241	1.0998	4.0351	3.9323	0.9257	0.0562	0.0000	0.0000	0.2643	0.0000	0.6981	0.2638	0.0077	0.7356
4	110.0000	130.0000	36.0712	39.0000	1.0395	24.7066	9.2637	1.0613	4.0768	1.4084	1.9290	4.3132	4.5101	1.6873	0.0330	0.0000	0.0000	0.2996	0.0000	0.7489	0.2972	0.2313	1.0805
5	130.0000	150.0000	29.8949	23.0000	0.8176	20.8089	7.1890	1.0793	4.3736	1.6038	1.8638	4.6584	4.7542	1.4352	0.0304	0.0000	0.0000	0.3455	0.0000	0.7950	0.3384	0.2259	0.7258
6	150.0000	170.0000	28.0757	21.0000	1.0287	18.4285	7.5612	1.0573	4.6308	1.8853	1.8732	4.9999	4.9953	1.6291	0.0140	0.0000	0.0000	0.3148	0.0000	0.7596	0.3095	0.0001	0.3819
7	170.0000	190.0000	24.7596	22.0000	0.9582	16.2166	6.6656	0.9192	4.9579	1.1781	1.1911	5.0960	5.0990	0.5048	0.0006	0.0000	0.0000	0.4125	0.0000	0.9014	0.3958	0.1574	0.0000
8	190.0000	210.0000	20.4660	16.0000	0.4581	13.6778	5.7133	0.6168	5.2172	1.0235	1.1537	5.3166	5.3432	0.5380	0.0024	0.0000	0.0000	0.3518	0.0000	0.8301	0.3532	0.2871	0.1473
9	210.0000	230.0000	19.9320	18.0000	0.5680	13.7903	5.0783	0.4954	5.2217	0.9690	1.1840	5.3108	5.3542	0.7540	0.0009	0.0000	0.0000	0.2807	0.0000	0.7647	0.2913	0.2057	0.2065
10	230.0000	250.0000	16.0130	14.0000	0.1794	10.7143	4.5716	0.5477	5.8699	0.9179	0.9697	5.9412	5.9494	0.0549	0.0005	0.0000	0.0000	0.3381	0.0000	0.7852	0.3295	0.3101	0.0675
11	250.0000	270.0000	14.9260	19.0000	0.4925	9.7605	4.4666	0.2064	5.9311	1.8432	1.3402	6.2109	6.0806	1.3943	0.0008	0.0000	0.0000	0.4791	0.0000	1.0067	0.4573	0.0000	0.0338
12	270.0000	290.0000	12.4927	4.0000	0.5403	7.7834	3.7596	0.4094	6.3448	1.3142	2.5759	6.4795	6.8478	2.3689	0.0000	0.0000	0.0000	0.3899	0.0000	0.8547	0.3704	0.0000	0.2603
13	290.0000	310.0000	8.3978	6.0000	0.3336	5.5401	2.2778	0.2463	7.8854	2.0420	2.0428	8.1455	8.1457	1.7090	0.0000	0.0000	0.0000	0.4527	0.0000	0.9249	0.4379	0.0080	0.0080
14	310.0000	330.0000	8.3792	5.0000	0.2100	5.3162	2.6159	0.2371	7.6341	1.2210	1.5852	7.7311	7.7969	1.0110	0.0000	0.0000	0.0000	0.4733	0.0000	1.0404	0.4296	0.0000	0.0000
15	330.0000	350.0000	5.9175	7.0000	0.0693	3.7466	1.6812	0.4204	8.6449	1.3194	2.3862	8.7450	8.9682	2.0233	0.0000	0.0000	0.0000	0.5344	0.0000	1.0396	0.4836	0.0028	0.2032
16	350.0000	370.0000	5.8393	3.0000	0.0369	3.8310	1.7181	0.2532	9.1121	1.6174	1.4789	9.2545	9.2313	0.6411	0.0000	0.0000	0.0000	0.6089	0.0000	1.2086	0.5962	0.1342	0.0030
17	370.0000	390.0000	4.9392	5.0000	0.0594	3.0561	1.6265	0.1971	10.1666	3.0218	1.5095	10.6061	10.2780	2.7766	0.0000	0.0000	0.0000	0.4567	0.0000	1.0093	0.4408	0.0000	0.0000
18	390.0000	410.0000	3.6126	5.0000	0.0929	2.0777	1.3684	0.0736	11.6593	1.1677	3.0655	11.7177	12.0556	2.8904	0.0000	0.0000	0.0000	0.3729	0.0000	0.8769	0.3673	0.0000	0.0000
