Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-2.5000	-2.2500	2.7690	2.0000	0.0073	2.0042	0.5741	0.1834	12.6030	6.7938	5.3039	14.3175	13.6736	6.6617	0.0466	0.0000	0.0000	0.7992	0.0000	0.9247	0.5300	0.0000	0.1911
2	-2.2500	-2.0000	6.7791	5.0000	0.0936	4.4889	1.9643	0.2322	9.2465	0.9546	1.1889	9.2957	9.3227	0.6613	0.0666	0.0000	0.0000	0.4613	0.0000	0.7382	0.3576	0.0024	0.2937
3	-2.0000	-1.7500	10.2353	4.0000	0.5148	7.6082	1.7670	0.3453	6.9080	1.7151	1.9153	7.1177	7.1686	1.5768	0.0437	0.0000	0.0000	0.1494	0.0000	0.7287	0.1756	0.0000	0.7721
4	-1.7500	-1.5000	14.2785	15.0000	0.2860	10.6391	2.8459	0.5075	5.7612	1.4510	1.6157	5.9411	5.9835	1.1385	0.0324	0.0000	0.0000	0.2165	0.0000	0.8785	0.2454	0.2105	0.8698
5	-1.5000	-1.2500	16.6711	20.0000	0.5580	11.8595	3.9281	0.3256	6.0808	1.6031	1.4924	6.2886	6.2612	0.9944	0.0394	0.0000	0.0000	0.3155	0.0000	1.0711	0.3329	0.1668	0.4710
6	-1.2500	-1.0000	17.9301	12.0000	0.2486	13.8324	3.1061	0.7430	5.1633	1.7206	1.6048	5.4425	5.4070	0.4822	0.0295	0.0000	0.0000	0.6466	0.0000	1.2368	0.6187	0.0000	0.7536
7	-1.0000	-0.7500	20.4680	14.0000	0.1051	16.6887	3.1664	0.5078	5.0425	1.2567	1.0897	5.1968	5.1589	0.4452	0.0321	0.0000	0.0000	0.4416	0.0000	0.8804	0.4322	0.2956	0.3686
8	-0.7500	-0.5000	21.3271	17.0000	0.2592	17.3318	3.1381	0.5979	4.8015	0.9680	1.5844	4.8981	5.0561	1.3724	0.0266	0.0000	0.0000	0.2939	0.0000	0.6510	0.2967	0.0114	0.4341
9	-0.5000	-0.2500	19.4535	18.0000	0.2145	15.7222	2.8566	0.6603	4.9520	1.1305	1.4430	5.0794	5.1580	1.1113	0.0275	0.0000	0.0000	0.3512	0.0000	0.7579	0.3453	0.1062	0.5309
10	-0.2500	0.0000	20.4123	14.0000	0.3112	17.1139	2.0104	0.9768	4.8082	0.9715	1.1798	4.9054	4.9508	0.5595	0.0309	0.0000	0.0000	0.3311	0.0000	0.7528	0.3346	0.2878	0.4546
11	0.0000	0.2500	21.0126	24.0000	0.1987	17.2307	2.5894	0.9937	4.7197	1.8570	1.1481	5.0719	4.8574	1.4773	0.0260	0.0000	0.0000	0.3740	0.0000	0.8044	0.3673	0.1942	0.5862
12	0.2500	0.5000	20.5461	13.0000	0.0759	16.6605	3.0134	0.7963	4.7450	0.9015	1.4331	4.8299	4.9567	1.0562	0.0241	0.0000	0.0000	0.3334	0.0000	0.7400	0.3301	0.2417	0.3336
13	0.5000	0.7500	19.4995	18.0000	0.3035	16.6496	1.6746	0.8719	4.9176	3.9457	4.1076	6.3049	6.4075	3.9695	0.0288	0.0000	0.0000	0.3328	0.0000	0.7186	0.3308	0.2035	1.1496
14	0.7500	1.0000	20.1723	18.0000	0.5703	16.1055	2.7991	0.6973	5.4099	2.2688	2.3972	5.8664	5.9172	2.1952	0.0279	0.0000	0.0000	0.3910	0.0000	0.7859	0.3797	0.0140	0.1088
15	1.0000	1.2500	18.9320	28.0000	0.3783	14.6578	3.3510	0.5448	5.2552	1.3192	1.3467	5.4182	5.4250	0.3283	0.0314	0.0000	0.0000	0.5023	0.0000	1.0457	0.4665	0.0219	0.3773
16	1.2500	1.5000	17.8252	13.0000	0.2736	13.6139	3.4812	0.4566	5.6093	1.1228	1.2779	5.7206	5.7530	0.4157	0.0299	0.0000	0.0000	0.3001	0.0000	1.0270	0.3237	0.1595	0.4293
17	1.5000	1.7500	13.4944	19.0000	0.1463	10.2981	2.5808	0.4692	6.3932	1.4688	1.8549	6.5597	6.6568	1.4782	0.0432	0.0000	0.0000	0.2926	0.0000	1.0053	0.3124	0.0000	0.9181
18	1.7500	2.0000	8.4377	10.0000	0.2277	6.5267	1.4308	0.2525	7.3243	2.5497	2.3126	7.7554	7.6808	0.7674	0.0365	0.0000	0.0000	0.2334	0.0000	0.8653	0.2595	0.3931	2.3725
19	2.0000	2.2500	7.9436	6.0000	0.1931	5.7257	1.9401	0.0847	8.4568	2.6219	2.5897	8.8539	8.8444	2.4448	0.0468	0.0000	0.0000	0.4844	0.0000	0.7274	0.3627	0.0022	1.4493
20	2.2500	2.5000	3.4480	2.0000	0.1318	2.1720	1.1275	0.0168	13.0529	2.0395	2.5717	13.2113	13.3038	2.1085	0.0456	0.0000	0.0000	0.6390	0.0000	0.6425	0.5116	0.7358	0.7358
