Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	6.3068	0.0000	0.9832	3.3835	1.6550	0.2850	8.6034	3.3773	3.0018	9.2426	9.1121	1.9495	0.4259	2.5947	0.8317	0.0000	0.0000	0.0000	0.0000	0.0024	0.0114
2	-3.0144	-2.8888	5.9575	0.0000	0.7346	3.9400	1.1030	0.1799	9.4301	2.4351	2.5314	9.7395	9.7640	0.9632	0.4217	2.1853	0.7260	0.0000	0.0000	0.0000	0.0000	0.0090	0.6704
3	-2.8888	-2.7632	5.8758	0.0000	0.6084	4.1132	1.0294	0.1249	8.6688	3.8667	4.0256	9.4921	9.5579	3.0283	0.4185	2.4925	0.8033	0.0000	0.0000	0.0000	0.0000	0.0000	0.4395
4	-2.7632	-2.6376	6.3718	0.0000	0.6376	4.0058	1.4946	0.2338	8.6454	3.3351	3.0835	9.2664	9.1789	1.4016	0.4162	2.9036	0.7444	0.0000	0.0000	0.0000	0.0000	0.0110	0.0152
5	-2.6376	-2.5120	6.3709	0.0000	1.1803	3.7445	1.2205	0.2256	11.0331	2.7011	2.8610	11.3590	11.3980	1.1254	0.4237	2.3073	0.7957	0.0000	0.0000	0.0000	0.0000	0.0049	0.9075
6	-2.5120	-2.3864	6.4305	0.0000	0.6659	4.3062	1.3153	0.1432	9.7258	3.1070	2.7568	10.2100	10.1089	0.6393	0.4086	2.5749	0.6747	0.0000	0.0000	0.0000	0.0000	0.9932	1.0029
7	-2.3864	-2.2608	5.8902	0.0000	0.6981	3.7757	1.1622	0.2542	8.6564	2.6219	2.6339	9.0447	9.0482	0.3216	0.4174	2.4398	0.8014	0.0000	0.0000	0.0000	0.0000	0.0028	0.4104
8	-2.2608	-2.1352	5.9083	0.0000	0.8159	3.5180	1.1856	0.3888	8.5432	3.9426	3.6920	9.4090	9.3068	2.7823	0.4165	2.6656	0.7238	0.0000	0.0000	0.0000	0.0000	0.0000	0.7186
9	-2.1352	-2.0096	6.2285	0.0000	0.8035	3.6748	1.4445	0.3058	8.3738	2.6850	3.2699	8.7938	8.9896	1.6035	0.4206	2.5450	0.7450	0.0000	0.0000	0.0000	0.0000	0.0000	0.9552
10	-2.0096	-1.8840	6.5579	0.0000	0.9074	3.7597	1.6566	0.2341	8.7982	9.8931	5.9324	13.2394	10.6114	9.3604	0.4030	2.7354	0.6757	0.0000	0.0000	0.0000	0.0000	0.0027	1.4679
11	-1.8840	-1.7584	7.3571	0.0000	0.8207	4.7490	1.5937	0.1937	8.2809	3.6023	4.9892	9.0305	9.6678	4.0979	0.4143	2.6918	0.7440	0.0000	0.0000	0.0000	0.0000	0.2543	0.3577
12	-1.7584	-1.6328	6.5357	0.0000	0.7967	4.0913	1.3751	0.2726	8.8683	4.4047	3.6232	9.9019	9.5798	2.9030	0.4152	2.9556	0.7599	0.0000	0.0000	0.0000	0.0000	0.8334	0.8908
13	-1.6328	-1.5072	6.5468	0.0000	1.0192	3.9628	1.4711	0.0938	8.7385	2.7178	2.8188	9.1514	9.1819	0.6612	0.4231	2.5665	0.7728	0.0000	0.0000	0.0000	0.0000	0.0103	0.3813
14	-1.5072	-1.3816	5.5370	0.0000	0.6922	3.1779	1.4109	0.2560	10.5021	3.9841	2.7245	11.2324	10.8498	0.5111	0.4174	2.5711	0.6136	0.0000	0.0000	0.0000	0.0000	0.0529	2.9511
15	-1.3816	-1.2560	6.2605	0.0000	0.7019	3.8585	1.5937	0.1064	9.3738	3.8248	3.8924	10.1241	10.1499	2.3653	0.4182	2.9789	0.7118	0.0000	0.0000	0.0000	0.0000	0.0000	0.0298
16	-1.2560	-1.1304	6.4134	0.0000	1.0306	4.0402	1.0539	0.2886	8.5145	2.8459	2.9452	8.9775	9.0095	0.3009	0.4179	2.6794	0.8040	0.0000	0.0000	0.0000	0.0000	0.0000	0.8124
17	-1.1304	-1.0048	5.3910	0.0000	0.6330	3.1921	1.3342	0.2316	8.8215	6.5177	5.2390	10.9681	10.2599	5.7408	0.4160	2.5899	0.7422	0.0000	0.0000	0.0000	0.0000	1.0163	1.0295
18	-1.0048	-0.8792	6.6706	0.0000	0.7261	4.4656	1.2961	0.1829	8.1315	3.9563	3.8484	9.0428	8.9962	2.8206	0.4140	2.4902	0.6923	0.0000	0.0000	0.0000	0.0000	0.0224	0.9393
19	-0.8792	-0.7536	6.4734	0.0000	0.6539	4.1742	1.4540	0.1913	8.3923	4.4345	4.3918	9.4919	9.4720	3.3052	0.4111	2.8210	0.7828	0.0000	0.0000	0.0000	0.0000	0.4243	0.4871
20	-0.7536	-0.6280	6.3704	0.0000	0.6943	4.1429	1.3558	0.1774	8.4448	3.5590	3.4985	9.1641	9.1408	2.1835	0.4198	2.5730	0.7521	0.0000	0.0000	0.0000	0.0000	0.1359	1.6313
21	-0.6280	-0.5024	7.2998	0.0000	0.8691	4.4365	1.6227	0.3714	7.8119	2.6830	2.8040	8.2598	8.2999	0.2790	0.4195	2.5399	0.7454	0.0000	0.0000	0.0000	0.0000	0.7624	0.1436
22	-0.5024	-0.3768	6.6519	0.0000	0.9587	4.1576	1.3925	0.1431	8.0345	3.2259	2.8116	8.6579	8.5123	1.4498	0.4211	2.6184	0.7304	0.0000	0.0000	0.0000	0.0000	0.0210	0.8591
23	-0.3768	-0.2512	6.7064	0.0000	0.8680	4.0628	1.5196	0.2559	10.2449	2.1380	2.6139	10.4656	10.5731	1.5045	0.4166	1.9657	0.7289	0.0000	0.0000	0.0000	0.0000	0.0214	0.0238
