Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	10.0000	0.9494	0.0000	0.0019	0.8795	0.0657	0.0023	23.9730	1.4971	1.3143	24.0197	24.0090	0.6580	0.0000	0.0000	0.0000	0.2602	0.0000	1.2970	0.2412	0.0000	0.0000
2	10.0000	20.0000	1.9954	0.0000	0.0533	1.5970	0.3375	0.0076	15.8085	3.6511	2.0590	16.2246	15.9420	2.6135	0.0000	0.0000	0.0000	0.1718	0.0000	0.8361	0.1954	0.0000	2.3945
3	20.0000	30.0000	2.6513	0.0000	0.0340	2.3139	0.2208	0.0826	13.3035	2.6264	1.0217	13.5603	13.3427	2.4642	0.0000	0.0000	0.0000	0.2000	0.0000	0.8637	0.1993	0.0000	0.0000
4	30.0000	40.0000	3.8755	0.0000	0.0851	3.3690	0.3994	0.0219	11.0569	2.8084	2.5694	11.4080	11.3515	2.6604	0.0000	0.0000	0.0000	0.1349	0.0000	0.8552	0.1503	0.8937	0.9918
5	40.0000	50.0000	5.2958	0.0000	0.0501	4.9346	0.2099	0.1013	9.3526	3.4133	2.3672	9.9560	9.6475	3.2430	0.0000	0.0000	0.0000	0.1852	0.0000	1.0304	0.1933	0.0000	0.0004
6	50.0000	60.0000	6.6037	0.0000	0.3220	5.8782	0.3444	0.0591	8.7829	3.4634	4.3540	9.4411	9.8029	4.2446	0.0000	0.0000	0.0000	0.1653	0.0000	0.9426	0.1823	0.0000	0.7793
7	60.0000	70.0000	7.3155	0.0000	0.2432	6.8652	0.1827	0.0244	8.0875	2.3397	2.4213	8.4192	8.4422	2.1646	0.0000	0.0000	0.0000	0.1603	0.0000	0.9430	0.1839	0.0000	0.4909
8	70.0000	80.0000	7.1386	0.0000	0.2223	6.3821	0.5039	0.0302	8.0357	1.4092	1.5885	8.1583	8.1912	0.5602	0.0000	0.0000	0.0000	0.1858	0.0000	0.9687	0.1936	1.1001	0.8800
9	80.0000	90.0000	7.4615	0.0000	0.2721	6.4419	0.6342	0.1133	7.9824	2.4084	2.6210	8.3378	8.4017	2.3902	0.0000	0.0000	0.0000	0.2456	0.0000	1.0262	0.2517	0.0001	0.0020
10	90.0000	100.0000	7.5676	0.0000	0.1691	6.5516	0.7362	0.1108	7.9279	2.8391	2.4956	8.4209	8.3114	2.3979	0.0000	0.0000	0.0000	0.1583	0.0000	0.8527	0.1614	0.2237	1.2378
11	100.0000	110.0000	8.2829	0.0000	0.4554	7.3128	0.4172	0.0976	7.4077	1.6784	1.6403	7.5954	7.5871	1.2172	0.0000	0.0000	0.0000	0.2210	0.0000	1.0581	0.2210	0.0014	0.8624
12	110.0000	120.0000	6.7946	0.0000	0.3534	6.0640	0.3499	0.0273	8.3107	2.3355	2.2593	8.6326	8.6123	2.0009	0.0000	0.0000	0.0000	0.2208	0.0000	1.0831	0.2396	0.2882	0.2975
13	120.0000	130.0000	7.2656	0.0000	0.4555	6.0157	0.6927	0.1017	7.7366	3.4450	2.7926	8.4689	8.2252	3.2228	0.0000	0.0000	0.0000	0.2408	0.0000	1.0190	0.2407	0.0000	1.0167
14	130.0000	140.0000	7.2037	0.0000	0.4953	5.7620	0.7906	0.1558	8.5974	1.1441	1.4792	8.6732	8.7237	0.9771	0.0000	0.0000	0.0000	0.2746	0.0000	1.0440	0.2855	0.0027	0.1654
