Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	3.6129	0.0000	0.3157	2.8541	0.4359	0.0072	11.6833	2.9757	2.8279	12.0563	12.0207	0.5135	0.0000	0.0000	0.0000	0.3884	0.0000	1.3070	0.3668	1.8297	2.3993
2	-3.0144	-2.8888	4.4875	0.0000	0.4999	3.2025	0.6370	0.1480	9.7059	1.7697	1.6054	9.8659	9.8378	0.5753	0.0000	0.0000	0.0000	0.4998	0.0000	1.4386	0.4716	0.3429	0.3762
3	-2.8888	-2.7632	4.4130	0.0000	0.3412	3.5557	0.4751	0.0411	10.0061	2.6546	1.9955	10.3522	10.2031	1.4779	0.0000	0.0000	0.0000	0.4237	0.0000	1.2584	0.4145	0.3813	1.7110
4	-2.7632	-2.6376	4.2472	0.0000	0.4204	2.6488	0.9849	0.1932	10.2212	2.0404	1.3393	10.4228	10.3085	1.3342	0.0000	0.0000	0.0000	0.3642	0.0000	1.2431	0.3659	0.0131	0.7559
5	-2.6376	-2.5120	4.2003	0.0000	0.2223	3.4160	0.4477	0.1143	10.0258	3.3779	3.2176	10.5795	10.5294	2.9923	0.0000	0.0000	0.0000	0.4211	0.0000	1.3067	0.3959	0.4186	0.4888
6	-2.5120	-2.3864	5.2572	0.0000	0.3525	3.9794	0.7746	0.1507	8.8789	3.5789	3.8271	9.5731	9.6686	3.4525	0.0000	0.0000	0.0000	0.5802	0.0000	1.4550	0.5534	0.0063	1.0189
7	-2.3864	-2.2608	5.1742	0.0000	0.2135	3.9191	0.8952	0.1464	9.3386	3.4222	3.3966	9.9459	9.9372	2.9257	0.0000	0.0000	0.0000	0.5210	0.0000	1.4082	0.4886	0.1427	1.4951
8	-2.2608	-2.1352	5.0563	0.0000	0.3129	4.0101	0.6164	0.1169	9.4536	3.5647	3.5705	10.1034	10.1054	3.2649	0.0000	0.0000	0.0000	0.4672	0.0000	1.2676	0.4217	0.1478	0.7410
9	-2.1352	-2.0096	4.6681	0.0000	0.2595	3.0994	1.2971	0.0121	10.3197	7.1789	7.8741	12.5712	12.9807	7.7133	0.0000	0.0000	0.0000	0.5224	0.0000	1.4138	0.5066	0.0486	1.1630
10	-2.0096	-1.8840	4.2671	0.0000	0.2153	3.1875	0.6703	0.1939	10.0327	2.1987	1.8998	10.2708	10.2110	0.0869	0.0000	0.0000	0.0000	0.3832	0.0000	1.4112	0.3765	1.1996	1.1642
11	-1.8840	-1.7584	3.9793	0.0000	0.3999	2.9508	0.6016	0.0270	10.2519	2.3969	2.3901	10.5283	10.5268	1.8033	0.0000	0.0000	0.0000	0.4950	0.0000	1.4142	0.4631	0.1095	0.5549
12	-1.7584	-1.6328	4.2866	0.0000	0.2594	3.2177	0.5323	0.2773	10.5034	2.1703	3.7611	10.7253	11.1565	3.3923	0.0000	0.0000	0.0000	0.5735	0.0000	1.4410	0.5113	0.0015	0.2953
13	-1.6328	-1.5072	4.4959	0.0000	0.2255	3.4304	0.7555	0.0845	9.9317	1.9215	1.6515	10.1159	10.0681	1.1406	0.0000	0.0000	0.0000	0.4241	0.0000	1.2874	0.3946	0.4355	0.8645
14	-1.5072	-1.3816	4.6459	0.0000	0.2969	3.2464	0.8979	0.2048	10.1058	4.5777	3.3155	11.0943	10.6358	4.1996	0.0000	0.0000	0.0000	0.5384	0.0000	1.5689	0.5300	0.0004	0.5352
15	-1.3816	-1.2560	4.5690	0.0000	0.3983	3.0883	0.8139	0.2685	10.3259	2.1918	2.6327	10.5560	10.6563	0.5066	0.0000	0.0000	0.0000	0.5432	0.0000	1.4586	0.4942	0.5597	1.9936
16	-1.2560	-1.1304	4.3427	0.0000	0.1933	3.7275	0.4057	0.0162	11.6568	7.4160	3.6497	13.8158	12.2148	7.1909	0.0000	0.0000	0.0000	0.3258	0.0000	1.1489	0.2924	0.7976	1.3330
17	-1.1304	-1.0048	4.8108	0.0000	0.2535	3.8856	0.4974	0.1743	9.6406	2.2346	3.1460	9.8962	10.1409	2.8247	0.0000	0.0000	0.0000	0.3857	0.0000	1.2774	0.3871	0.1375	0.8092
18	-1.0048	-0.8792	4.3510	0.0000	0.2841	3.1178	0.8526	0.0965	10.0328	4.9844	5.1162	11.2027	11.2620	4.9131	0.0000	0.0000	0.0000	0.4075	0.0000	1.3159	0.4037	0.0278	0.0927
19	-0.8792	-0.7536	5.1162	0.0000	0.4095	3.3817	0.9959	0.3291	10.7481	2.2254	3.3932	10.9761	11.2710	3.0136	0.0000	0.0000	0.0000	0.3639	0.0000	1.3777	0.3604	0.3682	0.4144
20	-0.7536	-0.6280	5.2896	0.0000	0.3823	3.7201	0.7688	0.4184	9.9861	1.4961	2.2219	10.0975	10.2303	1.7706	0.0000	0.0000	0.0000	0.4006	0.0000	1.2302	0.3898	0.0125	0.6216
21	-0.6280	-0.5024	4.3018	0.0000	0.3634	2.9356	0.8276	0.1752	10.4446	2.4125	1.6075	10.7196	10.5676	1.7986	0.0000	0.0000	0.0000	0.4663	0.0000	1.4690	0.4579	0.0084	0.0400
22	-0.5024	-0.3768	4.5411	0.0000	0.2771	3.5660	0.6327	0.0652	10.2701	6.3297	5.0344	12.0641	11.4377	6.0878	0.0000	0.0000	0.0000	0.5682	0.0000	1.5554	0.5117	0.0000	0.0003
