Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	4.9693	4.0000	0.3783	3.6954	0.6550	0.2407	9.8960	3.2195	2.4264	10.4065	10.1891	1.9229	0.0000	0.0000	0.0000	0.3978	0.0000	1.3758	0.3959	1.3302	2.5176
2	-3.0144	-2.8888	4.7234	3.0000	0.4970	3.2620	0.7470	0.2175	9.7277	1.9301	1.5628	9.9174	9.8525	0.6633	0.0000	0.0000	0.0000	0.4867	0.0000	1.3981	0.4751	0.4466	0.8175
3	-2.8888	-2.7632	4.3533	1.0000	0.3814	3.3533	0.4260	0.1926	10.1198	4.5670	4.8781	11.1026	11.2342	4.2194	0.0000	0.0000	0.0000	0.6452	0.0000	1.5883	0.5970	0.3861	1.6089
4	-2.7632	-2.6376	4.3308	3.0000	0.3914	3.2620	0.5161	0.1612	10.4308	2.5523	2.2596	10.7385	10.6727	2.2109	0.0000	0.0000	0.0000	0.4108	0.0000	1.1477	0.3750	0.0000	1.8607
5	-2.6376	-2.5120	4.3242	3.0000	0.2901	3.0887	0.6379	0.3075	9.6426	2.6707	2.4847	10.0056	9.9575	2.1627	0.0000	0.0000	0.0000	0.5065	0.0000	1.3990	0.4862	0.0142	0.0710
6	-2.5120	-2.3864	5.2919	6.0000	0.4253	3.8083	0.9719	0.0865	9.1504	2.3428	2.3446	9.4455	9.4460	1.8353	0.0000	0.0000	0.0000	0.4301	0.0000	1.3297	0.4090	0.0000	0.7103
7	-2.3864	-2.2608	4.7884	2.0000	0.3149	3.6897	0.5377	0.2462	9.2194	2.4309	1.7747	9.5345	9.3886	1.5880	0.0000	0.0000	0.0000	0.4543	0.0000	1.3962	0.4307	0.0226	1.0228
8	-2.2608	-2.1352	5.2469	4.0000	0.3670	3.8872	0.8898	0.1028	9.1134	4.4224	3.5798	10.1297	9.7913	4.2043	0.0000	0.0000	0.0000	0.4196	0.0000	1.2442	0.3932	0.0000	0.3042
9	-2.1352	-2.0096	4.3199	4.0000	0.5713	2.6865	0.8174	0.2447	10.2027	1.7486	2.1978	10.3515	10.4368	1.3377	0.0000	0.0000	0.0000	0.4472	0.0000	1.3676	0.4400	0.1730	0.8984
10	-2.0096	-1.8840	4.2533	3.0000	0.3361	3.0098	0.7025	0.2050	9.6779	3.7196	3.2443	10.3681	10.2073	3.2644	0.0000	0.0000	0.0000	0.3563	0.0000	1.1754	0.3386	1.2035	0.3277
11	-1.8840	-1.7584	4.7413	4.0000	0.5018	3.3711	0.7633	0.1052	9.8012	2.8050	3.3103	10.1947	10.3451	2.9363	0.0000	0.0000	0.0000	0.5228	0.0000	1.3703	0.4574	0.0000	1.1461
12	-1.7584	-1.6328	5.2425	2.0000	0.5236	4.0735	0.4595	0.1858	9.0454	1.9791	1.7541	9.2594	9.2139	0.9756	0.0000	0.0000	0.0000	0.3649	0.0000	1.1422	0.3308	0.3681	1.4948
13	-1.6328	-1.5072	5.0016	5.0000	0.4331	3.7716	0.5985	0.1984	9.8555	3.2779	2.7214	10.3863	10.2243	2.9018	0.0000	0.0000	0.0000	0.4083	0.0000	1.4164	0.3860	0.0005	1.6402
14	-1.5072	-1.3816	5.1836	4.0000	0.3763	3.2544	1.2731	0.2797	9.5177	9.1853	4.7972	13.2272	10.6583	8.8381	0.0000	0.0000	0.0000	0.6115	0.0000	1.5330	0.5518	0.1276	1.7926
15	-1.3816	-1.2560	4.5870	4.0000	0.2502	3.3784	0.7858	0.1725	11.0532	2.0381	2.7086	11.2395	11.3802	1.7977	0.0000	0.0000	0.0000	0.7007	0.0000	1.7320	0.6495	0.0187	0.4866
16	-1.2560	-1.1304	4.4444	7.0000	0.4761	3.1209	0.5710	0.2764	10.0495	2.9445	2.8819	10.4720	10.4545	2.0822	0.0000	0.0000	0.0000	0.5126	0.0000	1.3752	0.4833	1.8915	1.3954
17	-1.1304	-1.0048	4.5243	3.0000	0.3957	3.1805	0.7482	0.1999	10.0721	3.5976	3.3007	10.6953	10.5991	3.1681	0.0000	0.0000	0.0000	0.4389	0.0000	1.5260	0.4450	0.0000	0.4503
18	-1.0048	-0.8792	5.2485	4.0000	0.2522	3.8946	0.9518	0.1498	10.4528	6.1246	4.5282	12.1150	11.3915	5.9094	0.0000	0.0000	0.0000	0.4675	0.0000	1.3598	0.4587	0.0025	0.5579
19	-0.8792	-0.7536	5.1990	2.0000	0.5627	3.6157	0.8269	0.1937	9.4565	1.6011	3.1948	9.5911	9.9816	2.4535	0.0000	0.0000	0.0000	0.4914	0.0000	1.4386	0.4883	0.0000	1.2909
20	-0.7536	-0.6280	3.9991	3.0000	0.4153	2.9958	0.3907	0.1972	10.1627	6.1235	4.1143	11.8650	10.9639	5.8048	0.0000	0.0000	0.0000	0.5267	0.0000	1.5290	0.4927	0.0000	0.9715
21	-0.6280	-0.5024	4.4619	0.0000	0.2715	3.3619	0.7607	0.0678	10.2153	3.2815	3.2647	10.7295	10.7243	2.8851	0.0000	0.0000	0.0000	0.5269	0.0000	1.3863	0.4932	0.0000	0.0464
22	-0.5024	-0.3768	5.0461	3.0000	0.3381	3.8905	0.7426	0.0748	9.4221	2.6795	2.4059	9.7957	9.7244	1.9815	0.0000	0.0000	0.0000	0.6392	0.0000	1.5825	0.5838	0.0000	0.3082
23	-0.3768	-0.2512	4.6687	5.0000	0.4436	3.0634	1.0776	0.0840	9.9602	2.7551	1.6565	10.3342	10.0970	2.2620	0.0000	0.0000	0.0000	0.5088	0.0000	1.4128	0.4676	0.0000	0.5227
24	-0.2512	-0.1256	4.7402	4.0000	0.2584	3.5699	0.8090	0.1030	10.4876	1.6858	2.2797	10.6223	10.7325	1.4323	0.0000	0.0000	0.0000	0.4313	0.0000	1.1934	0.4022	0.0000	1.1786
25	-0.1256	0.0000	4.3266	6.0000	0.5227	3.1891	0.4417	0.1731	9.8876	3.6762	4.8609	10.5489	11.0179	4.3032	0.0000	0.0000	0.0000	0.4189	0.0000	1.3082	0.4228	0.6148	1.6384
26	0.0000	0.1256	5.0463	2.0000	0.4288	3.9846	0.5759	0.0570	9.5111	2.9389	4.3292	9.9548	10.4501	4.1099	0.0000	0.0000	0.0000	0.3992	0.0000	1.2497	0.3817	0.0009	1.5810
27	0.1256	0.2512	4.6676	2.0000	0.4381	3.3903	0.7188	0.1204	9.5513	3.4493	2.3982	10.1551	9.8478	3.1087	0.0000	0.0000	0.0000	0.4835	0.0000	1.3382	0.4564	0.0000	0.0271
28	0.2512	0.3768	4.6354	3.0000	0.4493	2.9794	0.9760	0.2307	10.1698	2.3242	2.4564	10.4321	10.4623	1.4449	0.0000	0.0000	0.0000	0.5703	0.0000	1.6873	0.5465	0.0000	0.7244
29	0.3768	0.5024	3.8930	2.0000	0.3911	2.8030	0.5356	0.1632	10.5582	2.7977	2.7126	10.9226	10.9011	2.0845	0.0000	0.0000	0.0000	0.5891	0.0000	1.5370	0.5505	0.0297	2.1174
30	0.5024	0.6280	4.2831	4.0000	0.3317	2.9607	0.8392	0.1515	10.4232	3.2790	4.3743	10.9268	11.3039	3.6118	0.0000	0.0000	0.0000	0.4903	0.0000	1.4267	0.4500	0.0016	1.9078
31	0.6280	0.7536	4.1948	2.0000	0.4545	2.9941	0.5309	0.2153	10.0121	2.1483	1.9908	10.2400	10.2081	1.0062	0.0000	0.0000	0.0000	0.5740	0.0000	1.5145	0.5234	0.0147	1.1979
32	0.7536	0.8792	4.3865	0.0000	0.2908	3.5272	0.3812	0.1873	9.3436	1.6377	2.4427	9.4861	9.6577	0.1753	0.0000	0.0000	0.0000	0.4805	0.0000	1.4919	0.4639	0.0775	1.8133
33	0.8792	1.0048	4.9900	4.0000	0.3527	3.6325	0.8943	0.1105	9.4993	1.9741	1.6847	9.7022	9.6475	0.8317	0.0000	0.0000	0.0000	0.4547	0.0000	1.3698	0.4260	0.4403	0.8643
34	1.0048	1.1304	4.7331	5.0000	0.3425	3.3411	0.8782	0.1714	9.4468	1.4796	1.6253	9.5620	9.5856	0.8333	0.0000	0.0000	0.0000	0.3796	0.0000	1.3060	0.3719	0.0112	0.0185
35	1.1304	1.2560	4.2579	6.0000	0.3884	2.8128	0.9129	0.1438	10.4380	2.4614	1.7457	10.7243	10.5829	1.7028	0.0000	0.0000	0.0000	0.5776	0.0000	1.5583	0.5325	0.0260	0.3359
36	1.2560	1.3816	4.5588	6.0000	0.2801	3.6813	0.4850	0.1124	9.8911	1.9204	2.4448	10.0758	10.1887	0.6430	0.0000	0.0000	0.0000	0.4345	0.0000	1.4158	0.4101	1.7240	1.1517
37	1.3816	1.5072	4.6379	8.0000	0.2893	3.2258	0.8707	0.2520	10.2261	4.4750	4.1546	11.1624	11.0378	4.2389	0.0000	0.0000	0.0000	0.4832	0.0000	1.2751	0.4425	0.0229	0.0342
38	1.5072	1.6328	4.6811	4.0000	0.3842	2.9411	1.0223	0.3336	9.6314	1.6685	1.6993	9.7749	9.7801	0.4701	0.0000	0.0000	0.0000	0.5213	0.0000	1.4734	0.4973	0.0000	0.0577
39	1.6328	1.7584	4.6565	4.0000	0.4046	3.1480	0.9243	0.1797	10.0274	4.2986	5.0502	10.9100	11.2274	4.6817	0.0000	0.0000	0.0000	0.7435	0.0000	1.6065	0.6701	0.0259	0.7473
40	1.7584	1.8840	4.6786	4.0000	0.4211	3.2164	0.9399	0.1011	9.5208	2.4473	2.1518	9.8303	9.7609	1.3584	0.0000	0.0000	0.0000	0.5790	0.0000	1.6230	0.5519	0.0000	0.9329
41	1.8840	2.0096	4.8907	5.0000	0.4384	3.5566	0.6358	0.2599	9.3807	2.8229	2.2928	9.7963	9.6569	2.2065	0.0000	0.0000	0.0000	0.5075	0.0000	1.4327	0.4688	0.0030	0.7551
42	2.0096	2.1352	4.7929	2.0000	0.4585	3.5299	0.6544	0.1501	8.8619	2.4962	3.1688	9.2068	9.4114	2.8077	0.0000	0.0000	0.0000	0.4004	0.0000	1.2394	0.3945	0.3839	0.4163
43	2.1352	2.2608	4.7816	3.0000	0.3062	2.9777	1.2430	0.2547	11.3933	4.2023	5.1712	12.1436	12.5119	4.9645	0.0000	0.0000	0.0000	0.4508	0.0000	1.2749	0.4154	0.2098	1.3377
44	2.2608	2.3864	4.8201	4.0000	0.4772	3.2377	0.9069	0.1983	9.5716	2.4283	2.7165	9.8748	9.9496	1.2302	0.0000	0.0000	0.0000	0.5587	0.0000	1.5437	0.5351	0.7883	1.9219
45	2.3864	2.5120	4.3632	5.0000	0.4827	2.7366	1.0279	0.1160	11.4804	1.5688	1.4677	11.5871	11.5738	0.4377	0.0000	0.0000	0.0000	0.4361	0.0000	1.2952	0.4342	0.0332	0.4610
46	2.5120	2.6376	5.0650	7.0000	0.4672	3.7110	0.7188	0.1681	9.6202	2.3990	2.0382	9.9148	9.8337	1.7647	0.0000	0.0000	0.0000	0.5483	0.0000	1.4351	0.5281	0.0279	0.3800
47	2.6376	2.7632	4.4520	3.0000	0.4169	3.3389	0.4537	0.2425	9.6212	2.2490	3.7359	9.8806	10.3211	3.3049	0.0000	0.0000	0.0000	0.5642	0.0000	1.5662	0.5304	0.0297	0.1558
48	2.7632	2.8888	4.6708	6.0000	0.2347	3.8368	0.4783	0.1209	9.3838	2.5129	1.7265	9.7144	9.5413	2.0351	0.0000	0.0000	0.0000	0.4302	0.0000	1.3503	0.4052	0.0000	0.0351
49	2.8888	3.0144	4.7899	4.0000	0.4414	3.1406	0.7557	0.4523	9.6856	1.7812	2.5041	9.8480	10.0041	1.7933	0.0000	0.0000	0.0000	0.5822	0.0000	1.5634	0.5458	0.0292	0.0872
50	3.0144	3.1400	4.2227	2.0000	0.5052	3.1062	0.3965	0.2148	10.3084	2.4090	1.3233	10.5862	10.3930	1.9086	0.0000	0.0000	0.0000	0.3667	0.0000	1.2267	0.3535	0.0000	0.6295
