Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
2	-2.4000	-2.3000	0.9262	0.0000	0.1060	0.7407	0.1184	-0.0389	21.3994	2.9963	5.8843	21.6082	22.1937	5.4030	0.0000	0.0000	0.0000	0.8568	0.0000	1.4324	0.5604	1.0829	1.0829
3	-2.3000	-2.2000	1.7545	0.0000	0.1707	1.0479	0.4543	0.0817	16.1461	2.4495	1.8912	16.3308	16.2565	1.1858	0.0000	0.0000	0.0000	0.8048	0.0000	1.1903	0.5294	0.0000	1.4997
4	-2.2000	-2.1000	1.6024	0.0000	0.1900	1.1033	0.3638	-0.0547	17.6094	4.0997	2.9377	18.0804	17.8528	2.4548	0.0000	0.0000	0.0000	0.7678	0.0000	1.2293	0.5232	0.0002	3.7991
5	-2.1000	-2.0000	2.1005	0.0000	0.1732	1.5622	0.3376	0.0275	15.1468	1.4182	3.7972	15.2130	15.6155	1.8254	0.0000	0.0000	0.0000	0.1953	0.0000	1.0084	0.2101	0.0000	3.1620
6	-2.0000	-1.9000	2.4132	0.0000	0.1795	1.5127	0.5814	0.1396	13.7674	4.0465	4.9449	14.3497	14.6285	4.2886	0.0000	0.0000	0.0000	0.2476	0.0000	1.1896	0.2696	0.0275	2.1263
7	-1.9000	-1.8000	2.4620	0.0000	0.1354	1.7614	0.3933	0.1718	14.4691	4.6839	2.7734	15.2084	14.7325	2.3760	0.0000	0.0000	0.0000	0.2151	0.0000	1.4014	0.2350	0.0839	3.8049
8	-1.8000	-1.7000	3.0907	0.0000	0.2021	2.3342	0.4466	0.1078	12.1291	2.2229	1.2033	12.3311	12.1886	1.7181	0.0000	0.0000	0.0000	0.2486	0.0000	1.1549	0.2597	0.0000	0.7255
9	-1.7000	-1.6000	3.5807	0.0000	0.1268	2.5908	0.7371	0.1260	11.9617	3.6483	3.1679	12.5057	12.3740	3.4437	0.0000	0.0000	0.0000	0.2017	0.0000	1.1480	0.2210	0.0004	0.2075
10	-1.6000	-1.5000	3.7814	0.0000	0.2311	3.1271	0.3239	0.0993	11.1714	1.7038	2.1991	11.3006	11.3858	0.7473	0.0000	0.0000	0.0000	0.3938	0.0000	1.4165	0.4159	0.9160	1.2613
11	-1.5000	-1.4000	3.9020	0.0000	0.3088	2.7429	0.7384	0.1118	12.3443	4.4485	3.8094	13.1214	12.9188	4.1110	0.0000	0.0000	0.0000	0.4072	0.0000	1.5896	0.4098	0.1696	1.2020
