Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
2	-2.4000	-2.3000	0.8771	2.0000	0.0766	0.7196	0.0507	0.0302	20.5628	1.5796	2.5995	20.6234	20.7265	1.2914	0.0000	0.0000	0.0000	0.8315	0.0000	1.2308	0.5376	1.1435	1.1435
3	-2.3000	-2.2000	1.4570	0.0000	0.2169	1.0155	0.1873	0.0373	17.2098	4.0773	3.2186	17.6862	17.5082	3.3393	0.0000	0.0000	0.0000	0.8186	0.0000	1.1243	0.5274	0.0000	1.8059
4	-2.2000	-2.1000	1.3415	0.0000	0.1673	1.0184	0.0946	0.0613	18.0456	4.9472	3.0168	18.7115	18.2961	2.4027	0.0000	0.0000	0.0000	0.8252	0.0000	1.4246	0.5404	0.0004	4.6337
5	-2.1000	-2.0000	1.9064	1.0000	0.2345	1.4789	0.1633	0.0298	15.0520	1.9602	2.8371	15.1791	15.3171	2.5721	0.0000	0.0000	0.0000	0.2357	0.0000	1.0953	0.2450	0.0000	0.3624
6	-2.0000	-1.9000	2.0886	2.0000	0.2330	1.4538	0.3225	0.0792	14.6360	5.5591	5.8004	15.6562	15.7435	5.4275	0.0000	0.0000	0.0000	0.2189	0.0000	1.1574	0.2384	0.0411	2.4618
7	-1.9000	-1.8000	2.0835	0.0000	0.1707	1.6162	0.2095	0.0871	14.5255	3.0237	1.9531	14.8368	14.6562	1.5091	0.0000	0.0000	0.0000	0.2547	0.0000	1.1747	0.2687	0.1314	2.4869
8	-1.8000	-1.7000	2.6824	2.0000	0.2573	2.2431	0.0763	0.1056	12.5655	3.4023	1.4510	13.0180	12.6490	2.9609	0.0000	0.0000	0.0000	0.3380	0.0000	1.3655	0.3427	0.0000	0.8439
9	-1.7000	-1.6000	3.2914	1.0000	0.1583	2.4410	0.5487	0.1434	12.1360	2.2837	1.3628	12.3490	12.2123	1.9408	0.0000	0.0000	0.0000	0.2120	0.0000	1.1238	0.2315	0.0000	0.2952
10	-1.6000	-1.5000	3.4336	1.0000	0.3006	3.0014	0.0257	0.1060	11.4798	1.9920	2.4436	11.6514	11.7370	1.0041	0.0000	0.0000	0.0000	0.4763	0.0000	1.5703	0.4975	1.0088	1.4207
11	-1.5000	-1.4000	3.3623	4.0000	0.3981	2.4873	0.3826	0.0943	12.7407	3.1867	2.9218	13.1332	13.0714	2.6008	0.0000	0.0000	0.0000	0.4558	0.0000	1.6801	0.4572	0.1968	0.3360
12	-1.4000	-1.3000	4.4946	0.0000	0.5909	3.6371	0.0910	0.1756	9.9664	4.9315	5.3209	11.1197	11.2978	4.9833	0.0000	0.0000	0.0000	0.5041	0.0000	1.7326	0.5148	0.0348	0.9075
