Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	50.0000	5035.7725	5708.0000	4999.5152	24.7550	4.4496	7.0527	0.6073	7.7472	8.7552	7.7710	8.7763	0.6054	0.8499	4.8408	0.7696	0.0000	0.0000	0.0000	0.0000	0.6302	7.2517
2	50.0000	100.0000	3933.4125	4610.0000	3855.5467	57.2242	6.1214	14.5201	0.5997	7.5521	6.7715	7.5759	6.7980	0.0347	0.8500	4.8420	0.7717	0.0000	0.0000	0.0000	0.0000	0.6250	5.6556
3	100.0000	150.0000	1785.8296	2017.0000	1710.9846	57.3229	3.7160	13.8061	0.7523	5.9942	5.5762	6.0412	5.6267	0.9115	0.8478	4.8536	0.7661	0.0000	0.0000	0.0000	0.0000	0.6171	3.2265
4	150.0000	200.0000	830.0895	946.0000	769.6831	47.5217	2.6340	10.2508	0.9785	6.8364	5.3348	6.9061	5.4238	0.2826	0.8501	4.8691	0.7729	0.0000	0.0000	0.0000	0.0000	0.9823	4.5457
5	200.0000	250.0000	407.4017	442.0000	363.2894	35.8631	1.5114	6.7378	1.2093	6.2631	6.1944	6.3787	6.3113	0.2603	0.8486	4.7940	0.7589	0.0000	0.0000	0.0000	0.0000	0.8251	3.8849
6	250.0000	300.0000	207.8218	228.0000	177.9320	24.0885	1.1554	4.6459	1.3999	7.4458	6.6514	7.5763	6.7971	0.0721	0.8444	4.7648	0.7406	0.0000	0.0000	0.0000	0.0000	1.0601	5.6087
7	300.0000	350.0000	106.1967	103.0000	87.8004	15.4217	0.3106	2.6639	1.7133	8.5244	7.3484	8.6949	7.5455	0.2474	0.8402	4.6752	0.7158	0.0000	0.0000	0.0000	0.0000	0.7600	6.9965
8	350.0000	400.0000	61.8824	63.0000	48.4182	11.5013	0.3383	1.6246	2.0512	8.3823	7.2184	8.6296	7.5042	0.4953	0.8378	4.6819	0.7110	0.0000	0.0000	0.0000	0.0000	1.6358	6.6861
9	400.0000	450.0000	34.4410	33.0000	25.5835	7.7556	0.2365	0.8655	2.5194	6.8094	7.3615	7.2605	7.7807	1.7733	0.8332	4.6003	0.6913	0.0000	0.0000	0.0000	0.0000	1.4048	5.4040
10	450.0000	500.0000	19.9802	19.0000	13.7781	5.4307	0.1167	0.6547	3.2131	10.7636	8.3212	11.2330	8.9200	0.6261	0.8306	4.7747	0.6663	0.0000	0.0000	0.0000	0.0000	1.3661	9.4692
11	500.0000	550.0000	12.5154	9.0000	8.4112	3.6243	0.0258	0.4541	4.2991	6.5323	10.7317	7.8201	11.5608	0.7510	0.8309	4.5003	0.6574	0.0000	0.0000	0.0000	0.0000	2.4577	9.4226
12	550.0000	600.0000	7.2242	3.0000	4.6186	2.2878	0.0360	0.2819	4.8564	18.1978	10.1683	18.8347	11.2685	1.1072	0.8260	4.5101	0.6582	0.0000	0.0000	0.0000	0.0000	3.6902	17.1715
13	600.0000	650.0000	4.7300	4.0000	2.8218	1.6920	0.0030	0.2133	6.6827	9.8499	11.7272	11.9029	13.4976	4.3588	0.8215	4.4632	0.6208	0.0000	0.0000	0.0000	0.0000	2.5455	9.5946
14	650.0000	700.0000	3.1608	3.0000	1.9291	0.9997	0.0003	0.2317	7.3199	5.3646	13.3339	9.0752	15.2110	0.2513	0.8298	4.3245	0.6659	0.0000	0.0000	0.0000	0.0000	2.7249	12.4982
15	700.0000	750.0000	1.7317	2.0000	1.1839	0.4635	0.0001	0.0841	8.9351	28.6759	6.1160	30.0357	10.8278	4.3501	0.8239	4.2874	0.6621	0.0000	0.0000	0.0000	0.0000	5.5801	27.5307
16	750.0000	800.0000	1.5392	0.0000	0.8187	0.5982	0.0002	0.1222	11.1715	6.1973	17.0797	12.7754	20.4088	0.5004	0.8270	4.4551	0.6727	0.0000	0.0000	0.0000	0.0000	9.7316	13.3059
17	800.0000	850.0000	0.8981	1.0000	0.5884	0.2676	0.0000	0.0422	12.8179	25.6319	20.3675	28.6582	24.0652	2.3401	0.8255	4.4473	0.6268	0.0000	0.0000	0.0000	0.0000	5.8699	24.4328
18	850.0000	900.0000	0.5161	1.0000	0.3557	0.1519	0.0072	0.0012	13.3078	12.1853	23.5026	18.0438	27.0087	5.2267	0.8331	4.4065	0.6533	0.0000	0.0000	0.0000	0.0000	17.2130	14.7965
19	900.0000	950.0000	0.5782	0.0000	0.2636	0.2593	0.0000	0.0553	19.8017	7.4595	24.0848	21.1601	31.1799	7.4137	0.8138	4.4700	0.5473	0.0000	0.0000	0.0000	0.0000	3.4335	22.4769
20	950.0000	1000.0000	1.1964	0.0000	0.7988	0.3171	0.0004	0.0801	9.3949	23.9606	16.0506	25.7366	18.5980	0.9313	0.8216	4.6420	0.6257	0.0000	0.0000	0.0000	0.0000	6.7900	22.4616
