Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-5.0000	-4.8000	0.5844	0.0000	0.5769	0.0000	0.0000	0.0075	31.8965	8.8308	44.2579	33.0964	54.5541	1.9528	0.9449	8.3838	1.2688	0.0000	0.0000	0.0000	0.0000	23.3574	36.6806
2	-4.8000	-4.6000	0.7937	1.0000	0.6992	0.0000	0.0443	0.0502	27.2071	88.9721	11.4625	93.0390	29.5231	10.2456	0.9394	5.5964	1.3208	0.0000	0.0000	0.0000	0.0000	25.7252	84.3524
3	-4.6000	-4.4000	2.2436	2.0000	2.1930	0.0000	0.0000	0.0506	25.6761	8.9142	53.3360	27.1795	59.1945	4.7564	0.9772	7.2373	1.4164	0.0000	0.0000	0.0000	0.0000	12.1920	51.2830
4	-4.4000	-4.2000	1.8480	5.0000	1.6918	0.0000	0.0736	0.0826	18.7890	64.1778	9.5604	66.8716	21.0814	7.2202	0.9389	7.1824	1.4119	0.0000	0.0000	0.0000	0.0000	19.0096	60.4221
5	-4.2000	-4.0000	4.7070	3.0000	4.4997	0.0000	0.1757	0.0315	13.1097	6.7978	28.4554	14.7673	31.3300	0.8975	0.9611	6.5476	1.5538	0.0000	0.0000	0.0000	0.0000	6.9592	26.7762
6	-4.0000	-3.8000	3.8213	3.0000	3.5935	0.0794	0.0022	0.1462	12.5892	21.2246	6.5862	24.6774	14.2079	2.2667	0.9682	6.3830	1.3736	0.0000	0.0000	0.0000	0.0000	7.9878	18.3841
7	-3.8000	-3.6000	6.2998	12.0000	5.8691	0.0321	0.0980	0.3006	16.7803	10.0693	10.1062	19.5696	19.5886	0.6282	0.9627	6.7110	1.5044	0.0000	0.0000	0.0000	0.0000	5.6367	6.6255
8	-3.6000	-3.4000	9.1675	16.0000	8.7541	0.0265	0.0699	0.3171	13.4678	12.0258	9.8033	18.0555	16.6579	6.5394	0.9519	7.5772	1.3548	0.0000	0.0000	0.0000	0.0000	4.8427	4.2718
9	-3.4000	-3.2000	10.3945	15.0000	9.9284	0.0347	0.0692	0.3622	14.3740	13.4632	10.8154	19.6945	17.9885	2.5087	0.9374	6.0201	1.2638	0.0000	0.0000	0.0000	0.0000	2.7950	11.7966
10	-3.2000	-3.0000	8.2000	13.0000	7.5005	0.1077	0.1699	0.4218	8.9519	16.3586	6.3147	18.6478	10.9550	2.3859	0.9441	6.1900	1.2726	0.0000	0.0000	0.0000	0.0000	2.5679	14.6455
11	-3.0000	-2.8000	9.3949	24.0000	8.6783	0.0826	0.2151	0.4189	11.1442	8.4365	10.6076	13.9774	15.3855	3.6161	0.9595	6.1667	1.3377	0.0000	0.0000	0.0000	0.0000	2.9761	7.8310
12	-2.8000	-2.6000	10.5290	16.0000	9.6920	0.0339	0.1593	0.6438	8.1222	7.3959	9.4459	10.9850	12.4577	1.9309	0.9407	6.8974	1.2949	0.0000	0.0000	0.0000	0.0000	2.7985	5.5815
13	-2.6000	-2.4000	11.5554	17.0000	10.4509	0.2734	0.3113	0.5198	10.5740	9.4416	10.0679	14.1758	14.6004	5.1872	0.9351	6.1968	1.2433	0.0000	0.0000	0.0000	0.0000	2.9537	7.0217
14	-2.4000	-2.2000	8.9555	7.0000	7.6170	0.2246	0.4883	0.6256	8.6094	11.0816	6.8892	14.0330	11.0265	3.1736	0.9260	6.1531	1.1750	0.0000	0.0000	0.0000	0.0000	4.5298	7.6391
15	-2.2000	-2.0000	8.9823	8.0000	7.9157	0.1313	0.4217	0.5136	18.9259	10.2166	17.1315	21.5074	25.5280	2.3539	0.9135	5.5978	1.0901	0.0000	0.0000	0.0000	0.0000	1.9418	15.8981
16	-2.0000	-1.8000	7.1355	11.0000	6.2291	0.1282	0.3988	0.3794	18.1674	10.9611	11.0403	21.2179	21.2589	7.1259	0.9396	6.3307	1.1488	0.0000	0.0000	0.0000	0.0000	3.0236	7.1392
17	-1.8000	-1.6000	5.9957	10.0000	5.2393	0.0891	0.2772	0.3901	15.2283	8.4760	22.1570	17.4282	26.8856	5.5058	0.9057	6.2258	1.0748	0.0000	0.0000	0.0000	0.0000	7.1187	19.3829
18	-1.6000	-1.4000	5.1685	10.0000	4.4678	0.0658	0.2199	0.4151	11.4129	28.6741	5.1220	30.8620	12.5095	1.9995	0.8899	4.8835	0.9030	0.0000	0.0000	0.0000	0.0000	24.1071	14.5465
19	-1.4000	-1.2000	4.6229	6.0000	3.9533	0.1744	0.1352	0.3600	20.4123	9.3721	19.1450	22.4610	27.9856	5.4750	0.9138	4.7784	1.0254	0.0000	0.0000	0.0000	0.0000	10.6554	14.1561
20	-1.2000	-1.0000	4.0811	5.0000	3.4097	0.0000	0.3494	0.3219	29.7624	8.5054	46.8954	30.9539	55.5426	12.1459	0.8912	5.1402	1.1378	0.0000	0.0000	0.0000	0.0000	10.7357	43.6954
