Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-5.0000	-4.8000	4.9919	7.0000	4.6375	0.0000	0.2038	0.1506	19.1148	10.9121	35.7488	22.0102	40.5383	8.1649	0.9675	7.0196	1.4823	0.0000	0.0000	0.0000	0.0000	18.3164	29.2993
2	-4.8000	-4.6000	3.6559	7.0000	3.4124	0.0000	0.0000	0.2435	13.1290	26.7670	9.1273	29.8135	15.9899	2.1035	0.9802	7.5411	1.3784	0.0000	0.0000	0.0000	0.0000	4.9045	25.5744
3	-4.6000	-4.4000	6.5615	10.0000	6.2420	0.0381	0.0590	0.2225	15.7652	9.8099	15.7013	18.5681	22.2502	4.7258	0.9676	7.0716	1.4894	0.0000	0.0000	0.0000	0.0000	5.2720	12.8275
4	-4.4000	-4.2000	6.4825	9.0000	6.0809	0.0000	0.1953	0.2063	13.1888	35.5390	8.6246	37.9073	15.7585	2.3523	0.9506	6.5805	1.4066	0.0000	0.0000	0.0000	0.0000	7.1375	34.0640
5	-4.2000	-4.0000	8.7489	13.0000	8.4506	0.0000	0.0570	0.2414	15.4876	7.8053	20.8844	17.3433	26.0005	2.7220	0.9673	7.1405	1.4119	0.0000	0.0000	0.0000	0.0000	5.5238	18.6521
6	-4.0000	-3.8000	9.0716	12.0000	8.6006	0.0413	0.1789	0.2508	10.4866	21.0147	11.2591	23.4859	15.3862	4.9752	0.9405	7.0632	1.3894	0.0000	0.0000	0.0000	0.0000	6.9580	17.9837
7	-3.8000	-3.6000	10.6085	20.0000	10.0012	0.0846	0.1031	0.4196	15.5142	6.3716	9.5342	16.7716	18.2096	4.5599	0.9392	5.8906	1.2113	0.0000	0.0000	0.0000	0.0000	3.3051	4.9080
8	-3.6000	-3.4000	9.9493	12.0000	9.1253	0.1277	0.2353	0.4611	14.8361	11.2679	21.6957	18.6300	26.2833	6.0383	0.9445	6.9053	1.3774	0.0000	0.0000	0.0000	0.0000	6.0549	18.7047
9	-3.4000	-3.2000	9.1021	13.0000	8.3600	0.1277	0.1370	0.4774	12.5680	15.8604	7.0997	20.2362	14.4347	2.1344	0.9496	6.4981	1.3128	0.0000	0.0000	0.0000	0.0000	2.3799	14.0491
10	-3.2000	-3.0000	7.0435	20.0000	6.1561	0.0894	0.3291	0.4690	9.1154	9.1075	8.0097	12.8855	12.1345	2.1093	0.9356	6.0836	1.1533	0.0000	0.0000	0.0000	0.0000	5.1122	6.2675
11	-3.0000	-2.8000	8.9027	14.0000	7.7154	0.1731	0.4560	0.5582	15.3367	9.5351	16.3906	18.0592	22.4470	1.3238	0.9251	5.1912	1.2469	0.0000	0.0000	0.0000	0.0000	7.7335	15.4836
12	-2.8000	-2.6000	7.8458	10.0000	7.0606	0.2185	0.0072	0.5595	12.9576	16.9980	19.7335	21.3736	23.6074	3.1315	0.9328	5.2118	1.0300	0.0000	0.0000	0.0000	0.0000	11.4498	15.9697
13	-2.6000	-2.4000	7.3630	8.0000	6.4962	0.0920	0.5335	0.2413	17.6858	15.7539	5.6426	23.6848	18.5641	1.8743	0.9087	5.2965	1.1249	0.0000	0.0000	0.0000	0.0000	6.6433	13.1737
14	-2.4000	-2.2000	5.4922	7.0000	4.5070	0.1464	0.4613	0.3776	10.4724	7.9527	8.8715	13.1497	13.7250	4.1090	0.9107	5.5419	0.9363	0.0000	0.0000	0.0000	0.0000	2.4803	5.2446
15	-2.2000	-2.0000	4.3747	5.0000	3.6176	0.0428	0.3461	0.3682	11.6691	14.9691	9.4845	18.9801	15.0374	3.4720	0.8873	5.4351	0.8006	0.0000	0.0000	0.0000	0.0000	5.3739	13.5247
16	-2.0000	-1.8000	3.7308	3.0000	3.1649	0.1613	0.1042	0.3004	26.9295	7.4377	25.3909	27.9378	37.0121	6.7526	0.8494	4.2330	0.8085	0.0000	0.0000	0.0000	0.0000	3.5813	24.0968
17	-1.8000	-1.6000	3.1729	4.0000	2.4017	0.1543	0.2473	0.3696	14.6117	24.7985	4.9194	28.7831	15.4176	0.8300	0.8632	4.4935	0.7597	0.0000	0.0000	0.0000	0.0000	1.7418	24.3509
18	-1.6000	-1.4000	2.9914	6.0000	2.3822	0.0840	0.1488	0.3763	20.7884	7.1754	35.0083	21.9919	40.7153	5.2080	0.8895	4.1715	0.9133	0.0000	0.0000	0.0000	0.0000	7.9842	33.6732
19	-1.4000	-1.2000	1.7778	2.0000	1.4718	0.0367	0.1168	0.1525	17.3214	25.8489	4.9886	31.1158	18.0255	1.6069	0.8826	4.9538	0.8882	0.0000	0.0000	0.0000	0.0000	6.4825	24.4428
20	-1.2000	-1.0000	1.0462	5.0000	0.6946	0.0390	0.0679	0.2446	19.0526	36.5975	7.1781	41.2598	20.3599	5.2860	0.8563	4.5841	0.7896	0.0000	0.0000	0.0000	0.0000	1.4670	36.0277
21	-1.0000	-0.8000	1.8593	5.0000	1.3677	0.0456	0.1895	0.2565	19.8094	10.1189	38.4547	22.2442	43.2570	1.2886	0.8595	4.5585	0.6294	0.0000	0.0000	0.0000	0.0000	8.8779	37.4771
22	-0.8000	-0.6000	1.1203	1.0000	0.9208	0.0000	0.1150	0.0844	23.0831	45.4952	14.1334	51.0161	27.0662	6.7774	0.8300	4.0502	0.8185	0.0000	0.0000	0.0000	0.0000	19.1096	40.5085
23	-0.6000	-0.4000	0.8296	1.0000	0.5555	0.0411	0.1453	0.0876	23.4570	7.2237	44.7296	24.5441	50.5071	5.4669	0.8442	4.4162	1.0207	0.0000	0.0000	0.0000	0.0000	18.9585	40.2477
24	-0.4000	-0.2000	0.9466	1.0000	0.7998	0.0000	0.0333	0.1135	24.6508	36.6733	7.7919	44.1882	25.8529	2.4399	0.8387	4.9412	0.8290	0.0000	0.0000	0.0000	0.0000	5.5045	35.9460
25	-0.2000	0.0000	0.8838	2.0000	0.7476	0.0000	0.0794	0.0567	25.6513	32.5355	6.8014	41.4312	26.5377	1.7319	0.8401	4.7781	0.6137	0.0000	0.0000	0.0000	0.0000	6.1552	31.5347
26	0.0000	0.2000	0.6920	3.0000	0.5423	0.0108	0.0068	0.1320	26.3797	6.7967	24.1877	27.2412	35.7901	4.6263	0.8561	4.1248	0.6501	0.0000	0.0000	0.0000	0.0000	2.9639	23.3722
27	0.2000	0.4000	0.9898	1.0000	0.6882	0.0567	0.1142	0.1308	24.3787	18.5065	9.3950	30.6074	26.1264	3.6188	0.8324	4.7652	0.5814	0.0000	0.0000	0.0000	0.0000	9.2643	15.0717
28	0.4000	0.6000	1.3620	5.0000	1.0938	0.0602	0.1583	0.0496	22.1350	6.9825	43.1113	23.2101	48.4618	3.2056	0.8016	6.5651	0.9742	0.0000	0.0000	0.0000	0.0000	13.6725	40.2327
