Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
6	50.0000	60.0000	1535.1506	1747.0000	1414.5597	60.6946	4.1643	55.7320	1.0065	7.9357	8.1613	7.9993	8.2232	0.2957	0.8553	4.9496	0.7752	0.0000	0.0000	0.0000	0.0000	0.2518	6.4652
7	60.0000	70.0000	1883.9212	2025.0000	1747.4858	62.3545	2.9903	71.0906	0.8968	7.6480	7.5521	7.7004	7.6052	0.5505	0.8515	4.8463	0.7639	0.0000	0.0000	0.0000	0.0000	0.2261	5.7783
8	70.0000	80.0000	1624.9326	1757.0000	1508.9945	47.9840	3.2164	64.7377	0.9055	7.2784	7.3886	7.3345	7.4438	0.8997	0.8500	4.3806	0.7627	0.0000	0.0000	0.0000	0.0000	0.1913	5.8399
9	80.0000	90.0000	1439.6894	1562.0000	1345.0602	34.0878	3.0254	57.5160	1.0195	7.0474	6.7354	7.1207	6.8121	0.0414	0.8493	3.9358	0.7485	0.0000	0.0000	0.0000	0.0000	0.0517	5.7351
10	90.0000	100.0000	1251.0339	1397.0000	1169.9957	27.5915	2.2019	51.2448	1.0641	6.6301	6.4972	6.7150	6.5838	0.0953	0.8498	3.9433	0.7466	0.0000	0.0000	0.0000	0.0000	0.0249	5.2083
11	100.0000	110.0000	1073.1921	1183.0000	1004.8841	20.7016	0.8816	46.7249	1.1396	7.5159	7.3054	7.6018	7.3937	0.3142	0.8472	5.4084	0.7408	0.0000	0.0000	0.0000	0.0000	0.1363	5.0846
12	110.0000	120.0000	946.0519	1014.0000	888.1320	15.8422	0.9996	41.0781	1.1992	7.3283	7.5188	7.4257	7.6139	0.0278	0.8468	5.4018	0.7372	0.0000	0.0000	0.0000	0.0000	0.0692	5.3006
13	120.0000	130.0000	771.5511	837.0000	725.4826	10.3922	1.1112	34.5651	1.2702	7.3503	7.0486	7.4592	7.1622	0.2762	0.8435	5.3919	0.7754	0.0000	0.0000	0.0000	0.0000	0.1984	4.8544
14	130.0000	140.0000	616.0209	688.0000	580.5784	6.6208	0.5134	28.3084	1.4110	7.3102	7.3130	7.4452	7.4479	0.4076	0.8435	5.2870	0.8168	0.0000	0.0000	0.0000	0.0000	0.3086	5.0989
15	140.0000	150.0000	479.0445	528.0000	451.3513	3.5033	0.4089	23.7809	1.5845	7.2503	6.9636	7.4215	7.1416	0.7071	0.8381	5.1090	0.7937	0.0000	0.0000	0.0000	0.0000	0.1373	4.9813
