Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	254.6271	287.0000	239.8023	4.7904	0.0934	9.9410	2.2784	7.5951	6.8542	7.9295	7.2229	0.4997	0.8507	4.8880	0.7677	0.0000	0.0000	0.0000	0.0000	0.3011	5.6691
2	-3.0144	-2.8888	260.3785	298.0000	243.7812	6.0666	0.5189	10.0117	2.5190	6.6597	7.3111	7.1201	7.7329	0.9790	0.8472	4.6599	0.7756	0.0000	0.0000	0.0000	0.0000	0.4045	5.5255
3	-2.8888	-2.7632	242.7926	285.0000	227.2011	6.1239	0.1606	9.3070	2.3772	7.6957	7.0887	8.0545	7.4766	0.3680	0.8503	4.7919	0.7932	0.0000	0.0000	0.0000	0.0000	0.4280	5.8964
4	-2.7632	-2.6376	265.8411	260.0000	250.5070	5.1708	0.2926	9.8706	2.3613	6.2134	6.9870	6.6469	7.3752	0.7598	0.8523	4.7816	0.7801	0.0000	0.0000	0.0000	0.0000	0.4496	5.0096
5	-2.6376	-2.5120	248.4318	272.0000	232.9376	5.1502	0.1704	10.1737	2.3524	7.9537	6.5604	8.2942	6.9694	0.5958	0.8472	4.7471	0.7678	0.0000	0.0000	0.0000	0.0000	0.5809	6.2269
6	-2.5120	-2.3864	257.4647	263.0000	241.5989	6.1286	0.4788	9.2584	2.4599	7.9035	6.5546	8.2775	7.0009	0.6860	0.8454	4.7838	0.7496	0.0000	0.0000	0.0000	0.0000	0.5400	6.1577
7	-2.3864	-2.2608	250.4534	258.0000	234.5639	6.0327	0.4058	9.4510	2.3189	6.9019	7.6180	7.2811	7.9631	1.3778	0.8453	4.8298	0.7742	0.0000	0.0000	0.0000	0.0000	0.6370	5.8192
8	-2.2608	-2.1352	258.2772	261.0000	242.9378	5.0354	0.3031	10.0009	2.2930	7.3574	6.8371	7.7065	7.2113	0.9761	0.8446	4.7181	0.7550	0.0000	0.0000	0.0000	0.0000	0.3098	5.4636
9	-2.1352	-2.0096	236.8457	269.0000	220.4291	6.1828	0.2162	10.0177	2.1969	6.5520	6.8602	6.9105	7.2034	0.2439	0.8447	4.7997	0.7739	0.0000	0.0000	0.0000	0.0000	0.8719	4.8102
10	-2.0096	-1.8840	246.4370	258.0000	229.6852	6.3247	0.5031	9.9240	2.2249	6.2754	7.5409	6.6581	7.8623	0.3088	0.8423	4.7245	0.7447	0.0000	0.0000	0.0000	0.0000	0.6391	5.8342
