Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
6	50.0000	60.0000	1499.2485	1690.0000	1385.6678	59.8833	2.3512	51.3462	1.0198	7.9053	8.1087	7.9709	8.1726	0.3123	0.8536	4.9292	0.7674	0.0000	0.0000	0.0000	0.0000	0.2475	6.4128
7	60.0000	70.0000	1844.0323	1967.0000	1716.0081	61.3965	1.5253	65.1023	0.9076	7.6647	7.5465	7.7182	7.6009	0.5238	0.8503	4.8319	0.7563	0.0000	0.0000	0.0000	0.0000	0.2368	5.8140
8	70.0000	80.0000	1586.4420	1708.0000	1477.7070	47.2710	1.7892	59.6748	0.9150	7.2900	7.3454	7.3472	7.4022	0.8479	0.8482	4.3567	0.7508	0.0000	0.0000	0.0000	0.0000	0.2054	5.8118
9	80.0000	90.0000	1405.0934	1509.0000	1316.2150	33.7703	1.8418	53.2663	1.0288	7.0502	6.7437	7.1249	6.8217	0.0561	0.8473	3.8930	0.7392	0.0000	0.0000	0.0000	0.0000	0.0384	5.7690
10	90.0000	100.0000	1222.4561	1357.0000	1146.5610	27.3329	1.7190	46.8432	1.0814	6.5584	6.4856	6.6469	6.5751	0.1697	0.8483	3.9115	0.7391	0.0000	0.0000	0.0000	0.0000	0.0188	5.1412
11	100.0000	110.0000	1051.4142	1152.0000	987.7766	20.4275	0.4479	42.7622	1.1572	7.4895	7.2835	7.5784	7.3748	0.2937	0.8458	5.3705	0.7345	0.0000	0.0000	0.0000	0.0000	0.1336	5.0884
12	110.0000	120.0000	923.2598	1000.0000	869.5146	15.8054	0.6282	37.3115	1.2113	7.3280	7.4670	7.4274	7.5646	0.0437	0.8446	5.3487	0.7257	0.0000	0.0000	0.0000	0.0000	0.0620	5.2778
13	120.0000	130.0000	753.1977	817.0000	710.7290	10.1649	0.7235	31.5803	1.2909	7.2674	7.0225	7.3811	7.1401	0.2093	0.8417	5.3344	0.7649	0.0000	0.0000	0.0000	0.0000	0.2077	4.7981
14	130.0000	140.0000	603.4096	669.0000	570.5984	6.5862	0.3997	25.8253	1.4333	7.2976	7.2805	7.4370	7.4202	0.3588	0.8419	5.2504	0.8079	0.0000	0.0000	0.0000	0.0000	0.3134	5.0891
15	140.0000	150.0000	467.3947	510.0000	442.0621	3.3471	0.3111	21.6744	1.5986	7.2861	6.9403	7.4594	7.1221	0.6939	0.8371	5.0730	0.7862	0.0000	0.0000	0.0000	0.0000	0.1406	5.0685
