Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
2	-2.4000	-2.3000	410.6760	627.0000	379.4494	17.0341	1.0249	13.1676	2.3959	8.9493	10.7072	9.2645	10.9720	0.7974	0.0000	0.0000	0.0000	0.2033	0.0000	0.5757	0.2570	0.6956	10.6343
3	-2.3000	-2.2000	393.6516	601.0000	363.4079	16.5281	1.2070	12.5086	2.0967	11.7433	8.2180	11.9291	8.4813	0.3252	0.0000	0.0000	0.0000	0.2059	0.0000	0.6081	0.2610	0.6743	11.6990
4	-2.2000	-2.1000	418.9360	545.0000	386.8262	16.8444	1.2623	14.0032	2.1533	6.7724	7.0936	7.1065	7.4132	0.2565	0.0000	0.0000	0.0000	0.2023	0.0000	0.6184	0.2623	0.5384	7.0385
5	-2.1000	-2.0000	421.1950	583.0000	389.5989	16.9231	0.9470	13.7259	2.1344	8.2455	7.4110	8.5173	7.7122	0.3387	0.0000	0.0000	0.0000	0.2242	0.0000	0.6340	0.2733	0.2726	8.2085
6	-2.0000	-1.9000	450.0039	589.0000	416.1069	18.6783	1.2019	14.0169	2.0463	5.5580	5.6118	5.9228	5.9732	0.2202	0.0000	0.0000	0.0000	0.2420	0.0000	0.6435	0.2826	0.6087	5.5506
7	-1.9000	-1.8000	466.1784	641.0000	429.0194	19.5590	1.3631	16.2370	1.8823	5.5103	4.9308	5.8229	5.2778	0.7961	0.0000	0.0000	0.0000	0.2356	0.0000	0.6550	0.2797	0.4787	5.3794
8	-1.8000	-1.7000	502.6089	571.0000	465.5153	18.4774	1.2738	17.3424	1.8249	3.5434	3.8761	3.9857	4.2842	0.5352	0.0000	0.0000	0.0000	0.2506	0.0000	0.6631	0.2898	0.2831	3.7539
9	-1.7000	-1.6000	494.6027	592.0000	459.2571	17.3735	1.2209	16.7513	1.8644	4.4568	4.9600	4.8311	5.2989	0.5655	0.0000	0.0000	0.0000	0.2474	0.0000	0.6546	0.2883	0.5423	4.8560
10	-1.6000	-1.5000	500.8877	612.0000	460.8521	21.0931	1.7153	17.2272	1.6876	4.2704	5.1067	4.5918	5.3783	0.6877	0.0000	0.0000	0.0000	0.2301	0.0000	0.6692	0.2801	0.3041	5.0043
11	-1.5000	-1.4000	517.2353	572.0000	477.5141	20.6074	1.5050	17.6088	1.7431	4.9979	5.4026	5.2931	5.6769	0.8982	0.0000	0.0000	0.0000	0.2513	0.0000	0.6748	0.2916	0.5505	5.2708
12	-1.4000	-1.3000	518.0833	556.0000	478.0739	20.5386	1.5372	17.9335	1.7314	6.2130	5.6730	6.4498	5.9313	0.2242	0.0000	0.0000	0.0000	0.2343	0.0000	0.6787	0.2816	0.1583	6.1630
13	-1.3000	-1.2000	505.9729	614.0000	467.0076	19.8811	1.2110	17.8733	1.7281	7.8639	6.3860	8.0515	6.6157	0.6525	0.0000	0.0000	0.0000	0.2610	0.0000	0.6989	0.2994	0.4614	7.8139
