Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
3	40.0000	60.0000	3200.2558	4236.0000	3004.8360	83.8978	4.4687	107.0533	0.8556	5.3637	5.2745	5.4315	5.3435	0.1183	0.0000	0.0000	0.0000	0.2781	0.0000	0.7540	0.3168	0.5053	5.2879
4	60.0000	80.0000	3189.5491	4101.0000	2948.8269	114.8976	9.8723	115.9523	0.8372	4.5938	5.6621	4.6695	5.7237	0.1305	0.0000	0.0000	0.0000	0.2585	0.0000	0.7210	0.3002	0.2896	5.6024
5	80.0000	100.0000	2948.5684	3746.0000	2706.0474	126.1552	8.6478	107.7181	0.8253	6.0796	5.4249	6.1353	5.4873	0.4209	0.0000	0.0000	0.0000	0.2440	0.0000	0.7014	0.2889	0.3582	6.0122
6	100.0000	120.0000	2597.0834	3256.0000	2374.8960	119.9861	9.5367	92.6646	0.8416	6.1010	6.2152	6.1588	6.2719	0.4899	0.0000	0.0000	0.0000	0.2437	0.0000	0.6877	0.2845	0.3033	6.1456
7	120.0000	140.0000	2277.1606	2668.0000	2081.8733	108.7008	8.7311	77.8554	0.8090	4.9839	6.3817	5.0491	6.4328	0.4538	0.0000	0.0000	0.0000	0.2320	0.0000	0.6752	0.2767	0.1585	6.3190
8	140.0000	160.0000	1927.7303	2154.0000	1758.8741	96.6393	7.0855	65.1313	0.7891	7.1998	6.3768	7.2429	6.4255	0.2940	0.0000	0.0000	0.0000	0.2323	0.0000	0.6818	0.2791	0.4169	7.1513
9	160.0000	180.0000	1612.6993	1787.0000	1469.4994	83.7036	6.1294	53.3669	0.7757	6.7019	6.6586	6.7467	6.7036	0.0703	0.0000	0.0000	0.0000	0.2312	0.0000	0.6737	0.2763	0.3779	6.6579
10	180.0000	200.0000	1302.5175	1347.0000	1188.5346	69.6555	5.0356	39.2919	0.7536	6.5325	5.7785	6.5759	5.8275	0.1194	0.0000	0.0000	0.0000	0.2286	0.0000	0.6656	0.2757	0.2918	6.4810
11	200.0000	220.0000	1074.3438	1159.0000	984.4777	55.6527	2.8426	31.3708	0.8147	6.1372	7.9915	6.1911	8.0329	0.4419	0.0000	0.0000	0.0000	0.2299	0.0000	0.6561	0.2755	0.2894	7.9391
12	220.0000	240.0000	858.1982	908.0000	785.0597	47.2565	3.1142	22.7678	0.8658	7.7892	5.5162	7.8371	5.5838	0.0722	0.0000	0.0000	0.0000	0.2196	0.0000	0.6351	0.2680	0.3816	7.7471
