Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	50.0000	34.0943	41.0000	33.1073	0.5169	0.0000	0.4702	9.1541	9.0852	0.9933	12.8972	9.2078	1.6361	0.0000	0.0000	0.0000	0.2747	0.0000	0.6012	0.3219	1.0822	8.8404
2	50.0000	100.0000	753.1128	781.0000	699.1337	7.7360	4.0172	42.2258	1.8532	4.6301	5.8863	4.9871	6.1711	0.9084	0.0000	0.0000	0.0000	0.2856	0.0000	0.7859	0.3128	0.5480	5.7904
3	100.0000	150.0000	1090.4044	1278.0000	1044.1905	15.1807	7.8468	23.1864	1.3159	6.3737	6.2832	6.5081	6.4195	0.6854	0.0000	0.0000	0.0000	0.3212	0.0000	0.9029	0.3522	0.1608	6.2644
4	150.0000	200.0000	1036.7312	1259.0000	996.9026	18.7290	5.4154	15.6843	1.3709	5.8830	6.9091	6.0406	7.0438	0.3125	0.0000	0.0000	0.0000	0.3300	0.0000	0.8903	0.3599	0.6920	6.7980
5	200.0000	250.0000	1146.7306	1343.0000	1102.8754	25.0236	2.4736	16.3579	1.3241	5.7496	5.2330	5.9001	5.3979	0.6449	0.0000	0.0000	0.0000	0.3042	0.0000	0.8296	0.3397	0.3767	5.6218
6	250.0000	300.0000	1338.9923	1468.0000	1287.2976	29.9601	2.5846	19.1501	1.2338	4.6862	5.4999	4.8459	5.6366	0.0751	0.0000	0.0000	0.0000	0.2973	0.0000	0.8024	0.3269	0.2079	5.4196
7	300.0000	350.0000	1433.2760	1600.0000	1369.6361	39.1638	2.9692	21.5069	1.1183	6.1651	6.2239	6.2657	6.3236	0.0878	0.0000	0.0000	0.0000	0.2703	0.0000	0.7778	0.3119	0.3537	6.1604
8	350.0000	400.0000	1567.1953	1708.0000	1493.3303	48.2176	3.6900	21.9575	1.0413	4.9765	4.2111	5.0843	4.3379	0.4908	0.0000	0.0000	0.0000	0.2598	0.0000	0.7423	0.3008	0.2640	4.8738
9	400.0000	450.0000	1639.7515	1802.0000	1548.8833	61.0638	4.2356	25.5688	1.0117	4.6836	5.4601	4.7916	5.5530	0.4367	0.0000	0.0000	0.0000	0.2490	0.0000	0.7109	0.2926	0.3311	5.3725
10	450.0000	500.0000	1670.5263	1912.0000	1570.6897	73.0407	4.2069	22.5891	0.9758	6.1919	4.8312	6.2683	4.9288	0.2452	0.0000	0.0000	0.0000	0.2367	0.0000	0.6714	0.2823	0.1947	6.1364
11	500.0000	550.0000	1700.4533	1835.0000	1591.1965	82.7148	3.4370	23.1051	0.9673	5.0199	4.6693	5.1122	4.7685	0.2368	0.0000	0.0000	0.0000	0.2147	0.0000	0.6365	0.2658	0.0917	4.9657
12	550.0000	600.0000	1678.2435	1819.0000	1557.5980	93.8896	5.4530	21.3029	0.9607	6.5179	7.1062	6.5883	7.1709	0.3826	0.0000	0.0000	0.0000	0.2017	0.0000	0.5822	0.2507	0.5403	7.0442
13	600.0000	650.0000	1529.7133	1697.0000	1403.3491	101.1724	5.3878	19.8040	0.9381	6.9274	6.0418	6.9906	6.1142	0.3069	0.0000	0.0000	0.0000	0.1871	0.0000	0.5531	0.2428	0.3508	6.8860
14	650.0000	700.0000	1321.3252	1447.0000	1208.6275	93.1192	3.8221	15.7564	1.0012	5.2594	5.8176	5.3538	5.9031	0.4226	0.0000	0.0000	0.0000	0.1860	0.0000	0.5460	0.2396	0.6656	5.7332
15	700.0000	750.0000	1074.5982	1242.0000	988.4030	70.4872	2.7477	12.9605	1.0667	6.3984	7.6313	6.4867	7.7055	0.2168	0.0000	0.0000	0.0000	0.1970	0.0000	0.5700	0.2487	0.1691	7.6004
16	750.0000	800.0000	868.7969	963.0000	800.6921	54.1646	2.7774	11.1627	1.1291	6.4139	5.2873	6.5126	5.4065	0.5115	0.0000	0.0000	0.0000	0.1974	0.0000	0.5670	0.2487	0.6752	6.3282
17	800.0000	850.0000	709.8040	820.0000	651.4497	47.0164	2.5945	8.7433	1.2352	7.7132	7.5153	7.8115	7.6161	0.6700	0.0000	0.0000	0.0000	0.2020	0.0000	0.5856	0.2536	0.4948	7.6539
18	850.0000	900.0000	580.3332	639.0000	534.1733	36.9268	2.1526	7.0804	1.2466	7.0675	6.6547	7.1766	6.7705	0.3105	0.0000	0.0000	0.0000	0.2000	0.0000	0.5837	0.2520	0.5993	7.0302
19	900.0000	950.0000	472.7888	511.0000	435.9534	29.5626	1.8083	5.4645	1.3447	6.5911	8.2689	6.7268	8.3776	0.1990	0.0000	0.0000	0.0000	0.2036	0.0000	0.5893	0.2549	0.5873	8.2201
20	950.0000	1000.0000	2687.2057	2749.0000	2505.0231	146.5977	8.2856	27.2994	0.4577	7.4761	7.0888	7.4901	7.1036	0.0547	0.0000	0.0000	0.0000	0.2239	0.0000	0.6405	0.2718	0.2803	7.4347
