Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	483.0145	608.0000	456.3899	23.3124	1.1132	2.1990	1.7273	7.4874	6.0704	7.6840	6.3114	0.3256	0.0000	0.0000	0.0000	0.2447	0.0000	0.6747	0.2859	0.5096	7.4228
2	-3.0144	-2.8888	482.4720	563.0000	457.1210	21.4117	1.6374	2.3019	1.7353	6.3053	5.8060	6.5397	6.0598	0.2675	0.0000	0.0000	0.0000	0.2346	0.0000	0.6850	0.2811	0.2132	6.2479
3	-2.8888	-2.7632	475.3458	576.0000	450.5739	20.5589	2.0411	2.1719	1.6775	5.7303	4.8354	5.9708	5.1181	0.3450	0.0000	0.0000	0.0000	0.2472	0.0000	0.6937	0.2916	0.5369	5.6458
4	-2.7632	-2.6376	492.8693	573.0000	468.3644	20.6040	1.4786	2.4222	1.8198	4.6242	5.7134	4.9694	5.9962	1.4813	0.0000	0.0000	0.0000	0.2241	0.0000	0.6942	0.2755	0.1523	5.6481
5	-2.6376	-2.5120	487.9406	608.0000	463.3872	20.8009	1.7787	1.9738	1.8154	5.6420	7.0587	5.9269	7.2884	0.7038	0.0000	0.0000	0.0000	0.2356	0.0000	0.6792	0.2786	0.7043	6.9741
6	-2.5120	-2.3864	485.2966	597.0000	460.6905	20.9688	1.4231	2.2142	1.7388	5.3953	5.0167	5.6685	5.3095	0.6004	0.0000	0.0000	0.0000	0.2354	0.0000	0.6779	0.2830	0.1932	5.3214
7	-2.3864	-2.2608	489.5744	597.0000	463.9242	22.6011	1.3075	1.7416	1.8120	6.3127	6.5798	6.5676	6.8247	0.5867	0.0000	0.0000	0.0000	0.2412	0.0000	0.6780	0.2841	1.1930	6.5018
8	-2.2608	-2.1352	476.5495	587.0000	452.5896	20.5002	1.1475	2.3123	1.8115	5.1372	6.0340	5.4472	6.3000	0.3061	0.0000	0.0000	0.0000	0.2418	0.0000	0.6769	0.2852	0.5936	5.9550
9	-2.1352	-2.0096	482.5266	555.0000	458.2781	20.7792	1.2516	2.2178	1.8684	6.5706	7.0298	6.8311	7.2739	0.1422	0.0000	0.0000	0.0000	0.2357	0.0000	0.6747	0.2781	0.3785	6.9767
10	-2.0096	-1.8840	499.0042	574.0000	473.1931	21.9403	1.7397	2.1312	1.8416	5.8859	4.9995	6.1673	5.3279	0.3135	0.0000	0.0000	0.0000	0.2517	0.0000	0.6771	0.2859	0.7645	5.8048
11	-1.8840	-1.7584	481.7529	579.0000	458.1831	19.9519	1.5851	2.0328	1.8387	5.8889	6.4193	6.1693	6.6774	0.5010	0.0000	0.0000	0.0000	0.2512	0.0000	0.6777	0.2897	0.0289	6.3524
12	-1.7584	-1.6328	465.8524	548.0000	442.7585	19.7772	1.2737	2.0430	1.7455	6.3380	5.9926	6.5740	6.2416	0.4355	0.0000	0.0000	0.0000	0.2436	0.0000	0.6805	0.2874	0.0940	6.2792
13	-1.6328	-1.5072	465.2029	545.0000	440.2914	21.2892	1.4772	2.1452	1.7364	6.0298	6.0452	6.2748	6.2897	0.2568	0.0000	0.0000	0.0000	0.2432	0.0000	0.7013	0.2909	0.4205	5.9725
14	-1.5072	-1.3816	479.0509	571.0000	455.1441	20.3867	1.4240	2.0961	1.7968	5.4552	5.5225	5.7435	5.8074	0.6754	0.0000	0.0000	0.0000	0.2426	0.0000	0.6882	0.2856	0.1910	5.4652
15	-1.3816	-1.2560	484.7122	593.0000	460.1693	20.1644	1.7616	2.6170	1.7872	5.9741	5.1851	6.2357	5.4845	0.4176	0.0000	0.0000	0.0000	0.2373	0.0000	0.6770	0.2820	0.2726	5.9111
16	-1.2560	-1.1304	472.7433	594.0000	448.2653	20.6664	1.6671	2.1445	1.7895	5.0305	6.0247	5.3393	6.2849	0.3663	0.0000	0.0000	0.0000	0.2394	0.0000	0.6701	0.2833	0.3528	5.9591
17	-1.1304	-1.0048	485.5121	541.0000	460.2695	20.9686	1.8515	2.4225	1.7805	6.3868	5.3749	6.6303	5.6621	0.3321	0.0000	0.0000	0.0000	0.2264	0.0000	0.6695	0.2729	0.1712	6.3330
18	-1.0048	-0.8792	485.1230	565.0000	459.0056	22.5035	1.2010	2.4128	1.8527	5.4885	5.6583	5.7927	5.9539	0.2834	0.0000	0.0000	0.0000	0.2382	0.0000	0.6668	0.2783	0.3704	5.5878
19	-0.8792	-0.7536	469.6938	593.0000	443.6194	22.2151	1.7264	2.1329	1.7032	8.0421	7.1578	8.2205	7.3577	0.1875	0.0000	0.0000	0.0000	0.2319	0.0000	0.6781	0.2809	0.3292	7.9984
20	-0.7536	-0.6280	488.2859	595.0000	463.4041	21.0901	1.3471	2.4446	1.7239	6.0125	6.4483	6.2547	6.6747	0.6089	0.0000	0.0000	0.0000	0.2416	0.0000	0.6857	0.2863	0.2080	6.3713
