Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-5.0000	-4.8000	3.4730	2.0000	3.3175	0.1386	0.0000	0.0169	23.2789	10.1541	32.9985	25.3971	40.3833	10.1412	0.0000	0.0000	0.0000	0.1240	0.0000	0.4004	0.1782	0.5102	31.7424
2	-4.8000	-4.6000	4.5601	3.0000	4.3185	0.1224	0.0000	0.1192	10.6654	16.7404	14.9920	19.8492	18.3987	3.3167	0.0000	0.0000	0.0000	0.1667	0.0000	0.4616	0.2274	15.4266	8.9950
3	-4.6000	-4.4000	6.1917	5.0000	5.5266	0.4805	0.0000	0.1845	10.3394	10.7476	16.5990	14.9136	19.5559	1.2984	0.0000	0.0000	0.0000	0.1440	0.0000	0.4198	0.2052	9.9544	13.2104
4	-4.4000	-4.2000	8.3693	9.0000	7.8595	0.2756	0.0000	0.2342	8.2228	29.5875	2.6777	30.7089	8.6478	0.6273	0.0000	0.0000	0.0000	0.1205	0.0000	0.3638	0.1851	11.7175	27.1645
5	-4.2000	-4.0000	13.2533	12.0000	12.7280	0.3258	0.0000	0.1994	10.2899	6.6045	10.5763	12.2271	14.7561	0.6244	0.0000	0.0000	0.0000	0.1433	0.0000	0.4296	0.2057	9.2826	5.7553
6	-4.0000	-3.8000	21.0231	20.0000	19.5359	1.0497	0.0000	0.4374	5.1355	3.6482	8.9411	6.2994	10.3109	0.5292	0.0000	0.0000	0.0000	0.1305	0.0000	0.3788	0.1980	3.2394	8.3216
7	-3.8000	-3.6000	30.3069	38.0000	28.9186	0.9028	0.0396	0.4458	5.0709	5.2080	4.0216	7.2689	6.4720	0.4652	0.0000	0.0000	0.0000	0.1475	0.0000	0.3982	0.2087	1.8609	4.8187
8	-3.6000	-3.4000	51.1856	56.0000	47.9551	2.1192	0.1506	0.9608	3.9721	4.8128	0.9551	6.2402	4.0853	0.3333	0.0000	0.0000	0.0000	0.1652	0.0000	0.3990	0.2186	2.7074	3.9470
9	-3.4000	-3.2000	78.7862	75.0000	73.0549	4.2136	0.1200	1.3977	3.0237	6.1409	6.7607	6.8450	7.4061	1.4444	0.0000	0.0000	0.0000	0.1336	0.0000	0.4001	0.2003	1.2690	6.4648
10	-3.2000	-3.0000	116.6941	126.0000	107.9625	6.1857	0.2632	2.2827	2.4727	5.9990	4.7801	6.4886	5.3818	0.6588	0.0000	0.0000	0.0000	0.1605	0.0000	0.4138	0.2203	0.5655	5.9151
11	-3.0000	-2.8000	180.1285	204.0000	167.7818	8.9194	0.2237	3.2036	2.3103	6.1560	4.8283	6.5753	5.3525	0.2428	0.0000	0.0000	0.0000	0.1555	0.0000	0.4390	0.2162	0.6877	6.0959
12	-2.8000	-2.6000	278.4637	333.0000	257.9468	15.3818	0.5866	4.5485	2.2359	5.4254	5.6917	5.8681	6.1151	1.5037	0.0000	0.0000	0.0000	0.1554	0.0000	0.4454	0.2156	0.4111	5.5697
13	-2.6000	-2.4000	411.8658	515.0000	379.6046	23.0240	0.7337	8.5035	1.7228	6.1921	5.3520	6.4273	5.6225	1.1254	0.0000	0.0000	0.0000	0.1725	0.0000	0.4784	0.2288	0.3033	6.0614
