Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	496.0570	608.0000	456.3881	23.1449	0.6342	15.8898	1.6835	7.4692	6.1380	7.6565	6.3647	0.3345	0.0000	0.0000	0.0000	0.2453	0.0000	0.6773	0.2865	0.4515	7.4075
2	-3.0144	-2.8888	494.9909	563.0000	457.1180	20.6830	1.0162	16.1737	1.6887	6.3399	5.9142	6.5610	6.1506	0.2491	0.0000	0.0000	0.0000	0.2363	0.0000	0.6880	0.2823	0.2308	6.2825
3	-2.8888	-2.7632	487.3767	575.0000	450.5311	20.4506	1.0310	15.3640	1.6374	5.7547	5.0073	5.9831	5.2682	0.2975	0.0000	0.0000	0.0000	0.2487	0.0000	0.6973	0.2927	0.5391	5.6709
4	-2.7632	-2.6376	506.0461	573.0000	468.3573	20.5242	1.0637	16.1009	1.7741	4.6577	5.7401	4.9842	6.0081	1.4441	0.0000	0.0000	0.0000	0.2257	0.0000	0.6970	0.2767	0.1596	5.6750
5	-2.6376	-2.5120	501.3700	608.0000	463.3869	20.6524	1.0261	16.3046	1.7683	5.6832	7.1845	5.9520	7.3989	0.6986	0.0000	0.0000	0.0000	0.2365	0.0000	0.6819	0.2795	0.6734	7.1041
6	-2.5120	-2.3864	498.2671	597.0000	460.6727	20.6246	0.9609	16.0091	1.6951	5.3516	5.1120	5.6137	5.3858	0.5630	0.0000	0.0000	0.0000	0.2371	0.0000	0.6817	0.2842	0.2562	5.2776
7	-2.3864	-2.2608	502.6588	596.0000	463.9138	22.3541	0.8353	15.5557	1.7664	6.3118	6.5929	6.5544	6.8255	0.5852	0.0000	0.0000	0.0000	0.2417	0.0000	0.6804	0.2845	1.1370	6.5147
8	-2.2608	-2.1352	489.6525	587.0000	452.5466	20.3770	0.7637	15.9651	1.7647	5.1754	6.0603	5.4680	6.3120	0.2883	0.0000	0.0000	0.0000	0.2432	0.0000	0.6811	0.2862	0.5902	5.9815
9	-2.1352	-2.0096	495.0980	554.0000	458.2776	20.6813	0.9501	15.1891	1.8225	6.5793	7.1227	6.8271	7.3522	0.1276	0.0000	0.0000	0.0000	0.2365	0.0000	0.6766	0.2788	0.3962	7.0694
10	-2.0096	-1.8840	512.6439	573.0000	473.1920	21.7844	1.4183	16.2493	1.7943	5.8433	5.1142	6.1126	5.4198	0.3223	0.0000	0.0000	0.0000	0.2520	0.0000	0.6801	0.2864	0.7790	5.7638
11	-1.8840	-1.7584	493.9712	578.0000	458.1824	19.8252	0.7219	15.2417	1.7946	5.9361	6.4761	6.2014	6.7201	0.4702	0.0000	0.0000	0.0000	0.2522	0.0000	0.6804	0.2906	0.0273	6.4117
12	-1.7584	-1.6328	478.2374	547.0000	442.6576	19.6431	0.7895	15.1472	1.7020	6.3794	6.0888	6.6025	6.3222	0.4301	0.0000	0.0000	0.0000	0.2447	0.0000	0.6831	0.2882	0.0892	6.3213
13	-1.6328	-1.5072	478.3120	545.0000	440.2313	21.2162	0.9019	15.9626	1.6905	6.0128	6.1174	6.2459	6.3466	0.2569	0.0000	0.0000	0.0000	0.2436	0.0000	0.7028	0.2910	0.4097	6.0460
14	-1.5072	-1.3816	492.3722	568.0000	455.1372	20.2919	0.6700	16.2732	1.7497	5.4348	5.6306	5.7095	5.8962	0.5781	0.0000	0.0000	0.0000	0.2445	0.0000	0.6921	0.2874	0.1656	5.5750
