Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
5	200.0000	250.0000	0.0062	0.0000	0.0014	0.0000	0.0000	0.0047	86.2649	14.5104	35.5012	87.4767	93.2843	17.5869	0.0000	0.0000	0.0000	0.2455	0.0000	0.3585	0.3122	1.1256	30.8342
6	250.0000	300.0000	3.2582	7.0000	3.1114	0.0474	0.0000	0.0995	25.8806	14.3860	36.5792	29.6101	44.8090	8.1006	0.0000	0.0000	0.0000	0.5016	0.0000	1.1016	0.5196	1.4899	35.8859
7	300.0000	350.0000	54.6289	91.0000	50.1220	1.1133	0.0713	3.3224	4.9049	1.2110	3.5493	5.0522	6.0544	0.4802	0.0000	0.0000	0.0000	0.3271	0.0000	0.8907	0.3499	1.4818	3.0634
8	350.0000	400.0000	224.5907	287.0000	213.2804	4.0353	0.7809	6.4941	2.6891	5.4937	4.8119	6.1165	5.5123	1.3205	0.0000	0.0000	0.0000	0.3304	0.0000	0.8815	0.3535	0.5775	5.2430
9	400.0000	450.0000	476.2741	640.0000	448.6989	12.0736	1.9269	13.5747	1.7990	3.0777	4.6186	3.5649	4.9567	1.0987	0.0000	0.0000	0.0000	0.3194	0.0000	0.8523	0.3486	0.3344	4.5087
10	450.0000	500.0000	800.9496	1105.0000	757.1217	19.3960	3.6077	20.8242	1.3592	4.8454	5.2145	5.0324	5.3887	0.9434	0.0000	0.0000	0.0000	0.3040	0.0000	0.8182	0.3357	0.6841	4.9963
11	500.0000	550.0000	1197.3689	1662.0000	1129.6971	35.9223	4.6755	27.0740	1.1225	4.8065	5.4278	4.9358	5.5426	0.0542	0.0000	0.0000	0.0000	0.2852	0.0000	0.7833	0.3181	0.6240	5.3543
12	550.0000	600.0000	1561.9297	2144.0000	1465.3522	54.4147	6.5707	35.5921	0.9508	5.4432	5.9285	5.5256	6.0042	0.3760	0.0000	0.0000	0.0000	0.2524	0.0000	0.7459	0.2964	0.3019	5.8588
13	600.0000	650.0000	1867.8095	2633.0000	1740.2363	81.1842	6.5313	39.8576	0.8625	6.3144	5.4144	6.3730	5.4826	0.3508	0.0000	0.0000	0.0000	0.2358	0.0000	0.6938	0.2825	0.3640	6.2449
14	650.0000	700.0000	1979.9272	2705.0000	1826.7638	109.4467	6.4374	37.2793	0.7962	6.2409	4.7955	6.2915	4.8612	0.0272	0.0000	0.0000	0.0000	0.2190	0.0000	0.6372	0.2675	0.2602	6.1986
15	700.0000	750.0000	1939.2286	2590.0000	1761.0802	134.8729	7.5277	35.7478	0.7988	5.3467	7.0361	5.4060	7.0813	0.2591	0.0000	0.0000	0.0000	0.2042	0.0000	0.5868	0.2560	0.7293	6.9612
16	750.0000	800.0000	1563.4061	2261.0000	1414.5349	113.9141	7.0569	27.9003	0.8541	7.0461	5.6416	7.0977	5.7059	0.4975	0.0000	0.0000	0.0000	0.2074	0.0000	0.5947	0.2578	0.1930	6.9982
17	800.0000	850.0000	1272.6092	1811.0000	1155.0145	92.5534	4.3905	20.6509	0.9425	5.3580	5.8859	5.4402	5.9608	0.5625	0.0000	0.0000	0.0000	0.2102	0.0000	0.6079	0.2607	0.1180	5.8180
18	850.0000	900.0000	1030.7122	1436.0000	938.6323	71.3628	3.8832	16.8339	1.0146	6.7391	6.9374	6.8150	7.0112	0.1147	0.0000	0.0000	0.0000	0.2221	0.0000	0.6289	0.2683	0.8110	6.8515
19	900.0000	950.0000	821.0103	1194.0000	747.6442	58.1360	3.6114	11.6186	1.0590	6.1319	6.7429	6.2227	6.8256	0.3830	0.0000	0.0000	0.0000	0.2293	0.0000	0.6446	0.2763	0.7432	6.6918
20	950.0000	1000.0000	673.8869	933.0000	610.0986	48.6456	2.8938	12.2489	1.1427	5.5994	5.3001	5.7148	5.4218	0.2616	0.0000	0.0000	0.0000	0.2218	0.0000	0.6412	0.2698	0.8225	5.5482
21	1000.0000	1050.0000	558.7163	811.0000	506.6734	39.9696	2.7460	9.3273	1.2300	7.5888	6.3471	7.6878	6.4652	0.0868	0.0000	0.0000	0.0000	0.2301	0.0000	0.6565	0.2772	0.4893	7.5354
22	1050.0000	1100.0000	461.4540	600.0000	419.4501	32.9541	1.4263	7.6235	1.3481	7.1544	8.1460	7.2803	8.2568	0.5323	0.0000	0.0000	0.0000	0.2351	0.0000	0.6601	0.2799	0.9218	8.0411
23	1100.0000	1150.0000	385.5548	519.0000	351.3801	27.1323	1.3142	5.7282	1.3818	4.9311	5.6879	5.1211	5.8533	0.4170	0.0000	0.0000	0.0000	0.2392	0.0000	0.6808	0.2853	0.4139	5.6195
24	1150.0000	1200.0000	317.7414	439.0000	291.0497	20.5958	1.3874	4.7086	1.4221	8.2527	6.0356	8.3743	6.2009	0.8512	0.0000	0.0000	0.0000	0.2439	0.0000	0.6803	0.2874	0.5561	8.1651
25	1200.0000	1250.0000	265.9821	371.0000	242.2736	18.4682	1.1566	4.0836	1.5424	6.8652	6.8982	7.0363	7.0685	0.4742	0.0000	0.0000	0.0000	0.2540	0.0000	0.6812	0.2935	0.6864	6.8440
26	1250.0000	1300.0000	228.9792	295.0000	210.4193	13.7852	0.8886	3.8861	1.6312	5.7209	9.7644	5.9490	9.8997	0.2837	0.0000	0.0000	0.0000	0.2542	0.0000	0.6971	0.2931	0.9136	9.6890
27	1300.0000	1350.0000	185.9628	232.0000	171.3407	11.6853	0.4012	2.5355	1.7615	8.7611	4.9967	8.9364	5.2981	0.1361	0.0000	0.0000	0.0000	0.2518	0.0000	0.6989	0.2915	0.2356	8.7236
28	1350.0000	1400.0000	157.3840	189.0000	144.1290	10.6260	0.6074	2.0215	1.6315	7.9487	8.5089	8.1144	8.6639	0.3234	0.0000	0.0000	0.0000	0.2541	0.0000	0.7211	0.2959	0.4628	8.4688
29	1400.0000	1450.0000	134.6992	172.0000	123.6985	9.0300	0.5639	1.4067	1.6890	5.9800	4.3131	6.2139	4.6320	1.0607	0.0000	0.0000	0.0000	0.2520	0.0000	0.7215	0.3018	0.1989	5.8570
30	1450.0000	1500.0000	118.9077	143.0000	110.1729	6.5013	0.5451	1.6885	2.1001	5.3545	7.8541	5.7517	8.1300	1.1126	0.0000	0.0000	0.0000	0.2601	0.0000	0.7438	0.3076	0.6155	7.7045
31	1500.0000	1550.0000	99.0455	113.0000	91.9875	5.1428	0.4843	1.4309	2.1967	9.0700	2.6229	9.3322	3.4212	0.9712	0.0000	0.0000	0.0000	0.2519	0.0000	0.7352	0.2952	0.5188	8.9966
32	1550.0000	1600.0000	93.0166	107.0000	85.3418	6.3917	0.2499	1.0332	2.1887	2.6291	9.5920	3.4209	9.8386	0.0912	0.0000	0.0000	0.0000	0.2587	0.0000	0.7356	0.2992	1.0572	9.4971
33	1600.0000	1650.0000	76.5229	92.0000	71.0537	4.2501	0.3419	0.8773	2.3556	6.9508	6.8565	7.3391	7.2498	1.5785	0.0000	0.0000	0.0000	0.2824	0.0000	0.7210	0.3047	0.7891	6.7242
34	1650.0000	1700.0000	66.8163	74.0000	61.4989	4.1520	0.4280	0.7374	2.4465	10.5479	10.8530	10.8279	11.1254	0.8986	0.0000	0.0000	0.0000	0.2774	0.0000	0.7426	0.3070	1.8478	10.6426
35	1700.0000	1750.0000	54.0705	81.0000	50.7837	2.5739	0.2230	0.4899	2.2671	13.5668	1.7675	13.7549	2.8747	0.7227	0.0000	0.0000	0.0000	0.2707	0.0000	0.7772	0.3162	0.3088	13.5153
36	1750.0000	1800.0000	51.3310	62.0000	46.9187	3.1657	0.3253	0.9213	2.4632	1.3485	12.0175	2.8082	12.2674	1.1625	0.0000	0.0000	0.0000	0.2524	0.0000	0.7464	0.2971	0.4894	11.9317
37	1800.0000	1850.0000	41.4520	69.0000	38.3517	2.5588	0.1642	0.3773	2.5339	16.1902	1.2963	16.3873	2.8462	0.3508	0.0000	0.0000	0.0000	0.2580	0.0000	0.7742	0.3026	0.8974	16.1646
38	1850.0000	1900.0000	39.4677	54.0000	36.7307	2.2240	0.0833	0.4297	3.4150	1.6856	14.0338	3.8083	14.4433	0.9794	0.0000	0.0000	0.0000	0.2843	0.0000	0.7726	0.3101	1.2344	13.9430
39	1900.0000	1950.0000	32.6330	35.0000	29.7926	1.9281	0.2256	0.6867	2.8680	13.3857	9.3112	13.6895	9.7429	0.9189	0.0000	0.0000	0.0000	0.2676	0.0000	0.7482	0.3081	1.5597	13.2353
40	1950.0000	2000.0000	250.9175	290.0000	233.6914	14.0303	0.9359	2.2600	0.8687	8.8668	8.2250	8.9092	8.2708	0.2875	0.0000	0.0000	0.0000	0.2692	0.0000	0.7797	0.3109	0.3725	8.8103
