Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	50.0000	7356.9146	10155.0000	7143.0928	103.0998	6.5194	104.2026	0.4511	6.0328	7.4624	6.0497	7.4760	0.3576	0.0000	0.0000	0.0000	0.2299	0.0000	0.6658	0.2776	0.6013	7.3911
2	50.0000	100.0000	5993.4856	8585.0000	5652.2538	220.1069	15.9093	105.2156	0.4418	6.3644	5.2033	6.3797	5.2220	0.0808	0.0000	0.0000	0.0000	0.2443	0.0000	0.6898	0.2875	0.7486	6.2706
3	100.0000	150.0000	2836.7255	3920.0000	2536.4176	221.1716	15.7456	63.3907	0.5403	5.0616	4.3534	5.0904	4.3868	0.1989	0.0000	0.0000	0.0000	0.2486	0.0000	0.6881	0.2893	0.5546	4.9691
4	150.0000	200.0000	1356.3281	1811.0000	1136.9236	171.4324	11.3236	36.6484	0.6515	5.2462	4.8451	5.2865	4.8887	0.1237	0.0000	0.0000	0.0000	0.2444	0.0000	0.6941	0.2882	0.7835	5.1548
5	200.0000	250.0000	689.1201	817.0000	539.9971	117.6032	9.7439	21.7759	0.8155	5.6282	5.3830	5.6870	5.4444	0.2487	0.0000	0.0000	0.0000	0.2373	0.0000	0.6743	0.2819	0.7763	5.5406
6	250.0000	300.0000	357.0918	443.0000	260.9170	78.7123	5.0712	12.3912	0.9792	7.2380	5.3776	7.3040	5.4660	0.4500	0.0000	0.0000	0.0000	0.2315	0.0000	0.6655	0.2767	1.3853	7.0494
7	300.0000	350.0000	198.5672	226.0000	136.6928	52.4383	3.2715	6.1646	1.1723	7.5940	6.1257	7.6840	6.2369	0.5385	0.0000	0.0000	0.0000	0.2431	0.0000	0.6810	0.2876	0.8295	7.5095
8	350.0000	400.0000	116.4005	113.0000	72.4131	37.8965	2.1005	3.9904	1.4674	8.0775	7.2871	8.2097	7.4334	0.7173	0.0000	0.0000	0.0000	0.2255	0.0000	0.6426	0.2745	0.7932	7.9929
9	400.0000	450.0000	67.3515	62.0000	39.7387	24.1774	1.3790	2.0563	1.8608	9.6206	7.8171	9.7989	8.0355	0.2872	0.0000	0.0000	0.0000	0.2126	0.0000	0.6213	0.2632	1.2362	9.5743
10	450.0000	500.0000	41.5295	44.0000	22.3071	16.3477	0.9578	1.9168	2.4145	5.8381	8.8989	6.3176	9.2207	1.1970	0.0000	0.0000	0.0000	0.2280	0.0000	0.6306	0.2763	1.2734	8.7356
11	500.0000	550.0000	24.7567	32.0000	13.2318	9.5492	0.9560	1.0197	3.0403	10.4705	8.1344	10.9029	8.6840	2.5953	0.0000	0.0000	0.0000	0.2173	0.0000	0.6112	0.2644	1.4620	10.1073
12	550.0000	600.0000	16.7932	15.0000	8.0583	7.4932	0.5260	0.7157	5.1818	7.6856	7.6264	9.2693	9.2203	0.7545	0.0000	0.0000	0.0000	0.1978	0.0000	0.5921	0.2539	2.3908	7.5592
13	600.0000	650.0000	10.7852	8.0000	4.9487	5.0164	0.3696	0.4505	6.6935	15.9313	14.1847	17.2803	15.6847	0.9956	0.0000	0.0000	0.0000	0.1955	0.0000	0.5900	0.2533	2.9383	15.8860
14	650.0000	700.0000	6.7187	6.0000	3.3086	2.9419	0.1862	0.2819	5.7381	10.2844	10.4487	11.7769	11.9206	2.8707	0.0000	0.0000	0.0000	0.2188	0.0000	0.5973	0.2682	1.4131	10.4093
15	700.0000	750.0000	4.3661	1.0000	2.1252	1.8341	0.1771	0.2298	6.7309	16.6734	9.7923	17.9807	11.8825	0.7174	0.0000	0.0000	0.0000	0.2211	0.0000	0.6056	0.2711	5.5743	15.6820
16	750.0000	800.0000	3.3428	0.0000	1.5814	1.5980	0.0490	0.1144	7.8301	9.6095	3.9195	12.3957	8.7562	1.4176	0.0000	0.0000	0.0000	0.2069	0.0000	0.6015	0.2588	1.0993	9.4796
17	800.0000	850.0000	2.3412	2.0000	1.0367	1.2120	0.0104	0.0822	9.3812	16.3710	18.9254	18.8684	21.1229	1.3322	0.0000	0.0000	0.0000	0.1936	0.0000	0.5430	0.2482	3.5926	18.5533
18	850.0000	900.0000	1.3433	2.0000	0.7547	0.5037	0.0289	0.0560	10.3314	13.8544	0.7710	17.2824	10.3602	0.9821	0.0000	0.0000	0.0000	0.2394	0.0000	0.6766	0.2870	3.9268	13.2273
19	900.0000	950.0000	1.3068	1.0000	0.5512	0.4682	0.0225	0.2649	18.6107	9.0176	14.9942	20.6803	23.8994	4.9245	0.0000	0.0000	0.0000	0.3549	0.0000	0.8130	0.3803	0.3471	14.1275
20	950.0000	1000.0000	2.9824	4.0000	1.7780	0.6803	0.1156	0.4084	7.1736	14.0892	12.1197	15.8103	14.0836	1.5529	0.0000	0.0000	0.0000	0.2345	0.0000	0.6583	0.2839	4.0510	13.7502
