Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
3	40.0000	60.0000	416.7396	349.0000	1.3193	382.4934	6.2435	26.6834	1.0075	3.2355	3.5925	3.3888	3.7311	0.2301	0.4342	2.6097	0.0000	0.0000	0.0000	0.5095	0.1942	0.1681	2.3571
4	60.0000	80.0000	381.4873	365.0000	0.7145	358.7749	5.7850	16.2128	1.0558	4.0218	4.2828	4.1580	4.4110	0.2372	0.4333	2.5466	0.0000	0.0000	0.0000	0.4815	0.1892	0.3402	3.3708
5	80.0000	100.0000	314.1434	325.0000	0.4182	297.1852	4.7634	11.7766	1.1793	5.8872	5.8867	6.0042	6.0037	0.7931	0.4301	2.4594	0.0000	0.0000	0.0000	0.4852	0.1845	0.5048	5.2812
6	100.0000	120.0000	246.4752	251.0000	0.6428	234.1543	3.8462	7.8318	1.3328	6.5147	4.7656	6.6496	4.9484	0.2786	0.4284	2.4429	0.0000	0.0000	0.0000	0.4954	0.1914	0.5565	5.9683
7	120.0000	140.0000	189.0302	179.0000	0.4225	181.3229	2.7332	4.5516	1.5961	5.7978	8.3932	6.0135	8.5436	0.8287	0.4269	2.4585	0.0000	0.0000	0.0000	0.4880	0.1849	0.4413	7.9808
8	140.0000	160.0000	135.0482	117.0000	0.2437	128.5554	2.4266	3.8225	1.7826	5.8479	5.9312	6.1135	6.1933	0.5198	0.4254	2.4844	0.0000	0.0000	0.0000	0.5104	0.2018	0.5981	5.2894
9	160.0000	180.0000	93.3782	86.0000	0.1720	88.8671	1.4252	2.9139	2.1220	8.8314	8.1984	9.0828	8.4685	0.3869	0.4245	2.3328	0.0000	0.0000	0.0000	0.4994	0.1929	1.2158	8.3942
10	180.0000	200.0000	65.3967	63.0000	0.1507	62.2442	1.2250	1.7769	2.5619	8.7183	7.9298	9.0869	8.3333	0.4844	0.4248	2.2739	0.0000	0.0000	0.0000	0.4965	0.1949	0.8777	8.3335
11	200.0000	220.0000	41.3425	35.0000	0.0551	39.2016	0.5124	1.5734	3.1734	11.5396	7.9555	11.9680	8.5650	1.0386	0.4217	2.4280	0.0000	0.0000	0.0000	0.5337	0.2094	0.7447	11.2453
12	220.0000	240.0000	30.9868	25.0000	0.0205	29.4684	0.3191	1.1788	3.6680	10.9062	9.8036	11.5065	10.4674	1.2867	0.4210	2.3771	0.0000	0.0000	0.0000	0.5315	0.2088	1.4457	10.5097
