Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
3	40.0000	60.0000	18.3996	34.0000	0.8707	9.6554	5.7431	2.1305	7.7981	3.5320	5.8809	8.5607	9.7670	0.9860	0.4732	3.2141	0.0000	0.0000	0.0000	0.4093	0.1758	1.0101	4.6903
4	60.0000	80.0000	15.2175	25.0000	1.4795	6.3908	5.7634	1.5839	10.3322	7.6412	15.8521	12.8508	18.9221	5.3339	0.4707	3.7192	0.0000	0.0000	0.0000	0.4286	0.1917	0.7976	14.9159
5	80.0000	100.0000	13.7248	25.0000	0.9083	6.4637	4.7373	1.6155	9.5089	3.8242	3.3917	10.2490	10.0956	1.3496	0.4739	3.2196	0.0000	0.0000	0.0000	0.3138	0.1122	1.4480	0.5442
6	100.0000	120.0000	9.6979	14.0000	0.3781	3.2161	4.4754	1.6282	8.0911	10.3001	6.8112	13.0980	10.5763	1.2782	0.4581	2.9264	0.0000	0.0000	0.0000	0.4540	0.2049	1.0528	9.8301
7	120.0000	140.0000	7.0634	12.0000	0.2622	2.5970	2.8102	1.3941	8.6395	5.9025	3.8305	10.4633	9.4506	2.2689	0.4661	3.0113	0.0000	0.0000	0.0000	0.4450	0.2047	2.9239	3.8412
8	140.0000	160.0000	5.1164	10.0000	0.3128	1.4889	2.2809	1.0338	10.1526	11.5644	12.8969	15.3887	16.4136	4.2321	0.4626	3.0172	0.0000	0.0000	0.0000	0.4663	0.1793	1.6536	11.6670
9	160.0000	180.0000	3.3756	7.0000	0.1282	1.0682	1.4512	0.7280	12.1975	13.5954	4.9179	18.2651	13.1516	3.3563	0.4646	2.6741	0.0000	0.0000	0.0000	0.4180	0.1730	2.5019	12.8792
10	180.0000	200.0000	2.4153	6.0000	0.0546	0.6506	1.0888	0.6213	14.0769	4.0198	13.9365	14.6396	19.8087	2.5825	0.4645	2.8875	0.0000	0.0000	0.0000	0.4335	0.1568	0.6216	13.3983
11	200.0000	220.0000	1.7320	4.0000	0.0383	0.4178	0.9374	0.3385	17.0201	4.7919	18.8811	17.6818	25.4201	3.8689	0.4585	2.7547	0.0000	0.0000	0.0000	0.4090	0.1687	2.1014	18.5495
12	220.0000	240.0000	1.4000	0.0000	0.0277	0.4586	0.5587	0.3549	18.1305	21.8167	9.1085	28.3669	20.2899	9.5369	0.4497	3.6909	0.0000	0.0000	0.0000	0.3748	0.1362	4.7779	18.6602
