Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	39.3044	46.0000	0.0979	36.6850	0.7538	1.7678	3.2633	3.9863	7.4552	5.1517	8.1381	0.3325	0.4283	2.5035	0.0000	0.0000	0.0000	0.5156	0.1959	2.2784	6.5972
2	-3.0144	-2.8888	40.6094	44.0000	0.0700	37.9887	0.3648	2.1860	3.2434	5.4741	5.3110	6.3628	6.2230	0.8083	0.4303	2.4372	0.0000	0.0000	0.0000	0.5152	0.1977	0.7944	4.7171
3	-2.8888	-2.7632	40.6250	40.0000	0.0642	37.7306	1.0623	1.7680	3.2935	4.6254	8.7594	5.6782	9.3581	0.3355	0.4292	2.5553	0.0000	0.0000	0.0000	0.4837	0.1861	0.6994	8.3220
4	-2.7632	-2.6376	38.3773	38.0000	0.1140	35.7842	0.5155	1.9636	3.3580	5.7456	3.7024	6.6549	4.9984	1.3525	0.4271	2.6126	0.0000	0.0000	0.0000	0.5020	0.1952	0.7351	4.8316
5	-2.6376	-2.5120	39.9291	42.0000	0.0261	38.0095	0.3120	1.5815	3.2725	5.4005	6.6285	6.3146	7.3923	0.5615	0.4276	2.6391	0.0000	0.0000	0.0000	0.4885	0.1793	1.7132	5.7679
6	-2.5120	-2.3864	40.8329	45.0000	0.0337	37.9449	0.5784	2.2759	3.2602	2.7905	7.3455	4.2913	8.0364	0.6251	0.4297	2.4291	0.0000	0.0000	0.0000	0.4722	0.1707	0.7431	6.8490
7	-2.3864	-2.2608	39.2834	35.0000	0.0321	36.8595	0.4747	1.9171	3.2544	8.8737	3.7346	9.4517	4.9536	1.1260	0.4304	2.4840	0.0000	0.0000	0.0000	0.4524	0.1717	0.8013	8.4020
8	-2.2608	-2.1352	38.7554	27.0000	0.1701	35.8764	0.7587	1.9502	3.2967	6.5098	6.3344	7.2970	7.1409	1.9354	0.4325	2.4884	0.0000	0.0000	0.0000	0.4912	0.1930	0.8773	5.6002
9	-2.1352	-2.0096	38.7561	34.0000	0.0277	36.0941	0.9367	1.6975	3.3473	7.1417	4.1222	7.8873	5.3101	0.8507	0.4323	2.5239	0.0000	0.0000	0.0000	0.5297	0.2049	0.4035	6.6259
10	-2.0096	-1.8840	41.3791	41.0000	0.2218	38.2369	0.8853	2.0350	3.2226	5.3718	6.1975	6.2643	6.9853	0.4803	0.4296	2.5456	0.0000	0.0000	0.0000	0.4738	0.1795	1.3941	5.4142
11	-1.8840	-1.7584	41.5472	34.0000	0.0717	38.8013	0.8295	1.8446	3.1877	2.8272	6.6618	4.2608	7.3851	0.6122	0.4307	2.5801	0.0000	0.0000	0.0000	0.5338	0.2103	0.5944	6.0398
12	-1.7584	-1.6328	38.9456	33.0000	0.1532	36.3293	0.5906	1.8725	3.3190	7.8871	4.2686	8.5570	5.4071	1.3989	0.4268	2.5729	0.0000	0.0000	0.0000	0.5697	0.2208	1.3452	7.1600
13	-1.6328	-1.5072	39.0783	28.0000	0.0377	36.7607	0.5512	1.7286	3.3068	3.0575	4.3287	4.5037	5.4473	1.3326	0.4282	2.4046	0.0000	0.0000	0.0000	0.5073	0.2014	1.3615	3.0730
