Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
9	800.0000	900.0000	17.9166	26.0000	2.0043	6.9719	6.5390	2.4013	10.6146	5.5343	11.9219	11.9707	15.9625	2.6083	0.4633	2.9647	0.0000	0.0000	0.0000	0.3120	0.1269	0.4595	11.4393
10	900.0000	1000.0000	14.5775	24.0000	0.4572	7.2256	4.9382	1.9566	9.2162	3.3143	8.1676	9.7940	12.3145	1.2475	0.4696	3.0166	0.0000	0.0000	0.0000	0.2998	0.1349	0.2513	7.4639
11	1000.0000	1100.0000	10.4913	22.0000	0.3159	4.8560	3.7422	1.5771	7.4311	17.3901	6.8541	18.9113	10.1093	2.2116	0.4683	3.2263	0.0000	0.0000	0.0000	0.3687	0.1412	1.0507	16.9008
12	1100.0000	1200.0000	9.9011	17.0000	0.2733	4.2546	4.1453	1.2279	7.7897	4.3933	5.4277	8.9431	9.4942	3.1563	0.4703	2.9910	0.0000	0.0000	0.0000	0.3796	0.1639	1.2686	3.4622
13	1200.0000	1300.0000	7.3593	12.0000	0.4104	2.8355	3.0657	1.0477	8.5199	14.7030	3.8877	16.9931	9.3650	1.1492	0.4635	3.0800	0.0000	0.0000	0.0000	0.4116	0.1715	4.3622	13.6423
14	1300.0000	1400.0000	5.3700	12.0000	0.1320	1.8767	2.3032	1.0581	10.0363	4.4220	6.4398	10.9673	11.9247	2.0191	0.4709	3.4008	0.0000	0.0000	0.0000	0.4379	0.1947	1.7066	5.0170
15	1400.0000	1500.0000	3.4048	6.0000	0.2207	1.3418	1.4333	0.4090	12.5278	13.3057	16.3984	18.2753	20.6362	2.2913	0.4704	3.6864	0.0000	0.0000	0.0000	0.6426	0.2753	3.6006	15.3751
16	1500.0000	1600.0000	2.5825	4.0000	0.1345	1.0370	0.8015	0.6095	14.0772	22.7553	5.2438	26.7577	15.0222	1.4477	0.4646	3.9201	0.0000	0.0000	0.0000	0.6043	0.2705	6.0692	21.5140
17	1600.0000	1700.0000	2.7782	4.0000	0.2396	0.7817	1.2114	0.5454	13.6766	10.3155	23.8804	17.1306	27.5195	6.2358	0.4764	2.9785	0.0000	0.0000	0.0000	0.7743	0.3595	5.1647	22.2622
18	1700.0000	1800.0000	1.8105	4.0000	0.1896	0.5605	0.6258	0.4346	15.6492	3.5304	12.1949	16.0425	19.8397	2.2112	0.4620	3.4075	0.0000	0.0000	0.0000	0.5075	0.1812	6.4947	9.4620
19	1800.0000	1900.0000	1.0045	3.0000	0.0332	0.3289	0.4381	0.2043	19.3446	39.2546	6.9175	43.7623	20.5442	7.2761	0.4647	3.4061	0.0000	0.0000	0.0000	0.2659	0.0673	13.6692	35.9060
20	1900.0000	2000.0000	1.5682	3.0000	0.0670	0.4277	0.9213	0.1521	18.1650	3.9507	17.8953	18.5897	25.4992	1.5646	0.4638	3.8717	0.0000	0.0000	0.0000	0.6019	0.2014	7.3679	15.7448
21	2000.0000	2100.0000	1.1160	2.0000	0.0484	0.1716	0.6135	0.2825	21.8723	12.1696	6.0225	25.0299	22.6863	2.8774	0.4649	3.5278	0.0000	0.0000	0.0000	0.4570	0.1754	1.5070	11.5294
22	2100.0000	2200.0000	0.6470	3.0000	0.0127	0.1419	0.3426	0.1498	23.5392	15.1546	27.3298	27.9957	36.0695	9.3257	0.4593	3.0011	0.0000	0.0000	0.0000	0.9392	0.3923	11.3051	23.5713
23	2200.0000	2300.0000	0.3816	0.0000	0.0237	0.1972	0.2384	-0.0777	44.0159	65.7018	25.3351	79.0830	50.7865	33.4976	0.5052	6.1925	0.0000	0.0000	0.0000	0.9764	0.4743	17.8368	54.0624
24	2300.0000	2400.0000	0.7036	0.0000	0.0196	0.1542	0.5213	0.0085	27.4859	10.6944	42.5783	29.4932	50.6793	12.1911	0.4777	3.2246	0.0000	0.0000	0.0000	0.8689	0.3660	9.2766	39.5818
25	2400.0000	2500.0000	0.5768	1.0000	0.0158	0.3199	0.1964	0.0447	30.9351	19.6352	9.9633	36.6405	32.5000	2.5514	0.4837	3.9598	0.0000	0.0000	0.0000	0.8993	0.3854	2.1096	19.1546
26	2500.0000	2600.0000	0.3258	0.0000	0.0137	0.1495	0.0811	0.0815	30.2825	56.7704	53.6721	64.3421	61.6257	3.9344	0.4409	3.0671	0.0000	0.0000	0.0000	0.6422	0.2610	0.1044	56.5541
27	2600.0000	2700.0000	0.1183	0.0000	0.0079	0.0303	0.0495	0.0306	48.1011	33.9728	12.5649	58.8886	49.7151	14.6638	0.4746	3.5711	0.0000	0.0000	0.0000	0.3946	0.1094	0.2800	30.4299
28	2700.0000	2800.0000	0.1899	0.0000	0.0065	0.0276	0.0994	0.0563	38.1910	32.4089	60.2798	50.0888	71.3597	11.5533	0.4301	3.6472	0.0000	0.0000	0.0000	0.3668	0.2217	2.0446	59.1385
29	2800.0000	2900.0000	0.0764	0.0000	0.0030	0.0157	0.0120	0.0457	58.9785	181.9655	31.8520	191.2848	67.0299	13.9628	0.4320	2.1095	0.0000	0.0000	0.0000	0.5105	0.1217	8.7313	181.4154
30	2900.0000	3000.0000	0.1929	0.0000	0.0032	0.0871	0.1011	0.0015	46.2083	15.1075	10.7872	48.6153	47.4508	13.6954	0.4779	3.5768	0.0000	0.0000	0.0000	1.0213	0.5899	3.2175	3.9886
