Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
3	40.0000	60.0000	89.7590	99.0000	0.7949	77.6759	7.7398	3.5484	2.2681	4.5324	5.2429	5.0682	5.7125	0.8737	0.4670	2.3660	0.0000	0.0000	0.0000	0.4266	0.2046	0.0853	4.5481
4	60.0000	80.0000	295.0144	331.0000	3.2112	263.9919	17.1921	10.6193	1.2851	5.1918	6.2789	5.3485	6.4091	0.2388	0.4598	2.3640	0.0000	0.0000	0.0000	0.3893	0.1826	0.0929	5.7816
5	80.0000	100.0000	310.3532	281.0000	1.1052	284.7091	11.9378	12.6011	1.2255	5.1266	5.4291	5.2711	5.5657	0.3039	0.4439	2.3028	0.0000	0.0000	0.0000	0.3929	0.1668	0.2142	4.8731
6	100.0000	120.0000	288.3064	304.0000	0.5270	267.2376	7.6950	12.8468	1.2454	5.9764	5.8237	6.1048	5.9554	0.6232	0.4333	2.9326	0.0000	0.0000	0.0000	0.4080	0.1673	0.0910	5.1605
7	120.0000	140.0000	259.0752	244.0000	0.8247	241.5715	5.6009	11.0781	1.2913	6.1688	6.1842	6.3025	6.3175	0.1897	0.4245	2.7329	0.0000	0.0000	0.0000	0.5350	0.1744	0.0393	5.5007
8	140.0000	160.0000	222.5193	214.0000	0.8282	206.9955	5.1482	9.5474	1.4458	5.2249	5.5804	5.4213	5.7646	0.5138	0.4205	2.6046	0.0000	0.0000	0.0000	0.5227	0.1765	0.3012	4.8753
9	160.0000	180.0000	177.8855	176.0000	0.3185	165.9860	2.8840	8.6970	1.5537	5.3675	5.4412	5.5879	5.6587	0.4305	0.4157	2.4901	0.0000	0.0000	0.0000	0.5181	0.1796	0.0857	4.7825
10	180.0000	200.0000	134.7148	115.0000	0.3087	126.5501	1.5718	6.2842	1.8556	5.2595	5.2959	5.5772	5.6115	0.1706	0.4124	2.4054	0.0000	0.0000	0.0000	0.5288	0.1846	0.1418	4.6612
11	200.0000	220.0000	95.7694	89.0000	0.2063	89.6813	1.3427	4.5391	2.0963	5.8210	4.9998	6.1870	5.4215	0.4223	0.4109	2.3493	0.0000	0.0000	0.0000	0.6680	0.2470	0.1014	5.2604
12	220.0000	240.0000	65.9981	55.0000	0.1611	61.0597	0.9940	3.7833	2.5444	4.7534	4.2388	5.3916	4.9439	0.4859	0.4095	2.3696	0.0000	0.0000	0.0000	0.6575	0.2489	0.3680	4.0180
13	240.0000	260.0000	45.4674	36.0000	0.2385	41.2504	0.3243	3.6542	3.0312	5.5353	5.1235	6.3109	5.9531	0.5394	0.4065	2.3561	0.0000	0.0000	0.0000	0.6770	0.2546	0.4115	4.9185
14	260.0000	280.0000	30.5716	24.0000	0.1353	27.6078	0.6763	2.1522	3.7605	5.1568	4.7293	6.3823	6.0421	0.4085	0.4060	2.3045	0.0000	0.0000	0.0000	0.7089	0.2828	0.2532	4.5085
15	280.0000	300.0000	20.5837	16.0000	0.1366	18.2058	0.4509	1.7904	4.5239	3.9857	4.2313	6.0292	6.1943	0.2708	0.4062	2.2777	0.0000	0.0000	0.0000	0.7901	0.3275	0.3752	3.4067
16	300.0000	320.0000	11.9932	7.0000	0.0639	10.4892	0.3617	1.0784	5.9183	3.7750	4.9753	7.0198	7.7318	0.2741	0.4071	2.2453	0.0000	0.0000	0.0000	0.9342	0.4098	0.4130	4.2926
17	320.0000	340.0000	7.4190	7.0000	0.0613	6.4342	0.1064	0.8172	7.2787	6.6479	7.2652	9.8577	10.2841	5.2705	0.4080	2.2467	0.0000	0.0000	0.0000	0.8171	0.3264	0.5555	5.2644
18	340.0000	360.0000	5.5412	5.0000	0.0237	4.8026	0.2627	0.4522	8.6178	6.7806	4.0378	10.9655	9.5168	3.2521	0.3982	2.8557	0.0000	0.0000	0.0000	1.0078	0.4121	1.0019	4.9897
19	360.0000	380.0000	4.4177	2.0000	0.0367	3.8182	0.0492	0.5137	9.8718	4.2824	4.5772	10.7606	10.8813	0.3315	0.4040	2.1309	0.0000	0.0000	0.0000	1.3028	0.6287	0.4582	3.7622
20	380.0000	400.0000	2.3285	1.0000	0.0078	2.1024	0.0414	0.1769	13.0338	4.4454	4.6329	13.7710	13.8327	2.7082	0.4051	2.0105	0.0000	0.0000	0.0000	1.1745	0.5269	1.2836	2.8752
21	400.0000	420.0000	2.0612	2.0000	0.0290	1.8292	0.0002	0.2028	14.6123	5.9547	4.5446	15.7791	15.3027	3.1538	0.4046	1.8314	0.0000	0.0000	0.0000	1.6778	0.8115	0.0000	4.3035
22	420.0000	440.0000	1.2605	2.0000	0.0230	0.9590	0.0172	0.2612	17.4349	9.7997	7.7231	20.0002	19.0689	8.3813	0.3992	1.9050	0.0000	0.0000	0.0000	1.4816	0.6620	0.0000	4.4005
23	440.0000	460.0000	0.7199	0.0000	0.0061	0.5551	0.0495	0.1092	21.6737	13.7403	6.3672	25.6622	22.5896	6.6149	0.4122	1.9091	0.0000	0.0000	0.0000	1.8263	0.8751	0.0019	11.7100
24	460.0000	480.0000	0.6442	1.0000	0.0015	0.3825	0.0548	0.2053	25.9116	5.7966	7.0571	26.5520	26.8554	5.6319	0.3961	1.6122	0.0000	0.0000	0.0000	3.4703	1.7885	0.0000	1.7392
25	480.0000	500.0000	1.6917	1.0000	0.0302	1.1460	0.0579	0.4575	14.1681	10.7584	6.9520	17.7899	15.7818	5.8231	0.4012	2.1152	0.0000	0.0000	0.0000	4.0667	2.1916	2.9227	6.8787
