Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
2	50.0000	100.0000	100.5480	117.0000	1.4177	87.7196	8.8173	2.5934	2.2894	6.2863	6.2624	6.6902	6.6678	0.7439	0.4863	1.7548	0.0000	0.0000	0.0000	0.2340	0.1615	0.2092	5.9822
3	100.0000	150.0000	345.7293	364.0000	2.4807	320.6625	12.8768	9.7094	1.2337	6.1910	6.7678	6.3127	6.8793	0.1651	0.4563	2.9326	0.0000	0.0000	0.0000	0.3384	0.1381	0.1638	6.0669
4	150.0000	200.0000	427.0012	458.0000	1.3946	397.7586	14.0817	13.7663	1.0457	6.0061	5.6479	6.0964	5.7438	0.2489	0.4384	2.7400	0.0000	0.0000	0.0000	0.3941	0.1271	0.1592	5.3023
5	200.0000	250.0000	410.3420	356.0000	0.8337	383.7003	10.4568	15.3512	1.0474	5.5405	5.6781	5.6386	5.7739	0.5755	0.4244	2.5289	0.0000	0.0000	0.0000	0.4975	0.1696	0.1105	5.0048
6	250.0000	300.0000	314.9581	314.0000	0.7895	293.3256	5.9398	14.9032	1.1667	5.5659	5.0461	5.6868	5.1792	0.0480	0.4167	2.3714	0.0000	0.0000	0.0000	0.4833	0.1698	0.1169	4.9905
7	300.0000	350.0000	207.8117	197.0000	0.6028	190.1651	4.6577	12.3860	1.4321	4.4638	4.8092	4.6879	5.0180	0.2669	0.4121	2.3136	0.0000	0.0000	0.0000	0.4836	0.1684	0.1026	4.1548
8	350.0000	400.0000	114.9701	93.0000	0.6406	103.1395	2.4557	8.7343	1.8823	4.0893	4.2727	4.5017	4.6690	0.4575	0.4104	2.2858	0.0000	0.0000	0.0000	0.4667	0.1662	0.1659	3.5211
9	400.0000	450.0000	66.6920	46.0000	0.4122	58.0774	1.8501	6.3522	2.4143	3.7207	4.0905	4.4353	4.7499	0.2842	0.4093	2.1377	0.0000	0.0000	0.0000	0.4579	0.1640	0.1309	3.4148
10	450.0000	500.0000	35.7708	30.0000	0.1823	30.1134	1.3868	4.0882	3.3605	4.4375	4.1820	5.5664	5.3649	1.4411	0.4066	2.1603	0.0000	0.0000	0.0000	2.0971	1.1041	0.3047	2.7303
11	500.0000	550.0000	20.0725	17.0000	0.0795	16.6722	0.7008	2.6200	4.4017	4.6349	5.0032	6.3920	6.6639	2.4187	0.4055	2.1103	0.0000	0.0000	0.0000	2.0204	1.0201	0.1035	3.7029
12	550.0000	600.0000	11.2792	11.0000	0.0841	9.0830	0.3212	1.7909	5.6337	3.6005	3.7826	6.6860	6.7858	0.1492	0.4049	2.0421	0.0000	0.0000	0.0000	2.2048	1.1586	0.7748	1.8859
13	600.0000	650.0000	7.3011	5.0000	0.0389	5.9194	0.4535	0.8893	7.2171	3.4553	4.8801	8.0016	8.7122	0.7154	0.4071	2.3412	0.0000	0.0000	0.0000	2.1212	1.0981	0.9570	3.3963
14	650.0000	700.0000	4.5483	2.0000	0.0235	3.0584	0.2344	1.2320	8.8075	5.0715	4.6775	10.1633	9.9726	2.3220	0.4073	2.1069	0.0000	0.0000	0.0000	2.1658	1.1191	0.7128	3.1160
15	700.0000	750.0000	2.8241	1.0000	0.0290	1.9784	0.1651	0.6517	11.1367	6.8214	5.9881	13.0598	12.6445	5.6571	0.4091	2.2344	0.0000	0.0000	0.0000	2.4051	1.2744	0.0145	1.4000
16	750.0000	800.0000	1.8974	1.0000	0.0185	1.3030	0.0416	0.5344	12.4239	3.7578	3.2738	12.9798	12.8480	0.5938	0.4062	2.2304	0.0000	0.0000	0.0000	2.1067	1.0298	1.1792	1.3188
17	800.0000	850.0000	1.0926	0.0000	0.0087	0.7309	0.0142	0.3388	17.1568	4.4613	5.3822	17.7273	17.9812	4.6181	0.4070	1.9964	0.0000	0.0000	0.0000	1.6776	0.8121	0.0085	0.1263
18	850.0000	900.0000	0.6806	0.0000	0.0059	0.5465	0.0432	0.0851	22.1265	2.5954	5.9340	22.2782	22.9084	2.0124	0.4070	1.6059	0.0000	0.0000	0.0000	1.4414	0.7917	0.0000	5.0708
19	900.0000	950.0000	0.5962	0.0000	0.0043	0.3603	0.0068	0.2248	21.9551	4.8255	4.7119	22.4791	22.4550	3.9864	0.4045	1.7774	0.0000	0.0000	0.0000	1.8019	0.9058	0.0026	0.2309
20	950.0000	1000.0000	1.1604	0.0000	0.0330	0.7874	0.0552	0.2847	16.6711	5.0120	5.4871	17.4082	17.5509	0.6494	0.4074	2.0444	0.0000	0.0000	0.0000	1.6015	0.8018	1.4955	4.7046
