Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-5.0000	-4.8000	0.8631	0.0000	0.0000	0.8148	0.0138	0.0345	23.8102	11.6896	8.3050	26.5249	25.2170	7.8960	0.4486	3.0946	0.0000	0.0000	0.0000	0.5249	0.1617	0.0000	8.0137
2	-4.8000	-4.6000	0.9175	0.0000	0.0025	0.8432	0.0161	0.0556	21.2931	8.1633	7.9656	22.8043	22.7343	6.9526	0.4406	3.2441	0.0000	0.0000	0.0000	0.4917	0.2363	0.0000	5.4812
3	-4.6000	-4.4000	1.3994	2.0000	0.0000	1.3643	0.0000	0.0350	17.6155	13.6024	10.2307	22.2561	20.3709	1.1258	0.4389	2.4463	0.0000	0.0000	0.0000	0.4256	0.1751	0.0000	13.3655
4	-4.4000	-4.2000	2.4629	1.0000	0.0012	2.2099	0.1560	0.0957	12.9520	13.0639	7.6094	18.3962	15.0219	1.8501	0.4461	3.7619	0.0000	0.0000	0.0000	0.6409	0.3198	0.8908	12.4303
5	-4.2000	-4.0000	3.5826	2.0000	0.0017	3.2166	0.2393	0.1250	11.3284	11.1815	6.1139	15.9173	12.8730	5.1977	0.4529	3.1596	0.0000	0.0000	0.0000	0.4965	0.1935	2.4877	9.0194
6	-4.0000	-3.8000	5.6930	8.0000	0.0007	5.2982	0.2195	0.1746	8.9096	7.2516	6.9034	11.4877	11.2711	2.9081	0.4513	3.1096	0.0000	0.0000	0.0000	0.5898	0.2313	1.4832	5.8672
7	-3.8000	-3.6000	7.7285	3.0000	0.0028	7.2892	0.2088	0.2277	7.4300	11.1595	5.7562	13.4067	9.3989	1.1609	0.4478	3.1584	0.0000	0.0000	0.0000	0.5449	0.2190	0.7701	10.5865
8	-3.6000	-3.4000	12.0481	10.0000	0.1091	11.2318	0.3748	0.3325	6.0041	7.4872	6.6497	9.5973	8.9592	0.5432	0.4465	3.1385	0.0000	0.0000	0.0000	0.5109	0.2015	0.1763	6.7388
9	-3.4000	-3.2000	16.6344	18.0000	0.0027	15.5872	0.4595	0.5850	5.1415	6.1117	8.3274	7.9867	9.7868	0.2191	0.4520	3.4237	0.0000	0.0000	0.0000	0.4812	0.1864	0.9873	7.4921
10	-3.2000	-3.0000	22.7902	30.0000	0.0996	21.2384	0.5017	0.9505	4.3908	7.2368	7.7469	8.4646	8.9047	1.9714	0.4483	3.2419	0.0000	0.0000	0.0000	0.5110	0.2007	0.3628	6.9049
