Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
21	400.0000	420.0000	237.4649	247.0000	0.4081	226.3356	2.6483	8.0729	1.3275	6.5427	6.3592	6.6760	6.4963	0.2025	0.4250	2.2627	0.0000	0.0000	0.0000	0.3761	0.1469	0.1403	6.1089
22	420.0000	440.0000	204.8999	178.0000	0.2189	194.9335	1.9371	7.8104	1.4297	6.2524	6.3610	6.4138	6.5197	0.2638	0.4246	2.2646	0.0000	0.0000	0.0000	0.3860	0.1513	0.1082	5.9087
23	440.0000	460.0000	184.4170	180.0000	0.2717	175.3942	2.0811	6.6699	1.5074	6.8782	6.3616	7.0415	6.5378	0.2103	0.4266	2.3746	0.0000	0.0000	0.0000	0.4055	0.1533	0.1086	6.4223
24	460.0000	480.0000	170.1789	154.0000	0.3663	161.8351	2.6691	5.3084	1.5884	5.9060	5.5083	6.1159	5.7327	0.1525	0.4249	2.3359	0.0000	0.0000	0.0000	0.4415	0.1713	0.1499	5.3828
25	480.0000	500.0000	151.6928	139.0000	0.1670	144.4646	2.1537	4.9075	1.6856	5.5455	5.1336	5.7960	5.4032	0.9211	0.4277	2.4103	0.0000	0.0000	0.0000	0.4436	0.1692	0.3370	4.9098
26	500.0000	520.0000	137.3893	116.0000	0.2453	130.0546	1.9017	5.1876	1.8882	4.8161	5.0592	5.1730	5.4001	1.0225	0.4310	2.4067	0.0000	0.0000	0.0000	0.4506	0.1697	0.2782	4.3941
27	520.0000	540.0000	117.5824	113.0000	0.1142	110.7470	1.8791	4.8421	1.9274	5.6585	5.1100	5.9777	5.4614	0.3900	0.4318	2.4902	0.0000	0.0000	0.0000	0.4836	0.1907	0.2092	5.0165
28	540.0000	560.0000	106.4789	104.0000	0.2229	100.4694	1.6496	4.1370	2.0257	5.1724	5.1920	5.5549	5.5732	0.0968	0.4302	2.4989	0.0000	0.0000	0.0000	0.5023	0.1907	0.3723	4.4931
29	560.0000	580.0000	96.2082	84.0000	0.0543	90.9482	1.1873	4.0183	2.1219	4.4346	5.3527	4.9161	5.7579	0.9081	0.4303	2.5007	0.0000	0.0000	0.0000	0.5032	0.1874	0.0696	4.5929
30	580.0000	600.0000	83.1836	73.0000	0.2198	78.4314	1.4257	3.1067	2.2678	4.1599	5.2171	4.7379	5.6887	0.5265	0.4308	2.5247	0.0000	0.0000	0.0000	0.5392	0.2045	0.2957	4.4842
31	600.0000	620.0000	67.8806	54.0000	0.2167	63.1513	1.3805	3.1321	2.5337	4.8224	5.4677	5.4475	6.0262	0.4154	0.4326	2.6389	0.0000	0.0000	0.0000	0.5603	0.2119	0.0910	4.7131
32	620.0000	640.0000	62.7885	65.0000	0.1299	58.3517	1.1074	3.1995	2.6511	4.3782	4.8914	5.1183	5.5637	0.2618	0.4325	2.6972	0.0000	0.0000	0.0000	0.5629	0.2131	0.2915	4.0021
33	640.0000	660.0000	51.8087	59.0000	0.1058	47.6697	1.2956	2.7376	2.9366	4.3204	3.9706	5.2239	4.9386	1.3216	0.4365	2.5781	0.0000	0.0000	0.0000	0.5975	0.2209	0.2411	3.3151
34	660.0000	680.0000	45.8986	40.0000	0.0926	42.4896	0.9428	2.3735	3.0597	5.1380	4.1185	5.9800	5.1307	0.8701	0.4332	2.6248	0.0000	0.0000	0.0000	0.5809	0.2206	0.1493	4.2747
35	680.0000	700.0000	40.0150	46.0000	0.1150	36.8110	0.8147	2.2742	3.3434	4.6876	4.0205	5.7578	5.2290	0.7863	0.4352	2.6394	0.0000	0.0000	0.0000	0.6019	0.2224	0.4188	3.7133
36	700.0000	720.0000	34.3402	24.0000	0.1328	31.6965	0.6013	1.9097	3.6343	4.1070	4.3956	5.4842	5.7035	0.5270	0.4355	2.7874	0.0000	0.0000	0.0000	0.6482	0.2487	0.5241	3.2561
37	720.0000	740.0000	25.6299	23.0000	0.0462	23.4878	0.4310	1.6650	3.9994	4.7977	4.7626	6.2461	6.2191	0.2199	0.4345	2.7252	0.0000	0.0000	0.0000	0.6659	0.2397	0.5310	3.8183
38	740.0000	760.0000	21.9326	26.0000	0.0731	20.6359	0.1918	1.0318	4.5147	5.6781	4.3498	7.2542	6.2693	0.5470	0.4342	2.8048	0.0000	0.0000	0.0000	0.7202	0.2798	0.7915	4.7916
39	760.0000	780.0000	22.0441	14.0000	0.2398	20.5411	0.1887	1.0744	4.5122	3.6869	3.5857	5.8270	5.7634	0.4533	0.4384	2.8971	0.0000	0.0000	0.0000	0.6921	0.2904	0.6388	2.1083
40	780.0000	800.0000	129.5597	128.0000	0.9812	112.7561	5.3932	10.4293	1.8840	4.9999	5.2785	5.3431	5.6047	0.3403	0.4405	3.1616	0.0000	0.0000	0.0000	0.9319	0.3923	0.3173	4.0612
