Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	1.7696	2.0000	0.0866	0.4386	0.9012	0.3433	16.8238	11.8328	4.8883	20.5684	17.5196	2.2382	0.4718	3.5225	0.0000	0.0000	0.0000	0.4511	0.1700	2.1681	10.8371
2	-3.0144	-2.8888	1.6045	2.0000	0.0089	0.5314	0.9450	0.1193	17.3594	13.1510	7.6412	21.7784	18.9667	6.1512	0.4703	3.5106	0.0000	0.0000	0.0000	0.9084	0.4207	4.4376	10.0932
3	-2.8888	-2.7632	1.1279	7.0000	0.0621	0.4688	0.2980	0.2990	16.8876	5.7226	22.4987	17.8309	28.1316	8.0200	0.4564	2.6014	0.0000	0.0000	0.0000	0.4979	0.1799	8.9515	18.8278
4	-2.7632	-2.6376	1.1651	3.0000	0.0271	0.5095	0.3959	0.2326	17.5282	13.7462	5.9546	22.2755	18.5120	9.4145	0.4620	2.8245	0.0000	0.0000	0.0000	0.3318	0.1199	3.9911	8.7225
5	-2.6376	-2.5120	1.4803	2.0000	0.1646	0.4686	0.5498	0.2973	17.9586	13.0180	2.8929	22.1806	18.1901	1.3899	0.4718	2.8073	0.0000	0.0000	0.0000	0.4492	0.2359	8.4020	9.4119
6	-2.5120	-2.3864	1.8112	6.0000	0.0076	0.6858	0.9036	0.2142	16.0704	4.8962	8.4330	16.7997	18.1487	2.4427	0.4746	3.4960	0.0000	0.0000	0.0000	0.3204	0.1398	7.2396	3.3480
7	-2.3864	-2.2608	1.7932	1.0000	0.0118	0.7208	0.7422	0.3183	16.1578	3.0361	29.3745	16.4406	33.5252	1.5549	0.4609	2.6115	0.0000	0.0000	0.0000	0.4734	0.1638	6.6682	28.4376
8	-2.2608	-2.1352	1.5998	1.0000	0.0077	0.8234	0.6589	0.1098	16.0950	13.3365	4.7147	20.9024	16.7713	3.7220	0.4758	2.8300	0.0000	0.0000	0.0000	0.3392	0.1331	6.6636	11.0087
9	-2.1352	-2.0096	0.9353	2.0000	0.0169	0.3536	0.3244	0.2404	21.1536	29.6746	4.0499	36.4425	21.5377	3.1434	0.4503	3.4844	0.0000	0.0000	0.0000	0.5856	0.2375	11.4038	26.9798
10	-2.0096	-1.8840	1.6109	2.0000	0.0571	0.5866	0.7476	0.2196	17.4118	15.1664	19.5505	23.0909	26.1800	14.7175	0.4839	3.5540	0.0000	0.0000	0.0000	0.2795	0.1293	2.2513	16.3917
11	-1.8840	-1.7584	1.7962	1.0000	0.0044	0.3807	1.1012	0.3100	23.5926	8.1856	15.2978	24.9723	28.1182	7.4876	0.4872	3.2322	0.0000	0.0000	0.0000	0.3650	0.1956	8.4174	10.7163
12	-1.7584	-1.6328	1.9610	2.0000	0.0078	1.2271	0.5379	0.1882	37.6110	20.0731	30.1551	42.6323	48.2070	5.7188	0.4805	2.0606	0.0000	0.0000	0.0000	0.2858	0.1349	5.5584	29.5253
13	-1.6328	-1.5072	3.0906	3.0000	1.2166	1.0834	0.5259	0.2647	36.7085	22.9603	51.2469	43.2977	63.0378	20.7670	0.4782	4.5012	0.0000	0.0000	0.0000	0.3198	0.1699	8.6767	48.0546
14	-1.5072	-1.3816	1.9962	5.0000	0.0367	0.8042	0.7691	0.3860	15.3547	39.8690	17.4093	42.7236	23.2132	5.0056	0.4799	3.4035	0.0000	0.0000	0.0000	0.5882	0.2296	14.9793	39.4142
