Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-2.5000	-2.4000	1.5388	4.0000	0.0155	0.6935	0.7108	0.1191	18.5315	13.5948	7.5103	22.9833	19.9955	10.2960	0.5061	3.5565	0.0000	0.0000	0.0000	0.3691	0.2109	3.0863	7.4968
2	-2.4000	-2.3000	2.8451	3.0000	0.0184	1.6233	1.0831	0.1203	28.5707	6.7623	24.8101	29.3600	37.8395	2.5388	0.4972	2.5951	0.0000	0.0000	0.0000	0.2927	0.1729	0.0330	24.5748
3	-2.3000	-2.2000	3.3363	9.0000	0.2704	0.8543	1.8873	0.3243	17.3601	3.8752	6.2455	17.7874	18.4494	0.6147	0.4944	2.9731	0.0000	0.0000	0.0000	0.4098	0.2324	0.6294	5.3783
4	-2.2000	-2.1000	2.3138	1.0000	0.5579	0.7004	0.9348	0.1207	27.0947	4.2556	3.2551	27.4268	27.2895	3.0885	0.4865	2.8577	0.0000	0.0000	0.0000	0.2814	0.2339	0.6694	0.6400
5	-2.1000	-2.0000	2.4972	3.0000	0.0281	0.6932	1.3980	0.3779	16.6235	5.7181	8.6197	17.5794	18.7254	4.8845	0.4758	3.3227	0.0000	0.0000	0.0000	0.5973	0.2435	3.2798	5.2917
6	-2.0000	-1.9000	2.4928	4.0000	0.0973	0.7636	1.2136	0.4182	16.0849	4.1782	4.1836	16.6187	16.6201	2.9933	0.4868	2.2240	0.0000	0.0000	0.0000	0.4386	0.1527	0.0201	3.1152
7	-1.9000	-1.8000	2.3639	3.0000	0.0942	0.6560	1.1259	0.4878	15.5803	7.3341	7.8842	17.2201	17.4615	2.8045	0.4860	2.2256	0.0000	0.0000	0.0000	0.3660	0.1471	0.0440	6.9963
8	-1.8000	-1.7000	2.2254	2.0000	0.2709	0.8602	0.6956	0.3988	15.1723	6.2463	6.0197	16.4078	16.3229	3.7916	0.4917	2.8029	0.0000	0.0000	0.0000	0.3990	0.1474	0.3607	4.5704
9	-1.7000	-1.6000	2.5314	5.0000	0.0219	1.0055	1.2428	0.2612	14.2634	4.2323	6.1881	14.8780	15.5479	2.2378	0.4712	2.1684	0.0000	0.0000	0.0000	0.5954	0.1799	2.2146	5.2890
10	-1.6000	-1.5000	1.1001	6.0000	0.0247	0.3948	0.3185	0.3621	19.8287	3.1461	6.5628	20.0768	20.8865	1.0714	0.4381	2.8614	0.0000	0.0000	0.0000	0.4301	0.0937	0.4202	5.8681
11	-1.5000	-1.4000	1.3380	2.0000	0.1968	0.3972	0.5682	0.1758	21.0591	5.6610	7.4756	21.8067	22.3466	3.6130	0.4522	2.6720	0.0000	0.0000	0.0000	0.4907	0.0991	0.0000	6.0813
