Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	50.0000	7.3948	0.0000	3.5629	2.9215	0.1606	0.7498	6.4076	10.1644	9.4286	12.0155	11.3998	1.9889	0.8656	5.5175	0.9080	0.0000	0.0000	0.0000	0.0000	3.3475	7.4925
2	50.0000	100.0000	172.7041	0.0000	66.2727	90.9695	2.3309	13.1310	1.4204	6.4063	6.9051	6.5619	7.0497	0.7967	0.8604	5.5806	0.8572	0.0000	0.0000	0.0000	0.0000	0.3117	4.0075
3	100.0000	150.0000	254.2980	0.0000	65.6236	169.3558	3.0369	16.2817	1.2008	6.5030	7.0191	6.6129	7.1211	0.4010	0.8543	5.2562	0.8240	0.0000	0.0000	0.0000	0.0000	0.2538	4.6356
4	150.0000	200.0000	237.4161	0.0000	53.1023	167.9657	3.0753	13.2729	1.2570	7.8313	7.2040	7.9315	7.3128	0.9335	0.8492	5.0826	0.7825	0.0000	0.0000	0.0000	0.0000	0.5330	5.7735
5	200.0000	250.0000	170.8600	0.0000	38.0708	121.4541	2.2917	9.0434	1.4542	7.9352	7.6753	8.0674	7.8119	0.0944	0.8438	5.0099	0.7663	0.0000	0.0000	0.0000	0.0000	0.4031	6.0331
6	250.0000	300.0000	110.9345	0.0000	26.6618	75.3425	1.8756	7.0545	1.7773	7.6618	7.6515	7.8652	7.8552	0.1102	0.8427	4.8513	0.7676	0.0000	0.0000	0.0000	0.0000	0.9366	5.9085
7	300.0000	350.0000	68.4702	0.0000	18.3806	43.7199	1.4375	4.9321	2.1474	7.3640	8.7380	7.6707	8.9979	1.0070	0.8418	4.7065	0.7553	0.0000	0.0000	0.0000	0.0000	0.6871	7.2680
8	350.0000	400.0000	42.2248	0.0000	13.2420	25.8447	0.7035	2.4347	2.6550	10.8401	9.3446	11.1605	9.7145	0.3216	0.8430	5.0203	0.7587	0.0000	0.0000	0.0000	0.0000	1.3236	9.4426
9	400.0000	450.0000	28.4475	0.0000	9.3169	16.4039	0.4624	2.2642	3.1550	9.7660	5.5417	10.2630	6.3769	1.3977	0.8458	4.7511	0.7434	0.0000	0.0000	0.0000	0.0000	0.3353	8.3347
10	450.0000	500.0000	20.5378	0.0000	6.7566	11.0068	0.6781	2.0962	3.5151	5.9567	9.6628	6.9165	10.2823	0.3108	0.8404	4.7866	0.7452	0.0000	0.0000	0.0000	0.0000	1.0994	8.3098
