Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
2	-2.4000	-2.3000	10.2019	0.0000	2.5844	7.3001	0.0553	0.2621	6.0708	11.3333	12.8098	12.8568	14.1755	1.6716	0.8617	4.8516	0.8340	0.0000	0.0000	0.0000	0.0000	1.4530	11.6375
3	-2.3000	-2.2000	12.2904	0.0000	3.3550	8.5439	0.0366	0.3548	5.3306	10.3449	10.8725	11.6375	12.1090	0.4953	0.8584	4.9649	0.7266	0.0000	0.0000	0.0000	0.0000	1.7603	9.6376
4	-2.2000	-2.1000	13.2808	0.0000	3.0369	9.6622	0.0709	0.5108	5.2849	8.4022	11.9104	9.9261	13.0303	0.5470	0.8620	5.1096	0.8080	0.0000	0.0000	0.0000	0.0000	0.1184	10.7427
5	-2.1000	-2.0000	13.6914	0.0000	3.7818	9.1755	0.1639	0.5703	5.1589	9.0346	8.3129	10.4037	9.7836	0.1414	0.8616	4.8664	0.7207	0.0000	0.0000	0.0000	0.0000	1.1774	7.4359
6	-2.0000	-1.9000	17.8548	0.0000	4.4500	12.9138	0.2194	0.2717	4.5334	6.7987	7.5130	8.1715	8.7748	0.8548	0.8624	5.3478	0.7720	0.0000	0.0000	0.0000	0.0000	1.3947	5.0359
7	-1.9000	-1.8000	18.0589	0.0000	4.5868	12.8945	0.1566	0.4211	4.3769	7.4042	6.1254	8.6011	7.5285	1.9204	0.8589	5.3390	0.7949	0.0000	0.0000	0.0000	0.0000	0.5602	4.5767
8	-1.8000	-1.7000	19.8147	0.0000	4.7423	14.1065	0.1887	0.7771	4.4045	5.8552	5.2760	7.3269	6.8728	0.2194	0.8617	5.1002	0.8022	0.0000	0.0000	0.0000	0.0000	0.5906	2.5567
9	-1.7000	-1.6000	22.2133	0.0000	5.3636	15.7367	0.4749	0.6382	4.1917	6.0452	5.9277	7.3563	7.2600	1.2694	0.8589	5.1457	0.7728	0.0000	0.0000	0.0000	0.0000	1.2539	2.6526
10	-1.6000	-1.5000	23.2975	0.0000	5.8454	16.6063	0.3625	0.4834	4.0247	5.8575	5.7683	7.1069	7.0336	0.3101	0.8607	4.9838	0.7781	0.0000	0.0000	0.0000	0.0000	0.3881	2.8497
11	-1.5000	-1.4000	23.5285	0.0000	5.8504	16.4258	0.3950	0.8572	3.8615	6.0117	7.5823	7.1451	8.5089	2.3740	0.8548	5.2440	0.7583	0.0000	0.0000	0.0000	0.0000	0.6281	5.0305
12	-1.4000	-1.3000	24.7392	0.0000	7.1196	16.0639	0.6982	0.8576	3.8856	8.2434	7.7623	9.1133	8.6805	1.4985	0.8558	5.1494	0.7630	0.0000	0.0000	0.0000	0.0000	0.5252	6.1501
13	-1.3000	-1.2000	24.8156	0.0000	6.5652	17.0091	0.2754	0.9659	3.7916	8.7156	8.6967	9.5046	9.4872	0.6330	0.8537	5.1120	0.7944	0.0000	0.0000	0.0000	0.0000	0.4233	7.0154
14	-1.2000	-1.1000	27.0910	0.0000	7.3703	18.7542	0.2034	0.7630	3.6341	6.5684	7.5261	7.5067	8.3575	0.4689	0.8507	4.9951	0.7429	0.0000	0.0000	0.0000	0.0000	0.7190	5.6126
15	-1.1000	-1.0000	26.9841	0.0000	7.0141	18.6041	0.3628	1.0031	3.5246	7.4118	8.1869	8.2072	8.9134	1.3020	0.8520	5.0341	0.7638	0.0000	0.0000	0.0000	0.0000	0.3430	6.3120
16	-1.0000	-0.9000	27.3812	0.0000	7.9541	18.2236	0.6353	0.5683	3.5366	8.0692	7.6888	8.8102	8.4632	0.9022	0.8465	5.0092	0.8151	0.0000	0.0000	0.0000	0.0000	0.7434	6.1606
17	-0.9000	-0.8000	29.5222	0.0000	8.4712	19.3801	0.5120	1.1590	3.4317	8.2513	7.9752	8.9365	8.6822	1.5423	0.8381	5.0535	0.7880	0.0000	0.0000	0.0000	0.0000	0.1561	6.2309
18	-0.8000	-0.7000	27.6740	0.0000	7.6213	18.8894	0.2604	0.9028	3.5294	7.5606	8.2632	8.3438	8.9854	2.0944	0.8403	5.1031	0.7640	0.0000	0.0000	0.0000	0.0000	0.0745	6.1593
19	-0.7000	-0.6000	29.2407	0.0000	9.1147	18.6655	0.5355	0.9250	3.5013	7.8302	6.7173	8.5774	7.5750	2.0129	0.8414	5.0626	0.7518	0.0000	0.0000	0.0000	0.0000	0.1603	5.6079
20	-0.6000	-0.5000	26.7816	0.0000	9.3949	16.2348	0.4279	0.7239	3.4149	7.5675	6.8502	8.3023	7.6542	0.3190	0.8468	5.1130	0.8123	0.0000	0.0000	0.0000	0.0000	0.6437	5.4066
21	-0.5000	-0.4000	27.6189	0.0000	9.2686	16.6576	0.6091	1.0835	3.5417	7.2920	6.9340	8.1066	7.7862	0.3366	0.8472	5.1479	0.8409	0.0000	0.0000	0.0000	0.0000	0.2658	5.0195
22	-0.4000	-0.3000	31.5178	0.0000	9.8211	20.2103	0.3750	1.1115	3.3633	7.2755	7.1397	8.0153	7.8922	1.8226	0.8433	5.1560	0.8150	0.0000	0.0000	0.0000	0.0000	0.1083	4.8172
